subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
BMI_bff_351	 1	 2	 1102.jpg	 1.251898e+02	 12	 999000	 120	 999000	 999	 1.262075e+02	 650.00	 650.00	 9.00	 2	 0.71	 
BMI_bff_351	 1	 2	 1105.jpg	 1.271754e+02	 12	 999000	 120	 999000	 999	 1.281932e+02	 650.00	 650.00	 16.00	 5	 0.56	 
BMI_bff_351	 1	 2	 1103.jpg	 1.311798e+02	 12	 999000	 120	 999000	 999	 1.321976e+02	 650.00	 650.00	 3.00	 3	 0.83	 
BMI_bff_351	 1	 2	 2213.jpg	 1.341832e+02	 24	 999000	 240	 999000	 999	 1.352009e+02	 650.00	 650.00	 56.00	 34	 0.60	 
BMI_bff_351	 1	 2	 1218.jpg	 1.361855e+02	 11	 1.008658e+03	 1100	 6.500522e+02	 98	 1.372041e+02	 600.00	 650.00	 18.00	 39	 0.52	 
BMI_bff_351	 1	 2	 2105.jpg	 1.391720e+02	 24	 999000	 240	 999000	 999	 1.401899e+02	 600.00	 650.00	 60.00	 5	 0.51	 
BMI_bff_351	 1	 2	 2211.jpg	 1.431766e+02	 24	 999000	 240	 999000	 999	 1.441944e+02	 600.00	 650.00	 51.00	 32	 0.65	 
BMI_bff_351	 1	 2	 2216.jpg	 1.471811e+02	 24	 999000	 240	 999000	 999	 1.481989e+02	 600.00	 650.00	 54.00	 37	 0.60	 
BMI_bff_351	 1	 2	 2116.jpg	 1.491834e+02	 22	 9.307645e+02	 220	 6.500462e+02	 98	 1.502011e+02	 600.00	 666.67	 58.00	 16	 0.54	 
BMI_bff_351	 1	 2	 1115.jpg	 1.541890e+02	 12	 999000	 120	 999000	 999	 1.552068e+02	 600.00	 666.67	 8.00	 15	 0.73	 
BMI_bff_351	 1	 2	 2121.jpg	 1.561760e+02	 24	 999000	 240	 999000	 999	 1.571923e+02	 600.00	 666.67	 43.00	 21	 0.86	 
BMI_bff_351	 1	 2	 1219.jpg	 1.581769e+02	 12	 999000	 120	 999000	 999	 1.591946e+02	 600.00	 666.67	 19.00	 40	 0.51	 
