Subject	 StimName	 StimNum	 Rank	 Wins	 Loses	 Total
bfer_131	1101.jpg	1	4.079448e-01	2	5	7
bfer_131	1102.jpg	2	2.413537e-01	1	6	7
bfer_131	1103.jpg	3	5.397254e-01	3	3	6
bfer_131	1104.jpg	4	3.402085e-01	2	4	6
bfer_131	1105.jpg	5	2.218808e-01	1	6	7
bfer_131	1106.jpg	6	6.442791e-01	5	2	7
bfer_131	1107.jpg	7	7.181132e-01	5	2	7
bfer_131	1108.jpg	8	2.975280e-01	2	5	7
bfer_131	1109.jpg	9	5.930007e-01	4	2	6
bfer_131	1110.jpg	10	2.716886e-01	1	5	6
bfer_131	1111.jpg	11	3.089606e-01	2	5	7
bfer_131	1112.jpg	12	4.850004e-01	3	4	7
bfer_131	1113.jpg	13	3.680635e-01	2	5	7
bfer_131	1114.jpg	14	4.102073e-01	3	4	7
bfer_131	1115.jpg	15	2.040223e-01	1	6	7
bfer_131	1116.jpg	16	2.906492e-01	1	6	7
bfer_131	1117.jpg	17	3.845456e-01	3	4	7
bfer_131	1118.jpg	18	2.534911e-01	1	6	7
bfer_131	1119.jpg	19	3.198040e-01	2	5	7
bfer_131	1120.jpg	20	4.809434e-01	4	3	7
bfer_131	1121.jpg	21	6.541396e-01	5	2	7
bfer_131	1201.jpg	22	8.940661e-01	7	0	7
bfer_131	1202.jpg	23	7.501732e-01	5	2	7
bfer_131	1203.jpg	24	2.967671e-01	1	6	7
bfer_131	1204.jpg	25	6.271548e-01	5	2	7
bfer_131	1205.jpg	26	6.772121e-01	6	1	7
bfer_131	1206.jpg	27	4.773587e-01	3	4	7
bfer_131	1207.jpg	28	7.486986e-01	6	1	7
bfer_131	1208.jpg	29	8.980006e-01	7	0	7
bfer_131	1209.jpg	30	7.334131e-01	6	0	6
bfer_131	1210.jpg	31	3.236523e-01	2	5	7
bfer_131	1211.jpg	32	6.497790e-01	5	2	7
bfer_131	1212.jpg	33	4.264780e-01	2	4	6
bfer_131	1213.jpg	34	5.198860e-01	4	3	7
bfer_131	1214.jpg	35	6.580214e-01	5	2	7
bfer_131	1215.jpg	36	5.502576e-01	4	3	7
bfer_131	1216.jpg	37	3.551643e-01	2	5	7
bfer_131	1217.jpg	38	6.003541e-01	4	3	7
bfer_131	1218.jpg	39	6.850753e-01	5	2	7
bfer_131	1219.jpg	40	6.929380e-01	5	2	7
