Subject	StimName	StimNum	Rank	Wins	Loses	Total
bfer_136	1101.jpg	1	2.823873e-01	3	11	14
bfer_136	1102.jpg	2	3.737248e-01	6	8	14
bfer_136	1103.jpg	3	6.072503e-01	9	5	14
bfer_136	1104.jpg	4	3.385148e-01	4	10	14
bfer_136	1105.jpg	5	3.803892e-01	5	9	14
bfer_136	1106.jpg	6	3.538077e-01	3	11	14
bfer_136	1107.jpg	7	3.041765e-01	3	11	14
bfer_136	1108.jpg	8	1.601830e-01	1	13	14
bfer_136	1109.jpg	9	4.665998e-01	7	7	14
bfer_136	1110.jpg	10	3.801974e-01	4	10	14
bfer_136	1111.jpg	11	4.777937e-01	6	8	14
bfer_136	1112.jpg	12	3.392215e-01	4	10	14
bfer_136	1113.jpg	13	3.893577e-01	4	10	14
bfer_136	1114.jpg	14	5.509453e-01	7	7	14
bfer_136	1115.jpg	15	3.541392e-01	4	10	14
bfer_136	1116.jpg	16	1.265315e-01	1	13	14
bfer_136	1117.jpg	17	2.718299e-01	2	12	14
bfer_136	1118.jpg	18	3.474113e-01	5	9	14
bfer_136	1119.jpg	19	1.810768e-01	2	12	14
bfer_136	1120.jpg	20	3.091116e-01	3	11	14
bfer_136	1121.jpg	21	4.440078e-01	6	8	14
bfer_136	1201.jpg	22	8.598527e-01	14	0	14
bfer_136	1202.jpg	23	5.169160e-01	6	7	13
bfer_136	1203.jpg	24	5.180669e-01	7	7	14
bfer_136	1204.jpg	25	7.256033e-01	11	3	14
bfer_136	1205.jpg	26	8.594437e-01	14	0	14
bfer_136	1206.jpg	27	8.260614e-01	12	2	14
bfer_136	1207.jpg	28	6.925944e-01	12	2	14
bfer_136	1208.jpg	29	5.667854e-01	9	5	14
bfer_136	1209.jpg	30	7.674428e-01	12	2	14
bfer_136	1210.jpg	31	5.973845e-01	8	6	14
bfer_136	1211.jpg	32	8.547297e-01	11	1	12
bfer_136	1212.jpg	33	6.496620e-01	11	3	14
bfer_136	1213.jpg	34	9.095184e-01	14	0	14
bfer_136	1214.jpg	35	8.701256e-01	14	0	14
bfer_136	1215.jpg	36	7.053716e-01	10	4	14
bfer_136	1216.jpg	37	8.303967e-01	13	1	14
bfer_136	1217.jpg	38	1.879365e-01	2	12	14
bfer_136	1218.jpg	39	8.448320e-01	13	1	14
bfer_136	1219.jpg	40	8.482076e-01	13	1	14
bfer_136	2101.jpg	41	4.130761e-01	7	7	14
bfer_136	2102.jpg	42	3.695069e-01	5	8	13
bfer_136	2103.jpg	43	4.775468e-01	6	8	14
bfer_136	2104.jpg	44	1.566917e-01	2	12	14
bfer_136	2105.jpg	45	3.667199e-01	4	10	14
bfer_136	2106.jpg	46	2.494078e-01	3	11	14
bfer_136	2107.jpg	47	3.394370e-01	3	10	13
bfer_136	2108.jpg	48	7.940189e-02	1	13	14
bfer_136	2109.jpg	49	4.466453e-01	7	7	14
bfer_136	2110.jpg	50	1.917963e-01	2	11	13
bfer_136	2111.jpg	51	3.610910e-01	6	8	14
bfer_136	2112.jpg	52	2.904834e-01	3	11	14
bfer_136	2113.jpg	53	4.654360e-01	6	8	14
bfer_136	2114.jpg	54	4.543001e-01	5	9	14
bfer_136	2115.jpg	55	2.988639e-01	3	11	14
bfer_136	2116.jpg	56	2.481244e-01	3	11	14
bfer_136	2117.jpg	57	2.927219e-01	4	10	14
bfer_136	2118.jpg	58	4.277741e-01	5	8	13
bfer_136	2119.jpg	59	1.429664e-01	2	12	14
bfer_136	2120.jpg	60	2.295162e-01	3	11	14
bfer_136	2121.jpg	61	2.779291e-01	3	11	14
bfer_136	2201.jpg	62	8.457488e-01	13	0	13
bfer_136	2202.jpg	63	5.895517e-01	8	6	14
bfer_136	2203.jpg	64	6.107796e-01	9	5	14
bfer_136	2204.jpg	65	4.598443e-01	6	8	14
bfer_136	2205.jpg	66	9.013498e-01	13	1	14
bfer_136	2206.jpg	67	7.633284e-01	12	2	14
bfer_136	2207.jpg	68	7.310136e-01	11	3	14
bfer_136	2208.jpg	69	4.145305e-01	6	8	14
bfer_136	2209.jpg	70	7.637268e-01	11	3	14
bfer_136	2210.jpg	71	4.834474e-01	6	8	14
bfer_136	2211.jpg	72	8.984051e-01	14	0	14
bfer_136	2212.jpg	73	6.698386e-01	9	5	14
bfer_136	2213.jpg	74	7.183061e-01	10	4	14
bfer_136	2214.jpg	75	6.250450e-01	8	6	14
bfer_136	2215.jpg	76	4.985130e-01	7	7	14
bfer_136	2216.jpg	77	8.044843e-01	13	1	14
bfer_136	2217.jpg	78	1.076140e-01	0	14	14
bfer_136	2218.jpg	79	6.329565e-01	9	5	14
bfer_136	2219.jpg	80	8.324918e-01	13	1	14
