subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
bfer_162	 2	 1	 1102.jpg	 1.432393e+00	 12	 999000	 120	 999000	 999	 2.450701e+00	 750.00	 750.00	 20.00	 2	 0.48	 
bfer_162	 2	 1	 1118.jpg	 3.417951e+00	 12	 999000	 120	 999000	 999	 4.436288e+00	 750.00	 750.00	 13.00	 18	 0.65	 
bfer_162	 2	 1	 1202.jpg	 7.422457e+00	 11	 1.055974e+03	 1100	 7.502448e+02	 98	 8.440867e+00	 700.00	 750.00	 17.00	 23	 0.57	 
bfer_162	 2	 1	 1219.jpg	 1.042579e+01	 11	 1.188653e+03	 1100	 7.000817e+02	 98	 1.144425e+01	 650.00	 750.00	 16.00	 40	 0.58	 
bfer_162	 2	 1	 2116.jpg	 1.242826e+01	 24	 999000	 240	 999000	 999	 1.344692e+01	 650.00	 750.00	 58.00	 16	 0.54	 
bfer_162	 2	 1	 2217.jpg	 1.543141e+01	 22	 1.119016e+03	 2200	 7.502688e+02	 98	 1.644956e+01	 650.00	 700.00	 51.00	 38	 0.70	 
bfer_162	 2	 1	 2106.jpg	 1.941929e+01	 24	 999000	 240	 999000	 999	 2.043733e+01	 650.00	 700.00	 59.00	 6	 0.50	 
bfer_162	 2	 1	 2113.jpg	 2.342371e+01	 22	 9.427302e+02	 220	 7.000921e+02	 98	 2.444193e+01	 650.00	 716.67	 54.00	 13	 0.58	 
bfer_162	 2	 1	 2208.jpg	 2.542600e+01	 24	 999000	 240	 999000	 999	 2.644416e+01	 650.00	 716.67	 78.00	 29	 0.19	 
bfer_162	 2	 1	 1108.jpg	 3.043169e+01	 11	 8.547411e+02	 110	 6.500775e+02	 98	 3.144975e+01	 666.67	 716.67	 14.00	 8	 0.61	 
bfer_162	 2	 1	 2219.jpg	 3.241715e+01	 22	 1.045281e+03	 2200	 7.167408e+02	 98	 3.343534e+01	 666.67	 666.67	 57.00	 40	 0.54	 
bfer_162	 2	 1	 1217.jpg	 3.441938e+01	 12	 999000	 120	 999000	 999	 3.543762e+01	 666.67	 666.67	 22.00	 38	 0.45	 
bfer_162	 2	 1	 1112.jpg	 4.042620e+01	 12	 999000	 120	 999000	 999	 4.144429e+01	 666.67	 666.67	 38.00	 12	 0.24	 
bfer_162	 2	 1	 2203.jpg	 4.242845e+01	 24	 999000	 240	 999000	 999	 4.344657e+01	 666.67	 666.67	 53.00	 24	 0.59	 
