subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
bfer_168	0	2	02	1	1	2.018837e+00	2215.jpg	2110.jpg	47	57	0	u	2	0	1000.85	0.73	0.58
bfer_168	0	2	02	1	2	5.022186e+00	1211.jpg	1214.jpg	11	10	1	i	1	0	653.50	0.63	0.65
bfer_168	0	2	02	1	3	9.026699e+00	1212.jpg	1121.jpg	13	8	0	u	1	0	704.97	0.62	0.70
bfer_168	0	2	02	1	4	1.203003e+01	2110.jpg	2206.jpg	57	55	1	i	2	0	973.63	0.58	0.61
bfer_168	0	2	02	1	5	1.802006e+01	1103.jpg	1213.jpg	15	14	0	i	1	1	639.62	0.61	0.62
bfer_168	0	2	02	1	6	2.302568e+01	1215.jpg	1207.jpg	7	9	0	i	1	1	713.98	0.70	0.68
bfer_168	0	2	02	1	7	2.703018e+01	2114.jpg	2115.jpg	60	62	1	u	6	1	773.48	0.54	0.53
bfer_168	0	2	02	1	8	3.201925e+01	2121.jpg	2219.jpg	53	49	0	i	2	1	800.42	0.66	0.72
bfer_168	0	2	02	1	9	3.802589e+01	2110.jpg	2121.jpg	57	53	1	i	2	0	873.76	0.58	0.66
bfer_168	0	2	02	1	10	4.102922e+01	1208.jpg	1213.jpg	12	14	0	i	1	1	790.44	0.62	0.62
bfer_168	0	2	02	1	11	4.401601e+01	1121.jpg	1215.jpg	8	7	1	i	1	0	491.65	0.70	0.70
bfer_168	0	2	02	1	12	4.802042e+01	1211.jpg	1103.jpg	11	15	1	u	1	1	599.25	0.63	0.61
bfer_168	0	2	02	1	13	5.302600e+01	1216.jpg	1112.jpg	4	38	1	u	3	1	881.67	0.78	0.19
bfer_168	0	2	02	1	14	5.602942e+01	2216.jpg	2219.jpg	52	49	0	u	2	0	1446.24	0.67	0.72
bfer_168	0	2	02	1	15	5.901616e+01	1207.jpg	1212.jpg	9	13	1	u	1	1	811.51	0.68	0.62
bfer_168	0	2	02	1	16	6.302057e+01	1103.jpg	1205.jpg	15	17	0	i	1	1	655.09	0.61	0.57
bfer_168	0	2	02	1	17	7.501740e+01	1109.jpg	1211.jpg	18	11	0	i	1	1	530.26	0.56	0.63
bfer_168	0	2	02	1	18	8.302631e+01	2208.jpg	2204.jpg	51	50	1	u	2	1	497.36	0.69	0.71
bfer_168	0	2	02	1	19	8.901647e+01	2121.jpg	2207.jpg	53	54	0	i	2	1	755.19	0.66	0.62
bfer_168	0	2	02	1	20	9.201981e+01	1209.jpg	1208.jpg	16	12	1	i	1	0	607.86	0.59	0.62
bfer_168	0	2	02	1	21	9.602429e+01	1209.jpg	1103.jpg	16	15	1	u	1	1	603.37	0.59	0.61
bfer_168	0	2	02	1	22	1.020310e+02	1121.jpg	1214.jpg	8	10	1	i	1	0	532.71	0.70	0.65
bfer_168	0	2	02	1	23	1.050177e+02	2204.jpg	2211.jpg	50	56	0	i	2	1	857.92	0.71	0.59
bfer_168	0	2	02	1	24	1.080211e+02	2214.jpg	2206.jpg	48	55	1	i	2	0	550.60	0.72	0.61
bfer_168	0	2	02	1	25	1.110244e+02	2120.jpg	2205.jpg	77	44	0	i	4	1	867.24	0.24	0.78
bfer_168	0	2	02	1	26	1.180153e+02	1217.jpg	1218.jpg	19	21	0	u	5	0	1100.39	0.56	0.49
bfer_168	0	2	02	1	27	1.210189e+02	1207.jpg	1103.jpg	9	15	1	i	1	0	1088.75	0.68	0.61
bfer_168	0	2	02	1	28	1.240224e+02	2215.jpg	2214.jpg	47	48	0	i	2	1	645.32	0.73	0.72
bfer_168	0	2	02	1	29	1.290280e+02	2216.jpg	2110.jpg	52	57	0	i	2	1	743.71	0.67	0.58
bfer_168	0	2	02	1	30	1.320314e+02	1109.jpg	1207.jpg	18	9	0	i	1	1	540.29	0.56	0.68
