subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
ccat_124	 2	 38	 1	 0	 1	 4.787671e-02	 210.jpg	 i	 2.747791e+00	 0	 0	 
ccat_124	 2	 45	 2	 0	 0	 3.896406e+00	 217.jpg	 u	 1.435216e+00	 0	 0	 
ccat_124	 2	 36	 3	 0	 0	 6.428733e+00	 208.jpg	 u	 1.494880e+00	 0	 0	 
ccat_124	 2	 75	 4	 0	 0	 9.027710e+00	 247.jpg	 u	 9.999530e-01	 0	 0	 
ccat_124	 2	 29	 5	 0	 1	 1.112687e+01	 201.jpg	 i	 9.087917e-01	 0	 0	 
ccat_124	 2	 16	 6	 1	 1	 1.312608e+01	 138.jpg	 i	 9.575839e-01	 54	 1	 
ccat_124	 2	 61	 7	 0	 0	 1.515878e+01	 233.jpg	 u	 1.036891e+00	 0	 0	 
ccat_124	 2	 41	 8	 0	 0	 1.727445e+01	 213.jpg	 u	 9.132164e-01	 0	 0	 
ccat_124	 2	 51	 9	 0	 1	 1.927361e+01	 223.jpg	 i	 1.010010e+00	 0	 0	 
ccat_124	 2	 66	 10	 0	 0	 2.137281e+01	 238.jpg	 u	 8.708545e-01	 0	 0	 
ccat_124	 2	 28	 11	 1	 1	 2.332199e+01	 159.jpg	 i	 8.336268e-01	 48	 1	 
ccat_124	 2	 74	 12	 0	 0	 2.523794e+01	 246.jpg	 u	 8.217233e-01	 0	 0	 
ccat_124	 2	 52	 13	 0	 0	 2.713716e+01	 224.jpg	 u	 1.122510e+00	 0	 0	 
ccat_124	 2	 57	 14	 0	 0	 2.935307e+01	 229.jpg	 u	 1.002559e+00	 0	 0	 
ccat_124	 2	 4	 15	 1	 1	 3.143549e+01	 109.jpg	 i	 8.081305e-01	 7	 0	 
ccat_124	 2	 1	 16	 1	 1	 3.333476e+01	 101.jpg	 i	 1.044896e+00	 15	 0	 
ccat_124	 2	 65	 17	 0	 1	 3.546724e+01	 237.jpg	 i	 7.603963e-01	 0	 0	 
ccat_124	 2	 82	 18	 0	 0	 3.731656e+01	 254.jpg	 u	 9.590686e-01	 0	 0	 
ccat_124	 2	 24	 19	 1	 1	 3.936573e+01	 154.jpg	 i	 7.739405e-01	 6	 0	 
ccat_124	 2	 53	 20	 0	 0	 4.123173e+01	 225.jpg	 u	 7.959375e-01	 0	 0	 
ccat_124	 2	 7	 21	 1	 1	 4.311421e+01	 119.jpg	 i	 9.054550e-01	 13	 0	 
ccat_124	 2	 54	 22	 0	 0	 4.511350e+01	 226.jpg	 u	 8.261722e-01	 0	 0	 
ccat_124	 2	 43	 23	 0	 1	 4.702933e+01	 215.jpg	 i	 7.502916e-01	 0	 0	 
ccat_124	 2	 5	 24	 1	 1	 4.886202e+01	 116.jpg	 i	 7.816034e-01	 17	 1	 
ccat_124	 2	 20	 25	 1	 1	 5.072788e+01	 146.jpg	 i	 8.677818e-01	 44	 0	 
