subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
ccat_124	 2	 3	 109.jpg	 1.684995e+02	 12	 999000	 120	 999000	 999	 1.695492e+02	 616.67	 616.67	 7.00	 9	 0.75	 
ccat_124	 2	 3	 134.jpg	 1.704821e+02	 12	 999000	 120	 999000	 999	 1.715317e+02	 616.67	 616.67	 20.00	 34	 0.65	 
ccat_124	 2	 3	 122.jpg	 1.724813e+02	 22	 1.170003e+03	 2200	 6.439851e+02	 98	 1.735476e+02	 616.67	 566.67	 49.00	 22	 0.28	 
ccat_124	 2	 3	 145.jpg	 1.744805e+02	 24	 999000	 240	 999000	 999	 1.755302e+02	 616.67	 566.67	 47.00	 45	 0.31	 
ccat_124	 2	 3	 155.jpg	 1.764797e+02	 24	 999000	 240	 999000	 999	 1.775294e+02	 616.67	 566.67	 53.00	 55	 0.25	 
ccat_124	 2	 3	 119.jpg	 1.784789e+02	 12	 999000	 120	 999000	 999	 1.795286e+02	 616.67	 566.67	 13.00	 19	 0.68	 
ccat_124	 2	 3	 138.jpg	 1.804782e+02	 22	 9.811276e+02	 220	 5.935919e+02	 98	 1.815445e+02	 616.67	 583.33	 54.00	 38	 0.25	 
ccat_124	 2	 3	 139.jpg	 1.824773e+02	 12	 999000	 120	 999000	 999	 1.835270e+02	 616.67	 583.33	 19.00	 39	 0.65	 
ccat_124	 2	 3	 135.jpg	 1.844765e+02	 12	 999000	 120	 999000	 999	 1.855262e+02	 616.67	 583.33	 10.00	 35	 0.72	 
ccat_124	 2	 3	 150.jpg	 1.864758e+02	 22	 9.595548e+02	 220	 6.107150e+02	 98	 1.875421e+02	 616.67	 600.00	 51.00	 50	 0.28	 
ccat_124	 2	 3	 160.jpg	 1.884750e+02	 24	 999000	 240	 999000	 999	 1.895247e+02	 616.67	 600.00	 57.00	 60	 0.21	 
ccat_124	 2	 3	 127.jpg	 1.904742e+02	 22	 1.001138e+03	 2200	 6.267888e+02	 98	 1.915405e+02	 616.67	 550.00	 46.00	 27	 0.32	 
ccat_124	 2	 3	 104.jpg	 1.924734e+02	 24	 999000	 240	 999000	 999	 1.935230e+02	 616.67	 550.00	 45.00	 4	 0.34	 
ccat_124	 2	 3	 130.jpg	 1.944893e+02	 12	 999000	 120	 999000	 999	 1.955389e+02	 616.67	 550.00	 12.00	 30	 0.69	 
ccat_124	 2	 3	 115.jpg	 1.964885e+02	 24	 999000	 240	 999000	 999	 1.975382e+02	 616.67	 550.00	 40.00	 15	 0.39	 
ccat_124	 2	 3	 117.jpg	 1.984878e+02	 24	 999000	 240	 999000	 999	 1.995373e+02	 616.67	 550.00	 56.00	 17	 0.21	 
ccat_124	 2	 3	 120.jpg	 2.004869e+02	 24	 999000	 240	 999000	 999	 2.015366e+02	 616.67	 550.00	 52.00	 20	 0.26	 
ccat_124	 2	 3	 110.jpg	 2.024861e+02	 12	 999000	 120	 999000	 999	 2.035358e+02	 616.67	 550.00	 22.00	 10	 0.62	 
ccat_124	 2	 3	 147.jpg	 2.044854e+02	 11	 9.979605e+02	 110	 6.442588e+02	 98	 2.055517e+02	 633.33	 550.00	 16.00	 47	 0.66	 
ccat_124	 2	 3	 141.jpg	 2.064846e+02	 24	 999000	 240	 999000	 999	 2.075342e+02	 633.33	 550.00	 39.00	 41	 0.44	 
ccat_124	 2	 3	 128.jpg	 2.084838e+02	 24	 999000	 240	 999000	 999	 2.095334e+02	 633.33	 550.00	 55.00	 28	 0.23	 
ccat_124	 2	 3	 154.jpg	 2.104830e+02	 12	 999000	 120	 999000	 999	 2.115326e+02	 633.33	 550.00	 6.00	 54	 0.76	 
ccat_124	 2	 3	 148.jpg	 2.124823e+02	 24	 999000	 240	 999000	 999	 2.135319e+02	 633.33	 550.00	 58.00	 48	 0.19	 
ccat_124	 2	 3	 157.jpg	 2.144814e+02	 22	 9.218967e+02	 220	 5.768064e+02	 98	 2.155477e+02	 633.33	 566.67	 43.00	 57	 0.36	 
ccat_124	 2	 3	 124.jpg	 2.164806e+02	 24	 999000	 240	 999000	 999	 2.175303e+02	 633.33	 566.67	 42.00	 24	 0.38	 
ccat_124	 2	 3	 156.jpg	 2.184799e+02	 12	 999000	 120	 999000	 999	 2.195295e+02	 633.33	 566.67	 18.00	 56	 0.65	 
ccat_124	 2	 3	 116.jpg	 2.204791e+02	 11	 9.802938e+02	 110	 6.607059e+02	 98	 2.215621e+02	 650.00	 566.67	 17.00	 16	 0.65	 
ccat_124	 2	 3	 106.jpg	 2.224783e+02	 11	 1.013072e+03	 1100	 6.765880e+02	 98	 2.235446e+02	 600.00	 566.67	 8.00	 6	 0.74	 
ccat_124	 2	 3	 133.jpg	 2.244775e+02	 11	 9.258764e+02	 110	 6.268254e+02	 98	 2.255439e+02	 616.67	 566.67	 9.00	 33	 0.73	 
ccat_124	 2	 3	 114.jpg	 2.264767e+02	 24	 999000	 240	 999000	 999	 2.275263e+02	 616.67	 566.67	 41.00	 14	 0.39	 
ccat_124	 2	 3	 121.jpg	 2.284759e+02	 24	 999000	 240	 999000	 999	 2.295256e+02	 616.67	 566.67	 50.00	 21	 0.28	 
ccat_124	 2	 3	 142.jpg	 2.304751e+02	 11	 9.841711e+02	 110	 6.432791e+02	 98	 2.315414e+02	 633.33	 566.67	 14.00	 42	 0.68	 
ccat_124	 2	 3	 153.jpg	 2.324743e+02	 11	 9.609688e+02	 110	 6.605716e+02	 98	 2.335406e+02	 650.00	 566.67	 11.00	 53	 0.70	 
ccat_124	 2	 3	 101.jpg	 2.344737e+02	 12	 999000	 120	 999000	 999	 2.355232e+02	 650.00	 566.67	 15.00	 1	 0.66	 
ccat_124	 2	 3	 102.jpg	 2.364895e+02	 12	 999000	 120	 999000	 999	 2.375558e+02	 650.00	 566.67	 4.00	 2	 0.78	 
ccat_124	 2	 3	 105.jpg	 2.384886e+02	 12	 999000	 120	 999000	 999	 2.395383e+02	 650.00	 566.67	 3.00	 5	 0.79	 
ccat_124	 2	 3	 136.jpg	 2.404879e+02	 12	 999000	 120	 999000	 999	 2.415375e+02	 650.00	 566.67	 21.00	 36	 0.64	 
ccat_124	 2	 3	 140.jpg	 2.424870e+02	 12	 999000	 120	 999000	 999	 2.435367e+02	 650.00	 566.67	 5.00	 40	 0.77	 
ccat_124	 2	 3	 146.jpg	 2.444863e+02	 24	 999000	 240	 999000	 999	 2.455526e+02	 650.00	 566.67	 44.00	 46	 0.34	 
ccat_124	 2	 3	 159.jpg	 2.464855e+02	 22	 9.578495e+02	 220	 5.936893e+02	 98	 2.475518e+02	 650.00	 583.33	 48.00	 59	 0.29	 
