subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
ccat_131	 1	 12	 130.jpg	 1.033263e+03	 12	 999000	 120	 999000	 999	 1.034313e+03	 450.00	 450.00	 3.00	 30	 0.89	 
ccat_131	 1	 12	 143.jpg	 1.035229e+03	 11	 9.990703e+02	 110	 4.767621e+02	 98	 1.036295e+03	 466.67	 450.00	 18.00	 43	 0.64	 
ccat_131	 1	 12	 138.jpg	 1.037228e+03	 24	 999000	 240	 999000	 999	 1.038278e+03	 466.67	 450.00	 54.00	 38	 0.23	 
ccat_131	 1	 12	 125.jpg	 1.039227e+03	 24	 999000	 240	 999000	 999	 1.040277e+03	 466.67	 450.00	 48.00	 25	 0.29	 
ccat_131	 1	 12	 115.jpg	 1.041227e+03	 12	 999000	 120	 999000	 999	 1.042276e+03	 466.67	 450.00	 22.00	 15	 0.58	 
ccat_131	 1	 12	 110.jpg	 1.043242e+03	 12	 999000	 120	 999000	 999	 1.044292e+03	 466.67	 450.00	 21.00	 10	 0.61	 
ccat_131	 1	 12	 134.jpg	 1.045242e+03	 12	 999000	 120	 999000	 999	 1.046291e+03	 466.67	 450.00	 19.00	 34	 0.63	 
ccat_131	 1	 12	 159.jpg	 1.047241e+03	 24	 999000	 240	 999000	 999	 1.048291e+03	 466.67	 450.00	 58.00	 59	 0.10	 
ccat_131	 1	 12	 149.jpg	 1.049240e+03	 24	 999000	 240	 999000	 999	 1.050290e+03	 466.67	 450.00	 55.00	 49	 0.23	 
ccat_131	 1	 12	 144.jpg	 1.051239e+03	 22	 1.052697e+03	 2200	 4.768252e+02	 98	 1.052306e+03	 466.67	 400.00	 50.00	 44	 0.29	 
ccat_131	 1	 12	 101.jpg	 1.053239e+03	 11	 9.334805e+02	 110	 4.924942e+02	 98	 1.054305e+03	 483.33	 400.00	 15.00	 1	 0.67	 
ccat_131	 1	 12	 151.jpg	 1.055238e+03	 12	 999000	 120	 999000	 999	 1.056287e+03	 483.33	 400.00	 16.00	 51	 0.67	 
ccat_131	 1	 12	 139.jpg	 1.057237e+03	 24	 999000	 240	 999000	 999	 1.058287e+03	 483.33	 400.00	 56.00	 39	 0.21	 
ccat_131	 1	 12	 103.jpg	 1.059236e+03	 12	 999000	 120	 999000	 999	 1.060286e+03	 483.33	 400.00	 6.00	 3	 0.81	 
ccat_131	 1	 12	 126.jpg	 1.061235e+03	 11	 9.286543e+02	 110	 5.100611e+02	 98	 1.062318e+03	 500.00	 400.00	 12.00	 26	 0.71	 
ccat_131	 1	 12	 145.jpg	 1.063235e+03	 24	 999000	 240	 999000	 999	 1.064284e+03	 500.00	 400.00	 49.00	 45	 0.29	 
ccat_131	 1	 12	 122.jpg	 1.065234e+03	 11	 9.141990e+02	 110	 5.259796e+02	 98	 1.066300e+03	 516.67	 400.00	 7.00	 22	 0.78	 
ccat_131	 1	 12	 131.jpg	 1.067233e+03	 22	 8.434454e+02	 220	 4.258219e+02	 98	 1.068299e+03	 516.67	 416.67	 47.00	 31	 0.30	 
ccat_131	 1	 12	 119.jpg	 1.069232e+03	 24	 999000	 240	 999000	 999	 1.070282e+03	 516.67	 416.67	 39.00	 19	 0.39	 
ccat_131	 1	 12	 124.jpg	 1.071231e+03	 12	 999000	 120	 999000	 999	 1.072281e+03	 516.67	 416.67	 17.00	 24	 0.66	 
ccat_131	 1	 12	 107.jpg	 1.073231e+03	 24	 999000	 240	 999000	 999	 1.074280e+03	 516.67	 416.67	 40.00	 7	 0.38	 
ccat_131	 1	 12	 102.jpg	 1.075230e+03	 12	 999000	 120	 999000	 999	 1.076280e+03	 516.67	 416.67	 11.00	 2	 0.71	 
ccat_131	 1	 12	 150.jpg	 1.077229e+03	 24	 999000	 240	 999000	 999	 1.078279e+03	 516.67	 416.67	 41.00	 50	 0.36	 
ccat_131	 1	 12	 148.jpg	 1.079228e+03	 22	 9.436989e+02	 220	 4.434816e+02	 98	 1.080295e+03	 516.67	 433.33	 44.00	 48	 0.31	 
ccat_131	 1	 12	 113.jpg	 1.081228e+03	 12	 999000	 120	 999000	 999	 1.082277e+03	 516.67	 433.33	 5.00	 13	 0.83	 
ccat_131	 1	 12	 123.jpg	 1.083227e+03	 24	 999000	 240	 999000	 999	 1.084276e+03	 516.67	 433.33	 42.00	 23	 0.33	 
ccat_131	 1	 12	 155.jpg	 1.085243e+03	 24	 999000	 240	 999000	 999	 1.086292e+03	 516.67	 433.33	 51.00	 55	 0.29	 
ccat_131	 1	 12	 118.jpg	 1.087242e+03	 11	 1.042196e+03	 1100	 5.431907e+02	 98	 1.088308e+03	 466.67	 433.33	 10.00	 18	 0.72	 
ccat_131	 1	 12	 147.jpg	 1.089241e+03	 12	 999000	 120	 999000	 999	 1.090291e+03	 466.67	 433.33	 14.00	 47	 0.68	 
ccat_131	 1	 12	 158.jpg	 1.091240e+03	 22	 8.677652e+02	 220	 4.594601e+02	 98	 1.092307e+03	 466.67	 450.00	 45.00	 58	 0.30	 
ccat_131	 1	 12	 146.jpg	 1.093239e+03	 12	 999000	 120	 999000	 999	 1.094289e+03	 466.67	 450.00	 20.00	 46	 0.62	 
ccat_131	 1	 12	 142.jpg	 1.095239e+03	 22	 9.013880e+02	 220	 4.758390e+02	 98	 1.096305e+03	 466.67	 466.67	 52.00	 42	 0.28	 
ccat_131	 1	 12	 121.jpg	 1.097238e+03	 24	 999000	 240	 999000	 999	 1.098288e+03	 466.67	 466.67	 46.00	 21	 0.30	 
ccat_131	 1	 12	 141.jpg	 1.099237e+03	 24	 999000	 240	 999000	 999	 1.100287e+03	 466.67	 466.67	 43.00	 41	 0.31	 
ccat_131	 1	 12	 133.jpg	 1.101236e+03	 22	 8.397082e+02	 220	 4.937631e+02	 98	 1.102303e+03	 466.67	 483.33	 53.00	 33	 0.23	 
ccat_131	 1	 12	 120.jpg	 1.103236e+03	 12	 999000	 120	 999000	 999	 1.104285e+03	 466.67	 483.33	 9.00	 20	 0.75	 
ccat_131	 1	 12	 109.jpg	 1.105235e+03	 12	 999000	 120	 999000	 999	 1.106285e+03	 466.67	 483.33	 4.00	 9	 0.83	 
ccat_131	 1	 12	 112.jpg	 1.107234e+03	 11	 9.141197e+02	 110	 4.934386e+02	 98	 1.108300e+03	 483.33	 483.33	 13.00	 12	 0.70	 
ccat_131	 1	 12	 108.jpg	 1.109233e+03	 24	 999000	 240	 999000	 999	 1.110283e+03	 483.33	 483.33	 57.00	 8	 0.11	 
ccat_131	 1	 12	 104.jpg	 1.111232e+03	 12	 999000	 120	 999000	 999	 1.112282e+03	 483.33	 483.33	 8.00	 4	 0.76	 
