subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 AudioTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
ccat_401	 1	 2	 151.jpg	 8.456631e+01	 12	 999000	 120	 999000	 999	 8.561603e+01	 583.33	 583.33	 5.00	 51	 0.80	 
ccat_401	 1	 2	 146.jpg	 8.654892e+01	 22	 1.022471e+03	 2200	 6.525841e+02	 98	 8.763186e+01	 583.33	 533.33	 44.00	 46	 0.34	 
ccat_401	 1	 2	 124.jpg	 8.854815e+01	 12	 999000	 120	 999000	 999	 8.961445e+01	 583.33	 533.33	 16.00	 24	 0.69	 
ccat_401	 1	 2	 130.jpg	 9.054736e+01	 11	 9.760246e+02	 110	 6.540616e+02	 98	 9.161369e+01	 600.00	 533.33	 13.00	 30	 0.74	 
ccat_401	 1	 2	 107.jpg	 9.254658e+01	 24	 999000	 240	 999000	 999	 9.359622e+01	 600.00	 533.33	 55.00	 7	 0.17	 
ccat_401	 1	 2	 129.jpg	 9.454582e+01	 12	 999000	 120	 999000	 999	 9.559543e+01	 600.00	 533.33	 6.00	 29	 0.79	 
ccat_401	 1	 2	 118.jpg	 9.654501e+01	 22	 9.303270e+02	 220	 6.009204e+02	 98	 9.761140e+01	 600.00	 550.00	 47.00	 18	 0.30	 
ccat_401	 1	 2	 132.jpg	 9.854422e+01	 12	 999000	 120	 999000	 999	 9.959389e+01	 600.00	 550.00	 8.00	 32	 0.79	 
ccat_401	 1	 2	 109.jpg	 1.005434e+02	 24	 999000	 240	 999000	 999	 1.015931e+02	 600.00	 550.00	 42.00	 9	 0.36	 
ccat_401	 1	 2	 136.jpg	 1.025426e+02	 12	 999000	 120	 999000	 999	 1.035923e+02	 600.00	 550.00	 11.00	 36	 0.77	 
ccat_401	 1	 2	 119.jpg	 1.045419e+02	 11	 1.005510e+03	 1100	 6.703494e+02	 98	 1.056248e+02	 550.00	 550.00	 7.00	 19	 0.79	 
ccat_401	 1	 2	 133.jpg	 1.065411e+02	 11	 9.903372e+02	 110	 6.172352e+02	 98	 1.076074e+02	 566.67	 550.00	 12.00	 33	 0.77	 
ccat_401	 1	 2	 121.jpg	 1.085403e+02	 12	 999000	 120	 999000	 999	 1.095899e+02	 566.67	 550.00	 19.00	 21	 0.60	 
ccat_401	 1	 2	 153.jpg	 1.105395e+02	 12	 999000	 120	 999000	 999	 1.115891e+02	 566.67	 550.00	 17.00	 53	 0.64	 
ccat_401	 1	 2	 144.jpg	 1.125387e+02	 24	 999000	 240	 999000	 999	 1.135884e+02	 566.67	 550.00	 54.00	 44	 0.18	 
ccat_401	 1	 2	 102.jpg	 1.145389e+02	 11	 9.284934e+02	 110	 6.356422e+02	 98	 1.156043e+02	 583.33	 550.00	 18.00	 2	 0.61	 
ccat_401	 1	 2	 135.jpg	 1.165372e+02	 12	 999000	 120	 999000	 999	 1.176035e+02	 583.33	 550.00	 14.00	 35	 0.73	 
ccat_401	 1	 2	 143.jpg	 1.185364e+02	 24	 999000	 240	 999000	 999	 1.196027e+02	 583.33	 550.00	 40.00	 43	 0.40	 
ccat_401	 1	 2	 106.jpg	 1.205356e+02	 12	 999000	 120	 999000	 999	 1.215852e+02	 583.33	 550.00	 22.00	 6	 0.57	 
ccat_401	 1	 2	 154.jpg	 1.225348e+02	 11	 9.566002e+02	 110	 6.510435e+02	 98	 1.236011e+02	 600.00	 550.00	 15.00	 54	 0.70	 
ccat_401	 1	 2	 158.jpg	 1.245507e+02	 22	 1.020656e+03	 2200	 6.174084e+02	 98	 1.256170e+02	 600.00	 500.00	 53.00	 58	 0.20	 
ccat_401	 1	 2	 110.jpg	 1.265499e+02	 12	 999000	 120	 999000	 999	 1.275995e+02	 600.00	 500.00	 9.00	 10	 0.78	 
ccat_401	 1	 2	 108.jpg	 1.285491e+02	 24	 999000	 240	 999000	 999	 1.295987e+02	 600.00	 500.00	 41.00	 8	 0.38	 
ccat_401	 1	 2	 145.jpg	 1.305483e+02	 24	 999000	 240	 999000	 999	 1.315980e+02	 600.00	 500.00	 57.00	 45	 0.14	 
ccat_401	 1	 2	 112.jpg	 1.325475e+02	 24	 999000	 240	 999000	 999	 1.335972e+02	 600.00	 500.00	 51.00	 12	 0.27	 
ccat_401	 1	 2	 115.jpg	 1.345467e+02	 12	 999000	 120	 999000	 999	 1.355964e+02	 600.00	 500.00	 20.00	 15	 0.59	 
ccat_401	 1	 2	 131.jpg	 1.365460e+02	 12	 999000	 120	 999000	 999	 1.375956e+02	 600.00	 500.00	 3.00	 31	 0.92	 
ccat_401	 1	 2	 128.jpg	 1.385452e+02	 24	 999000	 240	 999000	 999	 1.395948e+02	 600.00	 500.00	 49.00	 28	 0.29	 
ccat_401	 1	 2	 155.jpg	 1.405444e+02	 22	 8.989866e+02	 220	 5.676792e+02	 98	 1.416107e+02	 600.00	 516.67	 45.00	 55	 0.34	 
ccat_401	 1	 2	 150.jpg	 1.425436e+02	 24	 999000	 240	 999000	 999	 1.435932e+02	 600.00	 516.67	 43.00	 50	 0.35	 
ccat_401	 1	 2	 142.jpg	 1.445428e+02	 22	 9.005930e+02	 220	 5.841002e+02	 98	 1.456091e+02	 600.00	 533.33	 52.00	 42	 0.25	 
ccat_401	 1	 2	 125.jpg	 1.465420e+02	 12	 999000	 120	 999000	 999	 1.476084e+02	 600.00	 533.33	 21.00	 25	 0.57	 
ccat_401	 1	 2	 122.jpg	 1.485413e+02	 24	 999000	 240	 999000	 999	 1.495909e+02	 600.00	 533.33	 39.00	 22	 0.43	 
ccat_401	 1	 2	 134.jpg	 1.505404e+02	 12	 999000	 120	 999000	 999	 1.515901e+02	 600.00	 533.33	 4.00	 34	 0.84	 
ccat_401	 1	 2	 113.jpg	 1.525397e+02	 11	 9.437249e+02	 110	 6.674257e+02	 98	 1.536060e+02	 616.67	 533.33	 10.00	 13	 0.78	 
ccat_401	 1	 2	 139.jpg	 1.545389e+02	 24	 999000	 240	 999000	 999	 1.555886e+02	 616.67	 533.33	 56.00	 39	 0.15	 
ccat_401	 1	 2	 101.jpg	 1.565381e+02	 24	 999000	 240	 999000	 999	 1.575878e+02	 616.67	 533.33	 48.00	 1	 0.30	 
ccat_401	 1	 2	 152.jpg	 1.585373e+02	 22	 9.221675e+02	 220	 6.047276e+02	 98	 1.596038e+02	 616.67	 550.00	 50.00	 52	 0.28	 
ccat_401	 1	 2	 141.jpg	 1.605365e+02	 24	 999000	 240	 999000	 999	 1.615862e+02	 616.67	 550.00	 46.00	 41	 0.32	 
ccat_401	 1	 2	 147.jpg	 1.625357e+02	 24	 999000	 240	 999000	 999	 1.635854e+02	 616.67	 550.00	 58.00	 47	 0.12	 
