subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
ccat_403	 1	 80	 1	 0	 0	 4.272348e-02	 252.jpg	 i	 5.289581e+00	 0	 0	 
ccat_403	 1	 45	 2	 0	 0	 6.440240e+00	 217.jpg	 i	 1.828101e+00	 0	 0	 
ccat_403	 1	 3	 3	 1	 1	 9.355723e+00	 103.jpg	 u	 9.685796e-01	 7	 1	 
ccat_403	 1	 73	 4	 0	 0	 1.140496e+01	 245.jpg	 i	 1.063328e+00	 0	 0	 
ccat_403	 1	 25	 5	 1	 1	 1.355409e+01	 155.jpg	 u	 9.862552e-01	 51	 0	 
ccat_403	 1	 6	 6	 1	 1	 1.562002e+01	 109.jpg	 u	 8.323154e-01	 43	 0	 
ccat_403	 1	 22	 7	 1	 1	 1.753587e+01	 145.jpg	 u	 8.684181e-01	 47	 1	 
ccat_403	 1	 20	 8	 1	 1	 1.948515e+01	 143.jpg	 u	 1.127202e+00	 50	 1	 
ccat_403	 1	 50	 9	 0	 0	 2.170087e+01	 222.jpg	 i	 1.631479e+00	 0	 0	 
ccat_403	 1	 58	 10	 0	 0	 2.441653e+01	 230.jpg	 i	 1.267818e+00	 0	 0	 
ccat_403	 1	 83	 11	 0	 0	 2.676555e+01	 255.jpg	 i	 8.067925e-01	 0	 0	 
ccat_403	 1	 41	 12	 0	 0	 2.866487e+01	 213.jpg	 i	 7.314299e-01	 0	 0	 
ccat_403	 1	 75	 13	 0	 0	 3.048075e+01	 247.jpg	 i	 9.795512e-01	 0	 0	 
ccat_403	 1	 88	 14	 0	 0	 3.254666e+01	 260.jpg	 i	 7.376808e-01	 0	 0	 
ccat_403	 1	 7	 15	 1	 1	 3.436257e+01	 110.jpg	 u	 7.137901e-01	 10	 1	 
ccat_403	 1	 62	 16	 0	 0	 3.616190e+01	 234.jpg	 i	 8.664155e-01	 0	 0	 
ccat_403	 1	 46	 17	 0	 0	 3.811110e+01	 218.jpg	 i	 8.612629e-01	 0	 0	 
ccat_403	 1	 86	 18	 0	 0	 4.006040e+01	 258.jpg	 i	 1.007952e+00	 0	 0	 
ccat_403	 1	 15	 19	 1	 1	 4.215951e+01	 135.jpg	 u	 1.036836e+00	 9	 0	 
ccat_403	 1	 52	 20	 0	 0	 4.427539e+01	 224.jpg	 i	 8.009381e-01	 0	 0	 
ccat_403	 1	 17	 21	 1	 1	 4.615794e+01	 139.jpg	 u	 8.303576e-01	 53	 1	 
ccat_403	 1	 64	 22	 0	 0	 4.807392e+01	 236.jpg	 i	 1.090426e+00	 0	 0	 
ccat_403	 1	 87	 23	 0	 0	 5.023970e+01	 259.jpg	 i	 1.172658e+00	 0	 0	 
ccat_403	 1	 44	 24	 0	 0	 5.250550e+01	 216.jpg	 i	 8.108196e-01	 0	 0	 
ccat_403	 1	 84	 25	 0	 0	 5.440469e+01	 256.jpg	 i	 9.676203e-01	 0	 0	 
ccat_403	 1	 61	 26	 0	 0	 5.645397e+01	 233.jpg	 i	 1.014347e+00	 0	 0	 
ccat_403	 1	 27	 27	 1	 1	 5.855307e+01	 159.jpg	 u	 6.432855e-01	 45	 1	 
ccat_403	 1	 14	 28	 1	 1	 6.028599e+01	 134.jpg	 u	 6.623154e-01	 8	 0	 
ccat_403	 1	 72	 29	 0	 0	 6.203508e+01	 244.jpg	 i	 8.892299e-01	 0	 0	 
ccat_403	 1	 63	 30	 0	 0	 6.401762e+01	 235.jpg	 i	 7.946695e-01	 0	 0	 
ccat_403	 1	 35	 31	 0	 0	 6.590021e+01	 207.jpg	 i	 8.161519e-01	 0	 0	 
ccat_403	 1	 24	 32	 1	 1	 6.779948e+01	 152.jpg	 u	 9.008413e-01	 16	 0	 
ccat_403	 1	 43	 33	 0	 0	 6.978199e+01	 215.jpg	 i	 8.063664e-01	 0	 0	 
