subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight
ccat_404	0	2	02	2	1	1.016148e+00	158.jpg	136.jpg	53	54	0	i	2	1	1187.68	0.23	0.21
ccat_404	0	2	02	2	2	3.515228e+00	121.jpg	123.jpg	8	7	1	i	1	0	688.64	0.78	0.80
ccat_404	0	2	02	2	3	6.014178e+00	136.jpg	142.jpg	54	44	1	u	2	1	741.65	0.21	0.33
ccat_404	0	2	02	2	4	8.513186e+00	117.jpg	114.jpg	17	12	1	i	1	0	674.68	0.67	0.76
ccat_404	0	2	02	2	5	1.101221e+01	134.jpg	121.jpg	10	8	0	u	1	0	1263.61	0.78	0.78
ccat_404	0	2	02	2	6	1.351129e+01	117.jpg	134.jpg	17	10	1	i	1	0	652.54	0.67	0.78
ccat_404	0	2	02	2	7	1.601023e+01	122.jpg	147.jpg	15	9	0	i	1	1	625.64	0.74	0.78
ccat_404	0	2	02	2	8	1.850925e+01	150.jpg	141.jpg	47	51	0	i	2	1	862.57	0.30	0.25
ccat_404	0	2	02	2	9	2.100829e+01	147.jpg	134.jpg	9	10	1	i	1	0	579.58	0.78	0.78
ccat_404	0	2	02	2	10	2.350736e+01	137.jpg	132.jpg	52	48	0	i	2	1	888.46	0.24	0.30
ccat_404	0	2	02	2	11	2.600630e+01	154.jpg	142.jpg	43	44	1	u	2	1	733.52	0.35	0.33
ccat_404	0	2	02	2	12	2.850532e+01	131.jpg	141.jpg	50	51	0	i	2	1	1066.54	0.26	0.25
ccat_404	0	2	02	2	13	3.102104e+01	131.jpg	154.jpg	50	43	0	i	2	1	662.83	0.26	0.35
ccat_404	0	2	02	2	14	3.352007e+01	136.jpg	135.jpg	54	45	1	i	2	0	635.76	0.21	0.33
ccat_404	0	2	02	2	15	3.601906e+01	158.jpg	141.jpg	53	51	0	i	2	1	744.76	0.23	0.25
ccat_404	0	2	02	2	16	3.851809e+01	107.jpg	135.jpg	49	45	1	i	2	0	629.75	0.27	0.33
ccat_404	0	2	02	2	17	4.101709e+01	145.jpg	133.jpg	6	55	1	u	4	1	722.73	0.82	0.17
ccat_404	0	2	02	2	18	4.351615e+01	136.jpg	131.jpg	54	50	1	u	2	1	879.67	0.21	0.26
ccat_404	0	2	02	2	19	4.601511e+01	142.jpg	138.jpg	44	46	0	i	2	1	996.72	0.33	0.31
ccat_404	0	2	02	2	20	4.851414e+01	154.jpg	158.jpg	43	53	1	u	2	1	793.69	0.35	0.23
ccat_404	0	2	02	2	21	5.101318e+01	134.jpg	160.jpg	10	14	0	i	1	1	1030.65	0.78	0.75
ccat_404	0	2	02	2	22	5.351226e+01	159.jpg	160.jpg	18	14	0	i	1	1	579.56	0.64	0.75
ccat_404	0	2	02	2	23	5.601119e+01	123.jpg	113.jpg	7	16	0	i	1	1	832.68	0.80	0.71
ccat_404	0	2	02	2	24	5.851021e+01	134.jpg	113.jpg	10	16	0	i	1	1	525.66	0.78	0.71
ccat_404	0	2	02	2	25	6.100924e+01	154.jpg	137.jpg	43	52	1	u	2	1	890.63	0.35	0.24
ccat_404	0	2	02	2	26	6.350831e+01	141.jpg	135.jpg	51	45	1	i	2	0	799.56	0.25	0.33
ccat_404	0	2	02	2	27	6.600728e+01	157.jpg	145.jpg	56	6	0	i	4	1	748.55	0.15	0.82
ccat_404	0	2	02	2	28	6.850627e+01	117.jpg	122.jpg	17	15	1	i	1	0	553.56	0.67	0.74
ccat_404	0	2	02	2	29	7.100533e+01	132.jpg	158.jpg	48	53	1	u	2	1	830.55	0.30	0.23
ccat_404	0	2	02	2	30	7.350440e+01	160.jpg	120.jpg	14	13	1	i	1	0	683.44	0.75	0.75
ccat_404	0	2	02	2	31	7.602000e+01	120.jpg	121.jpg	13	8	0	i	1	1	775.83	0.75	0.78
ccat_404	0	2	02	2	32	7.851902e+01	160.jpg	123.jpg	14	7	1	u	1	1	908.81	0.75	0.80
ccat_404	0	2	02	2	33	8.101802e+01	113.jpg	120.jpg	16	13	1	i	1	0	697.82	0.71	0.75
ccat_404	0	2	02	2	34	8.351713e+01	117.jpg	159.jpg	17	18	1	i	1	0	774.69	0.67	0.64
ccat_404	0	2	02	2	35	8.601609e+01	159.jpg	121.jpg	18	8	0	i	1	1	707.74	0.64	0.78
ccat_404	0	2	02	2	36	8.851510e+01	114.jpg	147.jpg	12	9	0	i	1	1	680.78	0.76	0.78
ccat_404	0	2	02	2	37	9.101409e+01	150.jpg	154.jpg	47	43	0	i	2	1	805.80	0.30	0.35
ccat_404	0	2	02	2	38	9.351318e+01	150.jpg	107.jpg	47	49	0	i	2	1	1010.64	0.30	0.27
