Subject	StimName	StimNum	Rank	Wins	Loses	Total
ccat_406	101.jpg	1	6.510181e-01	7	3	10
ccat_406	102.jpg	2	8.808911e-01	9	1	10
ccat_406	103.jpg	3	4.429797e-01	4	6	10
ccat_406	104.jpg	4	1.882287e-01	1	9	10
ccat_406	105.jpg	5	4.449295e-01	4	6	10
ccat_406	106.jpg	6	4.325098e-01	2	8	10
ccat_406	107.jpg	7	2.212331e-01	2	8	10
ccat_406	108.jpg	8	1.418782e-01	0	10	10
ccat_406	109.jpg	9	8.251046e-01	10	0	10
ccat_406	110.jpg	10	2.936961e-01	1	9	10
ccat_406	111.jpg	11	2.829737e-01	2	8	10
ccat_406	112.jpg	12	2.335984e-01	2	8	10
ccat_406	113.jpg	13	7.056171e-01	7	3	10
ccat_406	114.jpg	14	3.122766e-01	2	8	10
ccat_406	115.jpg	15	8.543525e-01	9	1	10
ccat_406	116.jpg	16	8.701908e-01	10	0	10
ccat_406	117.jpg	17	2.477107e-01	2	8	10
ccat_406	118.jpg	18	2.963296e-01	3	7	10
ccat_406	119.jpg	19	6.004943e-01	6	4	10
ccat_406	120.jpg	20	2.380106e-01	1	9	10
ccat_406	121.jpg	21	2.242959e-01	1	9	10
ccat_406	122.jpg	22	1.604852e-01	1	9	10
ccat_406	123.jpg	23	2.259234e-01	2	8	10
ccat_406	124.jpg	24	3.548615e-01	3	7	10
ccat_406	125.jpg	25	5.063184e-01	6	4	10
ccat_406	126.jpg	26	3.806041e-01	3	7	10
ccat_406	127.jpg	27	6.455921e-01	6	4	10
ccat_406	128.jpg	28	5.346421e-01	6	4	10
ccat_406	129.jpg	29	5.385895e-01	6	4	10
ccat_406	130.jpg	30	3.982322e-01	4	6	10
ccat_406	131.jpg	31	7.791209e-01	9	1	10
ccat_406	132.jpg	32	3.407169e-01	2	8	10
ccat_406	133.jpg	33	7.334832e-01	8	2	10
ccat_406	134.jpg	34	5.247036e-01	5	5	10
ccat_406	135.jpg	35	5.207414e-01	5	5	10
ccat_406	136.jpg	36	6.116173e-01	7	3	10
ccat_406	137.jpg	37	6.380936e-01	6	3	9
ccat_406	138.jpg	38	8.745765e-01	9	0	9
ccat_406	139.jpg	39	5.344142e-01	5	5	10
ccat_406	140.jpg	40	8.598834e-01	10	0	10
ccat_406	141.jpg	41	6.760263e-01	9	1	10
ccat_406	142.jpg	42	6.679386e-01	7	3	10
ccat_406	143.jpg	43	8.230795e-01	10	0	10
ccat_406	144.jpg	44	7.787295e-01	9	1	10
ccat_406	145.jpg	45	4.705101e-01	5	5	10
ccat_406	146.jpg	46	5.712351e-01	6	4	10
ccat_406	147.jpg	47	1.308313e-01	0	10	10
ccat_406	148.jpg	48	1.778888e-01	0	10	10
ccat_406	149.jpg	49	5.942122e-02	0	10	10
ccat_406	150.jpg	50	6.974421e-01	7	3	10
ccat_406	151.jpg	51	7.255821e-01	7	3	10
ccat_406	152.jpg	52	5.094624e-01	6	4	10
ccat_406	153.jpg	53	3.893136e-01	4	6	10
ccat_406	154.jpg	54	6.406469e-01	7	3	10
ccat_406	155.jpg	55	4.961423e-01	6	4	10
ccat_406	156.jpg	56	7.074910e-01	8	2	10
ccat_406	157.jpg	57	6.767435e-01	8	2	10
ccat_406	158.jpg	58	7.979419e-01	9	1	10
ccat_406	159.jpg	59	3.561570e-01	3	7	10
ccat_406	160.jpg	60	9.649819e-02	0	10	10
