subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	
caau_snacks_909	 0	 1	 02	 1	 1	 2.032562e+00	 Ghiradelli_milk_Almonds.bmp	 ChipsAhoy_small.bmp	 10	 16	 1	 i	 1	 0	 1086.14	 2.27	 2.02	 
caau_snacks_909	 0	 1	 02	 1	 2	 7.030614e+00	 AnimalCrackers.bmp	 Keeblerfudgestripes.bmp	 13	 9	 1	 i	 1	 0	 884.77	 2.02	 2.32	 
caau_snacks_909	 0	 1	 02	 1	 3	 1.002931e+01	 AnimalCrackers.bmp	 ChipsAhoy_small.bmp	 13	 16	 1	 i	 1	 0	 777.58	 2.02	 2.02	 
caau_snacks_909	 0	 1	 02	 1	 4	 1.702599e+01	 Chocolate_mm.bmp	 Ghiradelli_milk_Almonds.bmp	 17	 10	 0	 u	 1	 0	 1193.54	 2.02	 2.27	 
caau_snacks_909	 0	 1	 02	 1	 5	 2.102438e+01	 Twinkie.bmp	 PopTartsCinnamon.bmp	 50	 49	 1	 u	 2	 1	 871.88	 1.51	 1.52	 
caau_snacks_909	 0	 1	 02	 1	 6	 3.003703e+01	 Milkduds.bmp	 CheesyDoritos.bmp	 11	 15	 0	 i	 1	 1	 744.96	 2.02	 2.02	 
caau_snacks_909	 0	 1	 02	 1	 7	 3.303587e+01	 Nutterbutter.bmp	 SourSkittles.bmp	 47	 43	 1	 u	 2	 1	 1083.82	 1.54	 1.55	 
caau_snacks_909	 0	 1	 02	 1	 8	 3.703406e+01	 Butterfinger.bmp	 Slimjim.bmp	 39	 40	 1	 u	 5	 1	 1092.13	 1.71	 1.71	 
caau_snacks_909	 0	 1	 02	 1	 9	 4.303136e+01	 Keeblerfudgestripes.bmp	 FrootLoops.bmp	 9	 18	 0	 u	 1	 0	 960.50	 2.32	 2.02	 
caau_snacks_909	 0	 1	 02	 1	 10	 4.603002e+01	 Doritosranch.bmp	 Oreos.bmp	 12	 8	 1	 i	 1	 0	 827.41	 2.02	 2.33	 
caau_snacks_909	 0	 1	 02	 1	 11	 5.102792e+01	 100grand_small.bmp	 PringlesRed.bmp	 46	 52	 0	 u	 2	 0	 1064.18	 1.54	 1.50	 
caau_snacks_909	 0	 1	 02	 1	 12	 5.702522e+01	 Nutterbutter.bmp	 Lollipopred.bmp	 47	 54	 1	 u	 2	 1	 760.69	 1.54	 1.01	 
caau_snacks_909	 0	 1	 02	 1	 13	 6.002396e+01	 Nutterbutter.bmp	 PopTartsCinnamon.bmp	 47	 49	 1	 u	 2	 1	 1051.24	 1.54	 1.52	 
caau_snacks_909	 0	 1	 02	 1	 14	 6.903649e+01	 Lollipopred.bmp	 Funyuns_small.bmp	 54	 53	 0	 i	 2	 1	 774.95	 1.01	 1.32	 
caau_snacks_909	 0	 1	 02	 1	 15	 7.503403e+01	 Twix.bmp	 Lollipopred.bmp	 45	 54	 1	 u	 2	 1	 937.91	 1.54	 1.01	 
caau_snacks_909	 0	 1	 02	 1	 16	 8.303059e+01	 CheesyDoritos.bmp	 ChipsAhoy_small.bmp	 15	 16	 1	 u	 1	 1	 924.76	 2.02	 2.02	 
caau_snacks_909	 0	 1	 02	 1	 17	 8.602935e+01	 Milkduds.bmp	 FrootLoops.bmp	 11	 18	 0	 i	 1	 1	 1230.27	 2.02	 2.02	 
caau_snacks_909	 0	 1	 02	 1	 18	 9.102710e+01	 Twinkie.bmp	 Laffytaffyred_one.bmp	 50	 51	 1	 u	 2	 1	 776.21	 1.51	 1.51	 
caau_snacks_909	 0	 1	 02	 1	 19	 9.402558e+01	 FrootLoops.bmp	 Almondjoy.bmp	 18	 14	 1	 i	 1	 0	 716.14	 2.02	 2.02	 
caau_snacks_909	 0	 1	 02	 1	 20	 9.702439e+01	 Milano.bmp	 ChipsAhoy_small.bmp	 7	 16	 1	 u	 1	 1	 588.85	 2.52	 2.02	 
caau_snacks_909	 0	 1	 02	 1	 21	 1.030384e+02	 Riprolls.bmp	 KitKat_small.bmp	 42	 41	 1	 i	 5	 0	 723.27	 1.55	 1.67	 
caau_snacks_909	 0	 1	 02	 1	 22	 1.100354e+02	 Doritosranch.bmp	 Almondjoy.bmp	 12	 14	 1	 u	 1	 1	 790.66	 2.02	 2.02	 
caau_snacks_909	 0	 1	 02	 1	 23	 1.150331e+02	 PopTartsCinnamon.bmp	 Twix.bmp	 49	 45	 0	 i	 2	 1	 787.35	 1.52	 1.54	 
