subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
caau_snacks_911	1	11	Ghiradelli_milk.bmp	47	1	1	5	1.010512e-01	5	1.233177e+00	1	5	2.016965e+00	5	1.038829e+00	
caau_snacks_911	1	12	Ghiradelli_milk_Almonds.bmp	54	2	1	5	4.749186e+00	5	9.568581e-01	0	1	6.365184e+00	1	7.388169e-01	
caau_snacks_911	1	3	CheesyDoritos.bmp	16	3	1	5	8.797475e+00	5	1.439230e+00	0	1	1.091335e+01	1	3.461091e-01	
caau_snacks_911	1	20	PayDay.bmp	10	4	1	5	1.296269e+01	5	1.493511e+00	1	1	1.512831e+01	1	3.150202e-01	
caau_snacks_911	1	7	FigNewton_small.bmp	13	5	1	5	1.714440e+01	5	1.450529e+00	1	1	1.926009e+01	1	4.831132e-01	
caau_snacks_911	1	21	Riprolls.bmp	52	6	1	5	2.142553e+01	5	1.022431e+00	1	4	2.312469e+01	4	7.482647e-01	
caau_snacks_911	1	16	Hersheymilk_several.bmp	48	7	1	4	2.557387e+01	4	2.670395e+00	0	1	2.890572e+01	1	1.628285e+00	
caau_snacks_911	1	22	Snickers.bmp	55	8	1	5	3.222103e+01	5	1.731385e+00	0	1	3.462008e+01	1	4.777712e-01	
caau_snacks_911	1	27	Twinkie.bmp	15	9	1	1	3.678572e+01	1	1.964737e+00	1	1	3.940824e+01	1	7.933621e-01	
caau_snacks_911	1	10	Funyuns_small.bmp	17	10	1	5	4.188363e+01	5	1.055293e+00	0	4	4.361618e+01	4	6.359219e-01	
caau_snacks_911	1	17	Laffytaffyred_one.bmp	49	11	1	1	4.593198e+01	1	1.243044e+00	0	1	4.786442e+01	1	6.180624e-01	
caau_snacks_911	1	1	AnimalCrackers.bmp	8	12	1	5	5.018038e+01	5	7.582184e-01	0	5	5.159648e+01	5	6.709084e-01	
caau_snacks_911	1	23	SourSkittles.bmp	56	13	1	1	5.394549e+01	1	9.294606e-01	0	1	5.554454e+01	1	1.712153e-01	
caau_snacks_911	1	15	Hersheykisses.bmp	51	14	1	5	5.739378e+01	5	1.449032e+00	0	1	5.950988e+01	1	4.890063e-01	
caau_snacks_911	1	13	Goldfish.bmp	11	15	1	1	6.169227e+01	1	1.075794e+00	0	1	6.344153e+01	1	5.051086e-01	
caau_snacks_911	1	24	Sourpatch.bmp	50	16	1	5	6.562395e+01	5	8.118379e-01	1	4	6.710667e+01	4	1.437192e+00	
caau_snacks_911	1	14	Granolabar.bmp	6	17	1	5	7.023862e+01	5	1.859723e+00	0	4	7.275411e+01	4	1.077871e+00	
caau_snacks_911	1	25	Streusel.bmp	5	18	1	5	7.551970e+01	5	7.514498e-01	0	1	7.693588e+01	1	4.066429e-01	
caau_snacks_911	1	26	Toberlorone.bmp	45	19	1	5	7.903491e+01	5	1.098618e+00	1	2	8.080087e+01	2	8.468737e-01	
caau_snacks_911	1	9	FrootLoops.bmp	9	20	1	5	8.333312e+01	5	1.194401e+00	0	1	8.519903e+01	1	3.421763e-01	
caau_snacks_911	1	19	MilkyWay.bmp	53	21	1	5	8.723152e+01	5	1.651171e+00	1	4	8.953065e+01	4	1.067751e+00	
caau_snacks_911	1	5	Cupcakes.bmp	46	22	1	1	9.227954e+01	1	1.202502e+00	0	5	9.414521e+01	5	7.830450e-01	
caau_snacks_911	1	18	Lollipopred.bmp	44	23	1	1	9.661089e+01	1	2.514570e+00	1	1	9.979284e+01	1	1.059354e+00	
caau_snacks_911	1	4	Cheetos.bmp	14	24	1	4	1.025418e+02	4	1.894210e+00	0	3	1.051073e+02	3	7.353399e-01	
caau_snacks_911	1	28	Whatchamacallit.bmp	43	25	1	5	1.075231e+02	5	1.191562e+00	0	1	1.093723e+02	1	1.410875e+00	
caau_snacks_911	1	2	Butterfinger.bmp	7	26	1	4	1.124711e+02	4	2.162978e+00	1	1	1.153031e+02	1	1.803179e+00	
caau_snacks_911	1	8	Fritos.bmp	18	27	1	2	1.187850e+02	2	2.766577e+00	1	2	1.222003e+02	2	2.792746e-01	
caau_snacks_911	1	6	Doritosranch.bmp	12	28	1	1	1.241661e+02	1	2.228330e+00	1	1	1.270648e+02	1	3.754510e-01	
