subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	CueTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
caau_snacks_919	 1	 3	 Oreos.bmp	 2.540208e+02	 12	 999000	 120	 999000	 999	 2.550374e+02	 483.33	 550.00	 3.00	 59	 2.99	 
caau_snacks_919	 1	 3	 Snickers.bmp	 2.559947e+02	 12	 999000	 120	 999000	 999	 2.570195e+02	 483.33	 550.00	 21.00	 32	 2.02	 
caau_snacks_919	 1	 3	 FlamingCheetos.bmp	 2.579948e+02	 11	 8.674442e+02	 110	 4.833400e+02	 98	 2.590190e+02	 500.00	 550.00	 12.00	 49	 2.49	 
caau_snacks_919	 1	 3	 Keeblerfudgestripes.bmp	 2.600019e+02	 12	 999000	 120	 999000	 999	 2.610179e+02	 500.00	 550.00	 8.00	 52	 2.54	 
caau_snacks_919	 1	 3	 Nutterbutter.bmp	 2.649996e+02	 11	 8.197186e+02	 110	 5.000061e+02	 98	 2.660159e+02	 516.67	 550.00	 15.00	 27	 2.03	 
caau_snacks_919	 1	 3	 Sourpatch.bmp	 2.669992e+02	 12	 999000	 120	 999000	 999	 2.680150e+02	 516.67	 550.00	 19.00	 6	 2.02	 
caau_snacks_919	 1	 3	 Cupcakes.bmp	 2.689984e+02	 12	 999000	 120	 999000	 999	 2.700142e+02	 516.67	 550.00	 6.00	 29	 2.98	 
caau_snacks_919	 1	 3	 Jollyranchergreen.bmp	 2.739963e+02	 22	 9.083473e+02	 220	 5.500064e+02	 98	 2.750122e+02	 516.67	 566.67	 50.00	 56	 1.48	 
caau_snacks_919	 1	 3	 Toberlorone.bmp	 2.770121e+02	 12	 999000	 120	 999000	 999	 2.780276e+02	 516.67	 566.67	 5.00	 42	 2.99	 
caau_snacks_919	 1	 3	 Whatchamacallit.bmp	 2.800106e+02	 22	 2.791961e+02	 22	 5.666713e+02	 98	 2.810264e+02	 516.67	 583.33	 53.00	 50	 1.03	 
caau_snacks_919	 1	 3	 Granolabar.bmp	 2.830094e+02	 11	 1.037510e+03	 1100	 5.166718e+02	 98	 2.840252e+02	 466.67	 583.33	 18.00	 30	 2.02	 
caau_snacks_919	 1	 3	 Funyuns_small.bmp	 2.850086e+02	 24	 999000	 240	 999000	 999	 2.860243e+02	 466.67	 583.33	 40.00	 34	 1.82	 
caau_snacks_919	 1	 3	 Twix.bmp	 2.880073e+02	 12	 999000	 120	 999000	 999	 2.890188e+02	 466.67	 583.33	 17.00	 33	 2.02	 
caau_snacks_919	 1	 3	 RitzBitz2.bmp	 2.900064e+02	 12	 999000	 120	 999000	 999	 2.910223e+02	 466.67	 583.33	 16.00	 10	 2.02	 
caau_snacks_919	 1	 3	 SnoBall.bmp	 2.920057e+02	 12	 999000	 120	 999000	 999	 2.930215e+02	 466.67	 583.33	 22.00	 53	 2.02	 
caau_snacks_919	 1	 3	 Cheetos.bmp	 2.940047e+02	 22	 9.256071e+02	 220	 5.833378e+02	 98	 2.950207e+02	 466.67	 600.00	 45.00	 8	 1.51	 
caau_snacks_919	 1	 3	 3Musketeers.bmp	 2.980035e+02	 22	 1.189130e+03	 2200	 6.000074e+02	 98	 2.990190e+02	 466.67	 550.00	 47.00	 37	 1.50	 
caau_snacks_919	 1	 3	 Riprolls.bmp	 3.000024e+02	 24	 999000	 240	 999000	 999	 3.010181e+02	 466.67	 550.00	 48.00	 47	 1.50	 
caau_snacks_919	 1	 3	 Ghiradelli_milk.bmp	 3.050006e+02	 11	 8.691130e+02	 110	 4.666731e+02	 98	 3.060162e+02	 483.33	 550.00	 7.00	 18	 2.98	 
caau_snacks_919	 1	 3	 Hersheymilk_several.bmp	 3.099988e+02	 24	 999000	 240	 999000	 999	 3.110145e+02	 483.33	 550.00	 55.00	 7	 1.01	 
caau_snacks_919	 1	 3	 Jollyrancherred.bmp	 3.119974e+02	 24	 999000	 240	 999000	 999	 3.130133e+02	 483.33	 550.00	 42.00	 5	 1.52	 
caau_snacks_919	 1	 3	 PayDay.bmp	 3.180119e+02	 24	 999000	 240	 999000	 999	 3.190279e+02	 483.33	 550.00	 56.00	 13	 1.01	 
caau_snacks_919	 1	 3	 Streusel.bmp	 3.200109e+02	 24	 999000	 240	 999000	 999	 3.210270e+02	 483.33	 550.00	 54.00	 2	 1.02	 
caau_snacks_919	 1	 3	 Twinkie.bmp	 3.230098e+02	 12	 999000	 120	 999000	 999	 3.240211e+02	 483.33	 550.00	 9.00	 26	 2.52	 
caau_snacks_919	 1	 3	 AnimalCrackers.bmp	 3.260087e+02	 12	 999000	 120	 999000	 999	 3.270243e+02	 483.33	 550.00	 14.00	 46	 2.03	 
caau_snacks_919	 1	 3	 Lollipopred.bmp	 3.279948e+02	 24	 999000	 240	 999000	 999	 3.290062e+02	 483.33	 550.00	 58.00	 21	 0.80	 
caau_snacks_919	 1	 3	 Almondjoy.bmp	 3.300068e+02	 24	 999000	 240	 999000	 999	 3.310183e+02	 483.33	 550.00	 41.00	 25	 1.76	 
