subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	CueTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
caau_snacks_925	 1	 8	 PopTartsCinnamon.bmp	 8.783034e+02	 12	 999000	 120	 999000	 999	 8.793194e+02	 383.33	 450.00	 5.00	 47	 2.00	 
caau_snacks_925	 1	 8	 Keeblerfudgestripes.bmp	 8.803026e+02	 12	 999000	 120	 999000	 999	 8.813186e+02	 383.33	 450.00	 19.00	 13	 1.01	 
caau_snacks_925	 1	 8	 Streusel.bmp	 8.822923e+02	 22	 7.956874e+02	 220	 4.500045e+02	 98	 8.833036e+02	 383.33	 466.67	 52.00	 55	 0.16	 
caau_snacks_925	 1	 8	 Milkduds.bmp	 8.843011e+02	 11	 7.295722e+02	 110	 3.833391e+02	 98	 8.853125e+02	 400.00	 466.67	 12.00	 17	 1.24	 
caau_snacks_925	 1	 8	 ChipsAhoy_small.bmp	 8.892992e+02	 12	 999000	 120	 999000	 999	 8.903150e+02	 400.00	 466.67	 14.00	 4	 1.10	 
caau_snacks_925	 1	 8	 Hersheymilk_several.bmp	 8.912983e+02	 24	 999000	 240	 999000	 999	 8.923098e+02	 400.00	 466.67	 49.00	 18	 0.22	 
caau_snacks_925	 1	 8	 Skittles.bmp	 8.932974e+02	 22	 8.476627e+02	 220	 4.666730e+02	 98	 8.943132e+02	 400.00	 483.33	 47.00	 42	 0.26	 
caau_snacks_925	 1	 8	 FigNewton_small.bmp	 8.982956e+02	 22	 8.138663e+02	 220	 4.833368e+02	 98	 8.993112e+02	 400.00	 500.00	 44.00	 33	 0.30	 
caau_snacks_925	 1	 8	 PopTartsStrawberry.bmp	 9.012944e+02	 22	 8.067377e+02	 220	 5.000030e+02	 98	 9.023101e+02	 400.00	 516.67	 45.00	 8	 0.28	 
caau_snacks_925	 1	 8	 Lollipopred.bmp	 9.043098e+02	 24	 999000	 240	 999000	 999	 9.053255e+02	 400.00	 516.67	 58.00	 57	 0.04	 
caau_snacks_925	 1	 8	 Snickers.bmp	 9.073083e+02	 12	 6.642236e+02	 12	 999000	 98	 9.083243e+02	 400.00	 516.67	 22.00	 36	 0.88	 
caau_snacks_925	 1	 8	 Toberlorone.bmp	 9.093077e+02	 22	 9.914005e+02	 220	 5.166707e+02	 98	 9.103235e+02	 400.00	 533.33	 53.00	 16	 0.11	 
caau_snacks_925	 1	 8	 SourSkittles.bmp	 9.123065e+02	 24	 999000	 240	 999000	 999	 9.133223e+02	 400.00	 533.33	 41.00	 24	 0.39	 
caau_snacks_925	 1	 8	 Ghiradelli_milk.bmp	 9.143056e+02	 24	 999000	 240	 999000	 999	 9.153215e+02	 400.00	 533.33	 43.00	 21	 0.32	 
caau_snacks_925	 1	 8	 HoHo.bmp	 9.163048e+02	 24	 999000	 240	 999000	 999	 9.173206e+02	 400.00	 533.33	 48.00	 27	 0.23	 
caau_snacks_925	 1	 8	 Cupcakes.bmp	 9.183040e+02	 11	 8.153028e+02	 110	 4.000072e+02	 98	 9.193154e+02	 416.67	 533.33	 18.00	 1	 1.02	 
caau_snacks_925	 1	 8	 Fritos.bmp	 9.223026e+02	 12	 999000	 120	 999000	 999	 9.233140e+02	 416.67	 533.33	 4.00	 11	 2.01	 
caau_snacks_925	 1	 8	 Dots_one.bmp	 9.243015e+02	 24	 999000	 240	 999000	 999	 9.253174e+02	 416.67	 533.33	 56.00	 58	 0.07	 
caau_snacks_925	 1	 8	 Hersheykisses.bmp	 9.292996e+02	 24	 999000	 240	 999000	 999	 9.303154e+02	 416.67	 533.33	 57.00	 31	 0.05	 
caau_snacks_925	 1	 8	 Nutterbutter.bmp	 9.342976e+02	 11	 8.971845e+02	 110	 4.166698e+02	 98	 9.353134e+02	 433.33	 533.33	 13.00	 30	 1.12	 
caau_snacks_925	 1	 8	 Reeses.bmp	 9.362969e+02	 12	 999000	 120	 999000	 999	 9.373125e+02	 433.33	 533.33	 8.00	 7	 1.43	 
caau_snacks_925	 1	 8	 Almondjoy.bmp	 9.422945e+02	 12	 999000	 120	 999000	 999	 9.433100e+02	 433.33	 533.33	 11.00	 51	 1.27	 
caau_snacks_925	 1	 8	 RitzBitz2.bmp	 9.442934e+02	 24	 999000	 240	 999000	 999	 9.453094e+02	 433.33	 533.33	 46.00	 53	 0.26	 
caau_snacks_925	 1	 8	 TeddyGrahamschocolate.bmp	 9.473088e+02	 24	 999000	 240	 999000	 999	 9.483202e+02	 433.33	 533.33	 54.00	 32	 0.11	 
caau_snacks_925	 1	 8	 Laysclassic.bmp	 9.503078e+02	 24	 999000	 240	 999000	 999	 9.513235e+02	 433.33	 533.33	 51.00	 54	 0.18	 
caau_snacks_925	 1	 8	 Jollyranchergreen.bmp	 9.523069e+02	 22	 1.275743e+03	 2200	 5.333361e+02	 98	 9.533228e+02	 433.33	 483.33	 50.00	 56	 0.20	 
caau_snacks_925	 1	 8	 Butterfinger.bmp	 9.543063e+02	 24	 999000	 240	 999000	 999	 9.553219e+02	 433.33	 483.33	 55.00	 46	 0.10	 
caau_snacks_925	 1	 8	 Jollyrancherred.bmp	 9.593043e+02	 24	 999000	 240	 999000	 999	 9.603199e+02	 433.33	 483.33	 40.00	 23	 0.41	 
caau_snacks_925	 1	 8	 Twix.bmp	 9.663015e+02	 12	 999000	 120	 999000	 999	 9.673171e+02	 433.33	 483.33	 21.00	 60	 1.00	 
caau_snacks_925	 1	 8	 PeanutMMs.bmp	 9.683004e+02	 12	 999000	 120	 999000	 999	 9.693163e+02	 433.33	 483.33	 17.00	 12	 1.02	 
caau_snacks_925	 1	 8	 Doritosranch.bmp	 9.702997e+02	 12	 999000	 120	 999000	 999	 9.713154e+02	 433.33	 483.33	 20.00	 34	 1.01	 
caau_snacks_925	 1	 8	 CheesyDoritos.bmp	 9.742982e+02	 12	 999000	 120	 999000	 999	 9.753097e+02	 433.33	 483.33	 6.00	 20	 1.73	 
caau_snacks_925	 1	 8	 Cheetos.bmp	 9.782966e+02	 12	 999000	 120	 999000	 999	 9.793123e+02	 433.33	 483.33	 9.00	 37	 1.40	 
caau_snacks_925	 1	 8	 Laffytaffyred_one.bmp	 9.802957e+02	 24	 999000	 240	 999000	 999	 9.813114e+02	 433.33	 483.33	 42.00	 43	 0.34	 
caau_snacks_925	 1	 8	 Oreos.bmp	 9.822947e+02	 12	 999000	 120	 999000	 999	 9.833061e+02	 433.33	 483.33	 16.00	 52	 1.08	 
caau_snacks_925	 1	 8	 KitKat_small.bmp	 9.842940e+02	 12	 999000	 120	 999000	 999	 9.853098e+02	 433.33	 483.33	 3.00	 10	 2.02	 
caau_snacks_925	 1	 8	 MilkyWay.bmp	 9.873094e+02	 11	 8.572706e+02	 110	 4.333399e+02	 98	 9.883253e+02	 450.00	 483.33	 10.00	 3	 1.37	 
caau_snacks_925	 1	 8	 Granolabar.bmp	 9.903084e+02	 11	 7.453397e+02	 110	 4.500033e+02	 98	 9.913240e+02	 466.67	 483.33	 15.00	 2	 1.10	 
caau_snacks_925	 1	 8	 Goldfish.bmp	 9.933073e+02	 11	 7.836405e+02	 110	 4.666695e+02	 98	 9.943187e+02	 483.33	 483.33	 7.00	 9	 1.46	 
caau_snacks_925	 1	 8	 BabyRuth.bmp	 9.963057e+02	 24	 999000	 240	 999000	 999	 9.973172e+02	 483.33	 483.33	 39.00	 35	 0.45	 
