subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
caau_snacks_930	2	24	Streusel.bmp	11	1	1	5	1.266188e-01	5	1.018331e+00	1	3	1.833307e+00	3	8.260142e-01	
caau_snacks_930	2	34	cherryicecream.bmp	0	2	0	1	4.375514e+00	1	2.737031e+00	0	1	7.791147e+00	1	1.046899e+00	
caau_snacks_930	2	25	AppleJacks.bmp	0	3	0	1	1.054024e+01	1	2.956094e+00	0	1	1.415588e+01	1	6.193785e-01	
caau_snacks_930	2	30	Ruffles.bmp	0	4	0	5	1.645501e+01	5	1.287438e+00	0	3	1.840435e+01	3	1.018593e+00	
caau_snacks_930	2	5	ChipsAhoy_small.bmp	12	5	1	5	2.111123e+01	5	1.609762e+00	0	3	2.338655e+01	3	3.413092e-01	
caau_snacks_930	2	9	FigNewton_small.bmp	54	6	1	5	2.543545e+01	5	8.238160e-01	1	3	2.693514e+01	3	4.188091e-01	
caau_snacks_930	2	31	TeddyGrahamsCinnamon.bmp	0	7	0	2	2.905094e+01	2	2.362409e+00	0	2	3.208336e+01	2	1.163815e+00	
caau_snacks_930	2	18	PeanutMMs.bmp	44	8	1	5	3.493234e+01	5	9.350628e-01	0	3	3.653211e+01	3	2.290527e+00	
caau_snacks_930	2	37	frozenyogart.bmp	0	9	0	1	4.051397e+01	1	1.461837e+00	0	1	4.263001e+01	1	7.861043e-01	
caau_snacks_930	2	36	frostedcheerios.bmp	0	10	0	1	4.509599e+01	1	1.358165e+00	0	1	4.712868e+01	1	5.651956e-01	
caau_snacks_930	2	45	trix.bmp	0	11	0	1	4.937777e+01	1	1.174643e+00	0	1	5.121065e+01	1	9.198519e-01	
caau_snacks_930	2	23	Sourpatch.bmp	43	12	1	5	5.382651e+01	5	7.541753e-01	1	3	5.524272e+01	3	9.422694e-01	
caau_snacks_930	2	17	Milkduds.bmp	18	13	1	5	5.787522e+01	5	1.003858e+00	0	3	5.955804e+01	3	3.475165e-01	
caau_snacks_930	2	40	luckycharms.bmp	0	14	0	5	6.159067e+01	5	1.113541e+00	0	3	6.337351e+01	3	3.706537e-01	
caau_snacks_930	2	47	vanillapudding.bmp	0	15	0	1	6.543945e+01	1	1.014811e+00	0	1	6.712237e+01	1	2.283917e+00	
caau_snacks_930	2	19	PopTartsCinnamon.bmp	49	16	1	5	7.108762e+01	5	7.650347e-01	1	3	7.252062e+01	3	5.880776e-01	
caau_snacks_930	2	39	keeblerrainbow.bmp	0	17	0	1	7.478655e+01	1	2.419529e+00	0	1	7.786896e+01	1	6.823581e-01	
caau_snacks_930	2	38	jollyrancherpurple.bmp	0	18	0	1	8.025150e+01	1	1.884059e+00	0	1	8.280045e+01	1	7.949017e-01	
caau_snacks_930	2	2	BabyRuth.bmp	17	19	1	5	8.529992e+01	5	1.460335e+00	1	3	8.743258e+01	3	3.540745e-01	
caau_snacks_930	2	6	Chocolate_mm.bmp	46	20	1	5	8.946529e+01	5	8.652234e-01	1	3	9.098157e+01	3	1.954985e+00	
caau_snacks_930	2	28	Crunch.bmp	0	21	0	1	9.460661e+01	1	1.217511e+00	0	1	9.647950e+01	1	3.499300e-01	
caau_snacks_930	2	16	Laffytaffyred_one.bmp	50	22	1	5	9.852906e+01	5	9.496084e-01	0	3	1.001452e+02	3	2.796526e-01	
caau_snacks_930	2	8	Dots_one.bmp	14	23	1	5	1.021280e+02	5	1.310929e+00	1	3	1.040887e+02	3	2.592848e-01	
caau_snacks_930	2	46	uToberlorone.bmp	0	24	0	5	1.060268e+02	5	1.904508e+00	0	3	1.085926e+02	3	5.875925e-01	
caau_snacks_930	2	43	slimfastV.bmp	0	25	0	1	1.108584e+02	1	9.188000e-01	0	1	1.124413e+02	1	4.145548e-01	
caau_snacks_930	2	20	RitzBitz2.bmp	45	26	1	5	1.145573e+02	5	1.807996e+00	0	3	1.170399e+02	3	1.383166e+00	
