subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	CueTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
caau_snacks_930	 2	 3	 Twinkie.bmp	 2.561906e+02	 24	 999000	 240	 999000	 999	 2.572022e+02	 616.67	 616.67	 55.00	 34	 0.70	 
caau_snacks_930	 2	 3	 Streusel.bmp	 2.601734e+02	 11	 9.658186e+02	 110	 6.166699e+02	 98	 2.611849e+02	 633.33	 616.67	 11.00	 28	 1.51	 
caau_snacks_930	 2	 3	 FrootLoops.bmp	 2.641719e+02	 24	 999000	 240	 999000	 999	 2.651833e+02	 633.33	 616.67	 52.00	 54	 0.71	 
caau_snacks_930	 2	 3	 Lollipopred.bmp	 2.671711e+02	 24	 999000	 240	 999000	 999	 2.681871e+02	 633.33	 616.67	 57.00	 1	 0.53	 
caau_snacks_930	 2	 3	 100grand_small.bmp	 2.721696e+02	 12	 999000	 120	 999000	 999	 2.731851e+02	 633.33	 616.67	 21.00	 57	 1.02	 
caau_snacks_930	 2	 3	 Riprolls.bmp	 2.761683e+02	 12	 999000	 120	 999000	 999	 2.771797e+02	 633.33	 616.67	 20.00	 43	 1.02	 
caau_snacks_930	 2	 3	 Hersheymilk_several.bmp	 2.781676e+02	 24	 999000	 240	 999000	 999	 2.791837e+02	 633.33	 616.67	 56.00	 17	 0.53	 
caau_snacks_930	 2	 3	 RitzBitz2.bmp	 2.801667e+02	 24	 999000	 240	 999000	 999	 2.811827e+02	 633.33	 616.67	 45.00	 50	 1.01	 
caau_snacks_930	 2	 3	 Milkduds.bmp	 2.841825e+02	 12	 999000	 120	 999000	 999	 2.851939e+02	 633.33	 616.67	 18.00	 15	 1.02	 
caau_snacks_930	 2	 3	 Jollyranchergreen.bmp	 2.871815e+02	 24	 999000	 240	 999000	 999	 2.881975e+02	 633.33	 616.67	 53.00	 8	 0.71	 
caau_snacks_930	 2	 3	 Dots_one.bmp	 2.891807e+02	 11	 1.081542e+03	 1100	 6.333399e+02	 98	 2.901921e+02	 583.33	 616.67	 14.00	 24	 1.03	 
caau_snacks_930	 2	 3	 Ghiradelli_milk_Almonds.bmp	 2.941793e+02	 12	 999000	 120	 999000	 999	 2.951949e+02	 583.33	 616.67	 5.00	 58	 2.01	 
caau_snacks_930	 2	 3	 Cheetos.bmp	 2.971782e+02	 11	 9.692935e+02	 110	 5.833390e+02	 98	 2.981896e+02	 600.00	 616.67	 16.00	 30	 1.02	 
caau_snacks_930	 2	 3	 Milano.bmp	 3.001774e+02	 12	 999000	 120	 999000	 999	 3.011929e+02	 600.00	 616.67	 4.00	 3	 2.01	 
caau_snacks_930	 2	 3	 Skittles.bmp	 3.031764e+02	 24	 999000	 240	 999000	 999	 3.041877e+02	 600.00	 616.67	 42.00	 45	 1.01	 
caau_snacks_930	 2	 3	 Doritosranch.bmp	 3.071752e+02	 24	 999000	 240	 999000	 999	 3.081911e+02	 600.00	 616.67	 47.00	 56	 1.01	 
caau_snacks_930	 2	 3	 HoHo.bmp	 3.111738e+02	 22	 9.603642e+02	 220	 6.166715e+02	 98	 3.121895e+02	 600.00	 633.33	 51.00	 60	 0.72	 
caau_snacks_930	 2	 3	 Snickers.bmp	 3.131730e+02	 12	 999000	 120	 999000	 999	 3.141843e+02	 600.00	 633.33	 10.00	 7	 1.51	 
caau_snacks_930	 2	 3	 SnoBall.bmp	 3.151725e+02	 12	 999000	 120	 999000	 999	 3.161882e+02	 600.00	 633.33	 15.00	 27	 1.02	 
caau_snacks_930	 2	 3	 ChipsAhoy_small.bmp	 3.171719e+02	 12	 999000	 120	 999000	 999	 3.181877e+02	 600.00	 633.33	 12.00	 6	 1.51	 
caau_snacks_930	 2	 3	 Oreos.bmp	 3.191713e+02	 24	 999000	 240	 999000	 999	 3.201870e+02	 600.00	 633.33	 39.00	 5	 1.01	 
caau_snacks_930	 2	 3	 CheesyDoritos.bmp	 3.211706e+02	 11	 9.812731e+02	 110	 6.000066e+02	 98	 3.221867e+02	 616.67	 633.33	 9.00	 21	 1.51	 
caau_snacks_930	 2	 3	 FamousAmos_small.bmp	 3.231700e+02	 12	 999000	 120	 999000	 999	 3.241858e+02	 616.67	 633.33	 6.00	 40	 1.55	 
caau_snacks_930	 2	 3	 PeanutMMs.bmp	 3.251694e+02	 24	 999000	 240	 999000	 999	 3.261808e+02	 616.67	 633.33	 44.00	 51	 1.01	 
caau_snacks_930	 2	 3	 PringlesRed.bmp	 3.271688e+02	 24	 999000	 240	 999000	 999	 3.281802e+02	 616.67	 633.33	 40.00	 25	 1.01	 
caau_snacks_930	 2	 3	 Chocolate_mm.bmp	 3.301679e+02	 22	 1.025585e+03	 2200	 6.333380e+02	 98	 3.311794e+02	 616.67	 583.33	 46.00	 53	 1.01	 
caau_snacks_930	 2	 3	 BabyRuth.bmp	 3.331835e+02	 11	 9.610520e+02	 110	 6.166691e+02	 98	 3.341950e+02	 633.33	 583.33	 17.00	 46	 1.02	 
caau_snacks_930	 2	 3	 Ghiradelli_milk.bmp	 3.361825e+02	 12	 999000	 120	 999000	 999	 3.371940e+02	 633.33	 583.33	 3.00	 18	 2.02	 
caau_snacks_930	 2	 3	 FlamingCheetos.bmp	 3.411810e+02	 12	 999000	 120	 999000	 999	 3.421970e+02	 633.33	 583.33	 7.00	 26	 1.52	 
caau_snacks_930	 2	 3	 Laffytaffyred_one.bmp	 3.441800e+02	 24	 999000	 240	 999000	 999	 3.451957e+02	 633.33	 583.33	 50.00	 9	 0.72	 
caau_snacks_930	 2	 3	 Jollyrancherred.bmp	 3.471789e+02	 22	 1.059646e+03	 2200	 5.833398e+02	 98	 3.481949e+02	 633.33	 533.33	 48.00	 13	 0.76	 
caau_snacks_930	 2	 3	 Granolabar.bmp	 3.491785e+02	 11	 1.167376e+03	 1100	 6.333360e+02	 98	 3.501942e+02	 583.33	 533.33	 8.00	 16	 1.51	 
caau_snacks_930	 2	 3	 PopTartsCinnamon.bmp	 3.521776e+02	 22	 9.282843e+02	 220	 5.333400e+02	 98	 3.531933e+02	 583.33	 550.00	 49.00	 11	 0.73	 
caau_snacks_930	 2	 3	 PayDay.bmp	 3.551765e+02	 12	 999000	 120	 999000	 999	 3.561923e+02	 583.33	 550.00	 19.00	 41	 1.02	 
caau_snacks_930	 2	 3	 Twix.bmp	 3.581756e+02	 24	 999000	 240	 999000	 999	 3.591870e+02	 583.33	 550.00	 41.00	 31	 1.01	 
caau_snacks_930	 2	 3	 Nutterbutter.bmp	 3.601748e+02	 12	 999000	 120	 999000	 999	 3.611907e+02	 583.33	 550.00	 22.00	 10	 1.02	 
caau_snacks_930	 2	 3	 Almondjoy.bmp	 3.621742e+02	 12	 999000	 120	 999000	 999	 3.631857e+02	 583.33	 550.00	 13.00	 39	 1.51	 
caau_snacks_930	 2	 3	 Hersheykisses.bmp	 3.641736e+02	 24	 999000	 240	 999000	 999	 3.651895e+02	 583.33	 550.00	 58.00	 2	 0.52	 
caau_snacks_930	 2	 3	 FigNewton_small.bmp	 3.681723e+02	 22	 9.741483e+02	 220	 5.500065e+02	 98	 3.691838e+02	 583.33	 566.67	 54.00	 12	 0.71	 
caau_snacks_930	 2	 3	 Sourpatch.bmp	 3.741705e+02	 22	 9.709309e+02	 220	 5.666721e+02	 98	 3.751820e+02	 583.33	 583.33	 43.00	 48	 1.01	 
