subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
CAr_111	 1	 4	 KinderBuenoBrown3.bmp	 3.995706e+02	 11	 8.442686e+02	 110	 5.166880e+02	 98	 4.005885e+02	 533.33	 516.67	 13.00	 19	 1.69	 
CAr_111	 1	 4	 Bounty.bmp	 4.025574e+02	 24	 999000	 240	 999000	 999	 4.035751e+02	 533.33	 516.67	 55.00	 5	 0.02	 
CAr_111	 1	 4	 HappyHippo.bmp	 4.065619e+02	 11	 1.004982e+03	 1100	 5.333411e+02	 98	 4.075814e+02	 483.33	 516.67	 10.00	 31	 1.71	 
CAr_111	 1	 4	 Cheetos.bmp	 4.085641e+02	 24	 999000	 240	 999000	 999	 4.095819e+02	 483.33	 516.67	 57.00	 41	 0.02	 
CAr_111	 1	 4	 Twix.bmp	 4.105663e+02	 22	 9.685323e+02	 220	 5.166784e+02	 98	 4.115841e+02	 483.33	 533.33	 52.00	 52	 0.04	 
CAr_111	 1	 4	 CrunchShokoVanil.bmp	 4.145709e+02	 22	 9.079855e+02	 220	 5.333415e+02	 98	 4.155886e+02	 483.33	 550.00	 45.00	 49	 0.07	 
CAr_111	 1	 4	 PesekZman.bmp	 4.165565e+02	 11	 8.424121e+02	 110	 4.833467e+02	 98	 4.175742e+02	 500.00	 550.00	 18.00	 18	 1.64	 
CAr_111	 1	 4	 Mars.bmp	 4.215620e+02	 12	 999000	 120	 999000	 999	 4.225798e+02	 500.00	 550.00	 16.00	 60	 1.69	 
CAr_111	 1	 4	 Dubonim.bmp	 4.235643e+02	 24	 999000	 240	 999000	 999	 4.245820e+02	 500.00	 550.00	 39.00	 12	 0.07	 
CAr_111	 1	 4	 BambaSweet.bmp	 4.265676e+02	 24	 999000	 240	 999000	 999	 4.275854e+02	 500.00	 550.00	 54.00	 59	 0.04	 
CAr_111	 1	 4	 Tapuchips.bmp	 4.295710e+02	 24	 999000	 240	 999000	 999	 4.305888e+02	 500.00	 550.00	 41.00	 26	 0.07	 
CAr_111	 1	 4	 ClickXLbrown4.bmp	 4.335589e+02	 12	 999000	 120	 999000	 999	 4.345767e+02	 500.00	 550.00	 8.00	 22	 1.71	 
CAr_111	 1	 4	 Twist.bmp	 4.365623e+02	 22	 9.485939e+02	 220	 5.500086e+02	 98	 4.375800e+02	 500.00	 566.67	 50.00	 44	 0.04	 
CAr_111	 1	 4	 HispusimShatiah.bmp	 4.385644e+02	 24	 999000	 240	 999000	 999	 4.395822e+02	 500.00	 566.67	 42.00	 27	 0.07	 
CAr_111	 1	 4	 Mekupelet.bmp	 4.415678e+02	 24	 999000	 240	 999000	 999	 4.425856e+02	 500.00	 566.67	 58.00	 53	 0.02	 
CAr_111	 1	 4	 Smarties.bmp	 4.455554e+02	 22	 9.075279e+02	 220	 5.666853e+02	 98	 4.465734e+02	 500.00	 583.33	 53.00	 56	 0.04	 
CAr_111	 1	 4	 ChocolateParaSucariotKoftzot2.bmp	 4.485590e+02	 12	 999000	 120	 999000	 999	 4.495768e+02	 500.00	 583.33	 14.00	 35	 1.69	 
CAr_111	 1	 4	 Kitkat.bmp	 4.505613e+02	 12	 999000	 120	 999000	 999	 4.515790e+02	 500.00	 583.33	 6.00	 21	 2.67	 
CAr_111	 1	 4	 BisliOnion.bmp	 4.525635e+02	 24	 999000	 240	 999000	 999	 4.535812e+02	 500.00	 583.33	 49.00	 43	 0.04	 
CAr_111	 1	 4	 DoritosNatural.bmp	 4.575691e+02	 22	 9.337774e+02	 220	 5.833485e+02	 98	 4.585870e+02	 500.00	 600.00	 44.00	 40	 0.07	 
CAr_111	 1	 4	 Loacker.bmp	 4.615569e+02	 11	 8.820187e+02	 110	 5.000138e+02	 98	 4.625747e+02	 516.67	 600.00	 15.00	 48	 1.69	 
CAr_111	 1	 4	 Shugi.bmp	 4.655614e+02	 12	 999000	 120	 999000	 999	 4.665791e+02	 516.67	 600.00	 11.00	 32	 1.71	 
CAr_111	 1	 4	 Taami.bmp	 4.715682e+02	 12	 999000	 120	 999000	 999	 4.725859e+02	 516.67	 600.00	 5.00	 38	 2.69	 
CAr_111	 1	 4	 Keifli.bmp	 4.735704e+02	 24	 999000	 240	 999000	 999	 4.745881e+02	 516.67	 600.00	 43.00	 30	 0.07	 
CAr_111	 1	 4	 Popco.bmp	 4.755561e+02	 24	 999000	 240	 999000	 999	 4.765738e+02	 516.67	 600.00	 40.00	 23	 0.07	 
CAr_111	 1	 4	 Apropo.bmp	 4.775582e+02	 24	 999000	 240	 999000	 999	 4.785761e+02	 516.67	 600.00	 48.00	 25	 0.04	 
CAr_111	 1	 4	 KinderJoy.bmp	 4.795604e+02	 12	 999000	 120	 999000	 999	 4.805783e+02	 516.67	 600.00	 19.00	 20	 1.64	 
CAr_111	 1	 4	 BambaNugat.bmp	 4.835649e+02	 24	 999000	 240	 999000	 999	 4.845828e+02	 516.67	 600.00	 56.00	 10	 0.02	 
CAr_111	 1	 4	 Hit.bmp	 4.855672e+02	 12	 999000	 120	 999000	 999	 4.865850e+02	 516.67	 600.00	 21.00	 51	 0.69	 
CAr_111	 1	 4	 Bamba.bmp	 4.895548e+02	 11	 1.028101e+03	 1100	 5.166749e+02	 98	 4.905728e+02	 466.67	 600.00	 12.00	 1	 1.69	 
CAr_111	 1	 4	 Tictac.bmp	 4.915572e+02	 12	 999000	 120	 999000	 999	 4.925751e+02	 466.67	 600.00	 20.00	 39	 1.62	 
CAr_111	 1	 4	 SkittlesFruits2.bmp	 4.935595e+02	 12	 999000	 120	 999000	 999	 4.945773e+02	 466.67	 600.00	 3.00	 8	 2.69	 
CAr_111	 1	 4	 ClickBisquit2.bmp	 4.955619e+02	 11	 8.129858e+02	 110	 4.666925e+02	 98	 4.965796e+02	 483.33	 600.00	 7.00	 4	 1.71	 
CAr_111	 1	 4	 DoritosSourSpicy.bmp	 5.005674e+02	 24	 999000	 240	 999000	 999	 5.015852e+02	 483.33	 600.00	 46.00	 9	 0.04	 
CAr_111	 1	 4	 ChocolateParaMilk3.bmp	 5.025697e+02	 24	 999000	 240	 999000	 999	 5.035875e+02	 483.33	 600.00	 51.00	 47	 0.04	 
CAr_111	 1	 4	 ChocolateParaCookies5.bmp	 5.045558e+02	 12	 999000	 120	 999000	 999	 5.055730e+02	 483.33	 600.00	 22.00	 34	 0.67	 
CAr_111	 1	 4	 KifkefMaklot2.bmp	 5.075585e+02	 12	 999000	 120	 999000	 999	 5.085764e+02	 483.33	 600.00	 17.00	 54	 1.67	 
CAr_111	 1	 4	 ClickBlackWhite3.bmp	 5.145664e+02	 12	 999000	 120	 999000	 999	 5.155842e+02	 483.33	 600.00	 4.00	 37	 2.69	 
CAr_111	 1	 4	 ClickBalls5.bmp	 5.185709e+02	 12	 999000	 120	 999000	 999	 5.195887e+02	 483.33	 600.00	 9.00	 29	 1.71	 
CAr_111	 1	 4	 Egozi.bmp	 5.255621e+02	 22	 9.727516e+02	 220	 6.000104e+02	 98	 5.265799e+02	 483.33	 616.67	 47.00	 16	 0.04	 
