subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
CAr_119	 1	 7	 ClickBalls5.bmp	 7.817835e+02	 12	 999000	 120	 999000	 999	 7.828014e+02	 616.67	 616.67	 22.00	 20	 0.71	 
CAr_119	 1	 7	 Tictac.bmp	 7.837690e+02	 22	 9.573034e+02	 220	 6.166826e+02	 98	 7.847869e+02	 616.67	 633.33	 50.00	 56	 0.11	 
CAr_119	 1	 7	 Bounty.bmp	 7.877736e+02	 24	 999000	 240	 999000	 999	 7.887913e+02	 616.67	 633.33	 42.00	 35	 0.13	 
CAr_119	 1	 7	 BagaleShtuhim.bmp	 7.907770e+02	 22	 9.733108e+02	 220	 6.333420e+02	 98	 7.917948e+02	 616.67	 650.00	 44.00	 52	 0.13	 
CAr_119	 1	 7	 ClickBlackWhite3.bmp	 7.927792e+02	 12	 999000	 120	 999000	 999	 7.937969e+02	 616.67	 650.00	 19.00	 17	 1.11	 
CAr_119	 1	 7	 HispusimShatiah.bmp	 7.957660e+02	 12	 999000	 120	 999000	 999	 7.967837e+02	 616.67	 650.00	 11.00	 43	 2.80	 
CAr_119	 1	 7	 Taami.bmp	 7.997704e+02	 12	 999000	 120	 999000	 999	 8.007882e+02	 616.67	 650.00	 6.00	 1	 3.84	 
CAr_119	 1	 7	 CrunchBisquitBrown3.bmp	 8.037750e+02	 12	 999000	 120	 999000	 999	 8.047928e+02	 616.67	 650.00	 9.00	 50	 3.82	 
CAr_119	 1	 7	 ClickBisquit2.bmp	 8.057772e+02	 12	 999000	 120	 999000	 999	 8.067949e+02	 616.67	 650.00	 20.00	 16	 1.07	 
CAr_119	 1	 7	 DoritosSourSpicy.bmp	 8.107663e+02	 11	 9.679979e+02	 110	 6.166883e+02	 98	 8.117838e+02	 633.33	 650.00	 18.00	 21	 1.49	 
CAr_119	 1	 7	 Twix.bmp	 8.127684e+02	 24	 999000	 240	 999000	 999	 8.137861e+02	 633.33	 650.00	 46.00	 23	 0.11	 
CAr_119	 1	 7	 Twist.bmp	 8.147707e+02	 24	 999000	 240	 999000	 999	 8.157884e+02	 633.33	 650.00	 55.00	 39	 0.07	 
CAr_119	 1	 7	 ChocolateParaMarir2.bmp	 8.207774e+02	 24	 999000	 240	 999000	 999	 8.217952e+02	 633.33	 650.00	 40.00	 13	 0.13	 
CAr_119	 1	 7	 KifkefMaklot2.bmp	 8.227796e+02	 24	 999000	 240	 999000	 999	 8.237974e+02	 633.33	 650.00	 41.00	 30	 0.13	 
CAr_119	 1	 7	 Shugi.bmp	 8.247649e+02	 24	 999000	 240	 999000	 999	 8.257829e+02	 633.33	 650.00	 56.00	 49	 0.07	 
CAr_119	 1	 7	 KinderBuenoBrown3.bmp	 8.267674e+02	 12	 999000	 120	 999000	 999	 8.277851e+02	 633.33	 650.00	 17.00	 18	 1.56	 
CAr_119	 1	 7	 ChocolateParaCookies5.bmp	 8.307719e+02	 12	 999000	 120	 999000	 999	 8.317897e+02	 633.33	 650.00	 16.00	 34	 1.64	 
CAr_119	 1	 7	 Egozi.bmp	 8.347764e+02	 24	 999000	 240	 999000	 999	 8.357942e+02	 633.33	 650.00	 57.00	 7	 0.04	 
CAr_119	 1	 7	 WerthersOriginal.bmp	 8.377798e+02	 24	 999000	 240	 999000	 999	 8.387975e+02	 633.33	 650.00	 48.00	 42	 0.11	 
CAr_119	 1	 7	 Snickers.bmp	 8.417676e+02	 24	 999000	 240	 999000	 999	 8.427853e+02	 633.33	 650.00	 51.00	 19	 0.09	 
CAr_119	 1	 7	 Dubonim.bmp	 8.447709e+02	 12	 999000	 120	 999000	 999	 8.457886e+02	 633.33	 650.00	 5.00	 14	 4.38	 
CAr_119	 1	 7	 Tapuchips.bmp	 8.467732e+02	 12	 999000	 120	 999000	 999	 8.477910e+02	 633.33	 650.00	 8.00	 9	 3.82	 
CAr_119	 1	 7	 BisliPizza3.bmp	 8.507777e+02	 11	 9.406771e+02	 110	 6.333407e+02	 98	 8.517955e+02	 650.00	 650.00	 7.00	 8	 3.82	 
CAr_119	 1	 7	 BisliOnion.bmp	 8.527800e+02	 11	 9.463741e+02	 110	 6.500329e+02	 98	 8.537976e+02	 666.67	 650.00	 12.00	 38	 2.76	 
CAr_119	 1	 7	 CrunchBisquitWhite2.bmp	 8.547656e+02	 11	 1.000753e+03	 1100	 6.666788e+02	 98	 8.557834e+02	 616.67	 650.00	 10.00	 54	 3.82	 
CAr_119	 1	 7	 DoritosGrill.bmp	 8.587700e+02	 24	 999000	 240	 999000	 999	 8.597879e+02	 616.67	 650.00	 43.00	 47	 0.13	 
CAr_119	 1	 7	 Bamba.bmp	 8.607723e+02	 12	 999000	 120	 999000	 999	 8.617900e+02	 616.67	 650.00	 14.00	 22	 2.73	 
CAr_119	 1	 7	 Mekupelet.bmp	 8.647767e+02	 12	 999000	 120	 999000	 999	 8.657945e+02	 616.67	 650.00	 21.00	 11	 1.02	 
CAr_119	 1	 7	 Keifli.bmp	 8.687813e+02	 22	 1.025021e+03	 2200	 6.500160e+02	 98	 8.697990e+02	 616.67	 600.00	 53.00	 51	 0.09	 
CAr_119	 1	 7	 Kitkat.bmp	 8.717680e+02	 11	 9.503193e+02	 110	 6.166829e+02	 98	 8.727856e+02	 633.33	 600.00	 15.00	 60	 2.64	 
CAr_119	 1	 7	 Tortit.bmp	 8.777746e+02	 22	 9.437247e+02	 220	 6.000129e+02	 98	 8.787924e+02	 633.33	 616.67	 47.00	 41	 0.11	 
CAr_119	 1	 7	 BabyDoll.bmp	 8.797770e+02	 22	 9.253515e+02	 220	 6.166761e+02	 98	 8.807947e+02	 633.33	 633.33	 52.00	 32	 0.09	 
CAr_119	 1	 7	 BisliGrill.bmp	 8.837813e+02	 12	 999000	 120	 999000	 999	 8.847992e+02	 633.33	 633.33	 3.00	 6	 4.89	 
CAr_119	 1	 7	 KashitSour.bmp	 8.857669e+02	 11	 9.834046e+02	 110	 6.333490e+02	 98	 8.867847e+02	 650.00	 633.33	 13.00	 3	 2.73	 
CAr_119	 1	 7	 HappyHippo.bmp	 8.877692e+02	 24	 999000	 240	 999000	 999	 8.887869e+02	 650.00	 633.33	 58.00	 2	 0.02	 
CAr_119	 1	 7	 SkittlesFruits2.bmp	 8.897714e+02	 24	 999000	 240	 999000	 999	 8.907892e+02	 650.00	 633.33	 49.00	 55	 0.11	 
CAr_119	 1	 7	 SkittlesSour4.bmp	 8.947771e+02	 24	 999000	 240	 999000	 999	 8.957948e+02	 650.00	 633.33	 54.00	 5	 0.07	 
CAr_119	 1	 7	 ClickXLbrown4.bmp	 8.967794e+02	 22	 1.026968e+03	 2200	 6.333427e+02	 98	 8.977970e+02	 650.00	 583.33	 45.00	 53	 0.13	 
CAr_119	 1	 7	 BambaSweet.bmp	 8.987645e+02	 24	 999000	 240	 999000	 999	 8.997826e+02	 650.00	 583.33	 39.00	 12	 0.13	 
CAr_119	 1	 7	 TapuchipsCrunch.bmp	 9.017683e+02	 12	 999000	 120	 999000	 999	 9.027859e+02	 650.00	 583.33	 4.00	 48	 4.89	 
