subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
CAr_121	1	27	Mekupelet.bmp	40	1	1	1	3.014473e-02	1	1.481274e+00	0	2	2.049191e+00	2	2.638230e+00	
CAr_121	1	36	Twist.bmp	55	2	1	2	6.253827e+00	2	3.849594e+00	0	3	1.064218e+01	3	2.469236e+00	
CAr_121	1	25	Kitkat.bmp	12	3	1	2	1.466332e+01	2	4.360098e+00	1	2	1.956886e+01	2	1.350560e+00	
CAr_121	1	35	Tortit.bmp	29	4	1	1	2.247210e+01	1	1.431325e+00	0	4	2.444099e+01	4	5.326412e+00	
CAr_121	1	53	KifkefMaklotChocolate.bmp	0	5	0	4	3.133203e+01	4	5.539385e+00	0	4	3.740550e+01	4	1.801920e+00	
CAr_121	1	50	DoritusMexicanNacho.bmp	0	6	0	3	4.075929e+01	3	4.280131e+00	0	4	4.558141e+01	4	2.970006e+00	
CAr_121	1	43	ChocolateParaNuts2.bmp	0	7	0	4	5.010313e+01	4	4.112306e+00	0	4	5.475834e+01	4	1.769072e+00	
CAr_121	1	18	Dubonim.bmp	49	8	1	1	5.807878e+01	1	1.464644e+00	0	2	6.008103e+01	2	1.886387e+00	
CAr_121	1	20	Halva2.bmp	9	9	1	1	6.351825e+01	1	1.929207e+00	0	2	6.598779e+01	2	1.963630e+00	
CAr_121	1	1	BagaleShtuhim.bmp	50	10	1	1	6.950825e+01	1	2.675172e+00	1	1	7.272849e+01	1	8.069342e-01	
CAr_121	1	13	ClickXLwhite4.bmp	7	11	1	1	7.509787e+01	1	1.669546e+00	1	1	7.730034e+01	1	1.195081e+00	
CAr_121	1	28	PesekZman.bmp	8	12	1	1	8.005337e+01	1	1.250053e+00	0	2	8.183876e+01	2	1.024663e+00	
CAr_121	1	3	BambaNugat.bmp	17	13	1	1	8.442505e+01	1	7.343708e-01	0	2	8.569312e+01	2	1.954300e+00	
CAr_121	1	59	Oreo.bmp	0	14	0	5	8.921373e+01	5	3.273714e+00	0	5	9.303473e+01	5	1.212689e+00	
CAr_121	1	63	Toblerone.bmp	0	15	0	5	9.580444e+01	5	1.242978e+00	0	5	9.758977e+01	5	3.616486e-01	
CAr_121	1	8	ChocolateParaMilk3.bmp	26	16	1	2	9.950861e+01	2	2.762825e+00	0	3	1.028124e+02	3	1.979794e+00	
CAr_121	1	29	Popco.bmp	46	17	1	1	1.063496e+02	1	1.569808e+00	0	2	1.084520e+02	2	1.747414e+00	
CAr_121	1	2	Bamba.bmp	18	18	1	1	1.117558e+02	1	1.011633e+00	1	1	1.133075e+02	1	3.719049e-01	
CAr_121	1	44	ChocolateWhite.bmp	0	19	0	4	1.152430e+02	4	3.724432e+00	0	4	1.195145e+02	4	7.169506e-01	
CAr_121	1	16	DoritosNatural.bmp	27	20	1	2	1.217837e+02	2	2.031728e+00	0	3	1.243533e+02	3	2.670274e+00	
CAr_121	1	30	Shugi.bmp	51	21	1	2	1.285746e+02	2	5.496800e+00	0	2	1.346147e+02	2	7.797926e-01	
CAr_121	1	42	ChocolateChipsCookies.bmp	0	22	0	5	1.369507e+02	5	3.560752e+00	0	5	1.410553e+02	5	1.288076e+00	
CAr_121	1	24	KinderJoy.bmp	15	23	1	1	1.439085e+02	1	1.530908e+00	1	1	1.459776e+02	1	2.845872e+00	
CAr_121	1	4	BisliPizza3.bmp	16	24	1	1	1.503825e+02	1	6.809421e-01	0	1	1.516005e+02	1	3.428813e-01	
CAr_121	1	60	PitaCrunch.bmp	0	25	0	5	1.535026e+02	5	1.504780e+00	0	5	1.555549e+02	5	3.164730e-01	
CAr_121	1	39	BisliBbq.bmp	0	26	0	2	1.574237e+02	2	4.215701e+00	0	3	1.621790e+02	3	1.108876e+00	
CAr_121	1	57	MilkeyWay.bmp	0	27	0	5	1.648487e+02	5	1.846690e+00	0	5	1.672347e+02	5	7.006974e-01	
CAr_121	1	15	DoritosGrill.bmp	28	28	1	2	1.694872e+02	2	1.840215e+00	0	4	1.718733e+02	4	4.598166e+00	
CAr_121	1	49	DoritosMenupahBbq.bmp	0	29	0	3	1.780302e+02	3	3.841254e+00	0	3	1.824185e+02	3	3.089526e-01	
CAr_121	1	33	Taami.bmp	42	30	1	1	1.842872e+02	1	1.784246e+00	0	2	1.866062e+02	2	1.369184e+00	
