Trial	StimName	Liking	RT
1	158.bmp	1.48888888889	3377
2	143.bmp	0.666666666667	3006
3	122.bmp	3.82222222222	5492
4	141.bmp	8.06666666667	2988
5	116.bmp	7.15555555556	3305
6	111.bmp	8.13333333333	2886
7	155.bmp	1.64444444444	4190
8	145.bmp	0.555555555556	3238
9	154.bmp	0.555555555556	3256
10	139.bmp	0.577777777778	2185
11	147.bmp	1.53333333333	2438
12	108.bmp	3.66666666667	3022
13	112.bmp	5.8	4572
14	146.bmp	0.711111111111	2270
15	157.bmp	6.88888888889	3856
16	151.bmp	9.08888888889	3105
17	134.bmp	2.68888888889	3504
18	105.bmp	6.91111111111	4072
19	117.bmp	2.8	2474
20	137.bmp	1.62222222222	2353
21	153.bmp	6.0	2369
22	132.bmp	2.75555555556	1872
23	149.bmp	4.86666666667	3590
24	140.bmp	2.75555555556	3785
25	109.bmp	0.688888888889	4123
26	142.bmp	7.08888888889	2569
27	107.bmp	3.82222222222	4390
28	102.bmp	4.84444444444	3922
29	152.bmp	7.08888888889	3036
30	104.bmp	4.86666666667	4891
31	131.bmp	0.733333333333	2402
32	118.bmp	3.8	4222
33	124.bmp	0.622222222222	4238
34	125.bmp	2.64444444444	2453
35	119.bmp	5.84444444444	2456
36	115.bmp	1.62222222222	3303
37	128.bmp	0.555555555556	4408
38	127.bmp	0.644444444444	2502
39	103.bmp	2.75555555556	3389
40	133.bmp	8.04444444444	2919
41	150.bmp	1.6	1820
42	110.bmp	2.68888888889	3272
43	120.bmp	1.68888888889	2354
44	123.bmp	5.95555555556	3422
45	106.bmp	4.86666666667	2706
46	114.bmp	5.95555555556	3204
47	126.bmp	2.68888888889	2318
48	138.bmp	0.577777777778	2420
49	129.bmp	0.711111111111	2088
50	136.bmp	0.688888888889	2469
51	160.bmp	3.73333333333	2222
52	101.bmp	2.75555555556	2772
53	148.bmp	0.6	2653
54	156.bmp	0.711111111111	2872
55	130.bmp	1.64444444444	2770
56	135.bmp	1.64444444444	3874
57	159.bmp	2.75555555556	5406
58	113.bmp	3.71111111111	3789
59	144.bmp	0.466666666667	1970
60	121.bmp	1.66666666667	2887
