subjectID	order	itemIndABC	stimName	bidInd	runtrial	isOld?	subjectAnswerIsOld	onsettime_isOld	resp_isOld	RT_isOld	isGo?	subjectAnswerIsGo	onsettime_isGo	resp_isGo	RT_isGo
bmem_snacks2_112	2	21	KinderJoy.bmp	16	1	1	1	1.162011e+00	1	1.626842e+00	1	3	3.331241e+00	3	1.169613e+00	
bmem_snacks2_112	2	4	Bamba.bmp	7	2	1	1	6.067632e+00	1	1.609221e+00	0	3	8.219985e+00	3	8.008672e-01	
bmem_snacks2_112	2	13	ClickBlackWhite3.bmp	15	3	1	1	1.057261e+01	1	2.344242e+00	0	3	1.345916e+01	3	8.337029e-01	
bmem_snacks2_112	2	3	BagaleShtuhim.bmp	43	4	1	2	1.584515e+01	2	2.087708e+00	1	3	1.848143e+01	3	4.274295e-01	
bmem_snacks2_112	2	10	ChocolateParaCookies5.bmp	9	5	1	1	2.046710e+01	1	2.809773e+00	1	3	2.382085e+01	3	1.336009e+00	
bmem_snacks2_112	2	38	CookiesSmile.bmp	0	6	0	4	2.670749e+01	4	2.137390e+00	0	3	2.937705e+01	3	9.877952e-01	
bmem_snacks2_112	2	46	KinderFingers.bmp	0	7	0	2	3.191327e+01	2	2.203590e+00	0	3	3.464967e+01	3	1.427199e+00	
bmem_snacks2_112	2	42	DoritusMexicanNacho.bmp	0	8	0	5	3.763638e+01	5	2.096491e+00	0	3	4.027260e+01	3	1.948258e+00	
bmem_snacks2_112	2	18	HappyHippo.bmp	18	9	1	999	4.377653e+01	999	999	0	2	4.731386e+01	2	2.107004e+00	
bmem_snacks2_112	2	9	Cheetos.bmp	49	10	1	2	5.098470e+01	2	2.324166e+00	1	3	5.385453e+01	3	4.463323e-01	
bmem_snacks2_112	2	17	Halva2.bmp	53	11	1	2	5.585676e+01	2	2.756107e+00	0	3	5.916056e+01	3	5.403083e-01	
bmem_snacks2_112	2	53	Pringles.bmp	0	12	0	4	6.126284e+01	4	1.837995e+00	0	4	6.363218e+01	4	1.196687e+00	
bmem_snacks2_112	2	43	Hispusim.bmp	0	13	0	5	6.638534e+01	5	2.187523e+00	0	5	6.910511e+01	5	4.117464e-01	
bmem_snacks2_112	2	25	SkittlesSour4.bmp	55	14	1	1	7.107395e+01	1	1.914911e+00	0	3	7.352666e+01	3	3.581957e-01	
bmem_snacks2_112	2	47	Lotus.bmp	0	15	0	5	7.544543e+01	5	2.143439e+00	0	5	7.813191e+01	5	2.809609e-01	
bmem_snacks2_112	2	49	MilkeyWay.bmp	0	16	0	4	7.996714e+01	4	2.509728e+00	0	4	8.302058e+01	4	7.522830e-01	
bmem_snacks2_112	2	40	Crunch4.bmp	0	17	0	4	8.532317e+01	4	2.009693e+00	0	3	8.787614e+01	3	1.728732e+00	
