subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks2_118	 2	 16	 ClickBlackWhite3.bmp	 8.625138e+02	 12	 999000	 120	 999000	 999	 8.635329e+02	 650.00	 650.00	 10.00	 23	 6.00	 
bmem_snacks2_118	 2	 16	 BambaSweet.bmp	 8.655005e+02	 24	 999000	 240	 999000	 999	 8.665202e+02	 650.00	 650.00	 57.00	 41	 0.04	 
bmem_snacks2_118	 2	 16	 CrunchShokoVanil.bmp	 8.675027e+02	 22	 9.182447e+02	 220	 6.500633e+02	 98	 8.685386e+02	 650.00	 666.67	 43.00	 24	 0.58	 
bmem_snacks2_118	 2	 16	 ChocolateParaMarir2.bmp	 8.695050e+02	 24	 999000	 240	 999000	 999	 8.705245e+02	 650.00	 666.67	 45.00	 15	 0.49	 
bmem_snacks2_118	 2	 16	 SkittlesFruits2.bmp	 8.715073e+02	 22	 9.216932e+02	 220	 6.667046e+02	 98	 8.725437e+02	 650.00	 683.33	 51.00	 39	 0.09	 
bmem_snacks2_118	 2	 16	 Hit.bmp	 8.745107e+02	 11	 9.262648e+02	 110	 6.500964e+02	 98	 8.755467e+02	 666.67	 683.33	 9.00	 5	 6.02	 
bmem_snacks2_118	 2	 16	 HispusimShatiah.bmp	 8.764958e+02	 22	 9.331470e+02	 220	 6.833819e+02	 98	 8.775319e+02	 666.67	 700.00	 48.00	 31	 0.18	 
bmem_snacks2_118	 2	 16	 ClickBisquit2.bmp	 8.805007e+02	 12	 999000	 120	 999000	 999	 8.815202e+02	 666.67	 700.00	 13.00	 19	 5.91	 
bmem_snacks2_118	 2	 16	 BisliPizza3.bmp	 8.825029e+02	 11	 9.660155e+02	 110	 6.667398e+02	 98	 8.835389e+02	 683.33	 700.00	 17.00	 54	 5.89	 
bmem_snacks2_118	 2	 16	 DoritosSourSpicy.bmp	 8.875085e+02	 22	 1.008515e+03	 2200	 7.000681e+02	 98	 8.885436e+02	 683.33	 650.00	 46.00	 29	 0.49	 
bmem_snacks2_118	 2	 16	 Halva2.bmp	 8.895108e+02	 24	 999000	 240	 999000	 999	 8.905303e+02	 683.33	 650.00	 55.00	 22	 0.07	 
bmem_snacks2_118	 2	 16	 Mars.bmp	 8.934985e+02	 24	 999000	 240	 999000	 999	 8.945180e+02	 683.33	 650.00	 40.00	 40	 0.62	 
bmem_snacks2_118	 2	 16	 Kitkat.bmp	 8.955008e+02	 22	 1.016161e+03	 2200	 6.500411e+02	 98	 8.965376e+02	 683.33	 600.00	 49.00	 26	 0.09	 
bmem_snacks2_118	 2	 16	 CrunchBisquitBrown3.bmp	 8.985041e+02	 12	 999000	 120	 999000	 999	 8.995238e+02	 683.33	 600.00	 12.00	 21	 5.93	 
bmem_snacks2_118	 2	 16	 HappyHippo.bmp	 9.035098e+02	 24	 999000	 240	 999000	 999	 9.045296e+02	 683.33	 600.00	 42.00	 20	 0.58	 
bmem_snacks2_118	 2	 16	 KashitSour.bmp	 9.054950e+02	 22	 8.699496e+02	 220	 6.000860e+02	 98	 9.065308e+02	 683.33	 616.67	 54.00	 2	 0.07	 
bmem_snacks2_118	 2	 16	 PesekZman.bmp	 9.074976e+02	 12	 999000	 120	 999000	 999	 9.085176e+02	 683.33	 616.67	 22.00	 7	 4.84	 
bmem_snacks2_118	 2	 16	 WerthersOriginal.bmp	 9.115021e+02	 24	 999000	 240	 999000	 999	 9.125223e+02	 683.33	 616.67	 50.00	 27	 0.09	 
bmem_snacks2_118	 2	 16	 BambaNugat.bmp	 9.155065e+02	 12	 999000	 120	 999000	 999	 9.165263e+02	 683.33	 616.67	 15.00	 8	 5.89	 
bmem_snacks2_118	 2	 16	 ChocolateParaCookies5.bmp	 9.194942e+02	 12	 999000	 120	 999000	 999	 9.205140e+02	 683.33	 616.67	 6.00	 11	 6.91	 
bmem_snacks2_118	 2	 16	 Taami.bmp	 9.214966e+02	 24	 999000	 240	 999000	 999	 9.225161e+02	 683.33	 616.67	 47.00	 56	 0.42	 
bmem_snacks2_118	 2	 16	 SkittlesSour4.bmp	 9.234989e+02	 24	 999000	 240	 999000	 999	 9.245186e+02	 683.33	 616.67	 53.00	 1	 0.07	 
bmem_snacks2_118	 2	 16	 ClickXLwhite4.bmp	 9.255012e+02	 12	 999000	 120	 999000	 999	 9.265209e+02	 683.33	 616.67	 7.00	 48	 6.89	 
bmem_snacks2_118	 2	 16	 ChocolateParaSucariotKoftzot2.bmp	 9.275034e+02	 12	 999000	 120	 999000	 999	 9.285228e+02	 683.33	 616.67	 3.00	 10	 7.02	 
bmem_snacks2_118	 2	 16	 Bamba.bmp	 9.335102e+02	 11	 9.587298e+02	 110	 6.834005e+02	 98	 9.345470e+02	 700.00	 616.67	 16.00	 30	 5.89	 
bmem_snacks2_118	 2	 16	 DoritosGrill.bmp	 9.364968e+02	 12	 999000	 120	 999000	 999	 9.375169e+02	 700.00	 616.67	 19.00	 53	 4.93	 
bmem_snacks2_118	 2	 16	 Loacker.bmp	 9.384991e+02	 12	 999000	 120	 999000	 999	 9.395189e+02	 700.00	 616.67	 21.00	 32	 4.87	 
bmem_snacks2_118	 2	 16	 TapuchipsCrunch.bmp	 9.405014e+02	 11	 9.595885e+02	 110	 7.000656e+02	 98	 9.415380e+02	 716.67	 616.67	 11.00	 34	 5.96	 
bmem_snacks2_118	 2	 16	 Tapuchips.bmp	 9.435048e+02	 11	 9.801885e+02	 110	 7.167244e+02	 98	 9.445401e+02	 733.33	 616.67	 14.00	 36	 5.91	 
bmem_snacks2_118	 2	 16	 Cheetos.bmp	 9.455070e+02	 24	 999000	 240	 999000	 999	 9.465266e+02	 733.33	 616.67	 44.00	 37	 0.53	 
bmem_snacks2_118	 2	 16	 Mentos.bmp	 9.475092e+02	 24	 999000	 240	 999000	 999	 9.485286e+02	 733.33	 616.67	 58.00	 51	 0.04	 
bmem_snacks2_118	 2	 16	 GumiWine2.bmp	 9.494945e+02	 24	 999000	 240	 999000	 999	 9.505141e+02	 733.33	 616.67	 52.00	 42	 0.09	 
bmem_snacks2_118	 2	 16	 Mekupelet.bmp	 9.524981e+02	 12	 999000	 120	 999000	 999	 9.535175e+02	 733.33	 616.67	 18.00	 33	 4.96	 
bmem_snacks2_118	 2	 16	 Smarties.bmp	 9.545003e+02	 24	 999000	 240	 999000	 999	 9.555200e+02	 733.33	 616.67	 56.00	 52	 0.07	 
bmem_snacks2_118	 2	 16	 ClickBalls5.bmp	 9.565027e+02	 12	 999000	 120	 999000	 999	 9.575222e+02	 733.33	 616.67	 4.00	 46	 7.02	 
bmem_snacks2_118	 2	 16	 ChocolateParaMilk3.bmp	 9.585049e+02	 12	 999000	 120	 999000	 999	 9.595246e+02	 733.33	 616.67	 5.00	 58	 6.98	 
bmem_snacks2_118	 2	 16	 Shugi.bmp	 9.605071e+02	 24	 999000	 240	 999000	 999	 9.615266e+02	 733.33	 616.67	 41.00	 16	 0.58	 
bmem_snacks2_118	 2	 16	 Egozi.bmp	 9.664972e+02	 24	 999000	 240	 999000	 999	 9.675169e+02	 733.33	 616.67	 39.00	 13	 0.62	 
