subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks2_123	 1	 5	 GumiWine2.bmp	 5.791994e+02	 22	 1.014273e+03	 2200	 6.167654e+02	 98	 5.802351e+02	 683.33	 566.67	 52.00	 27	 0.04	 
bmem_snacks2_123	 1	 5	 Popco.bmp	 5.841883e+02	 24	 999000	 240	 999000	 999	 5.852061e+02	 683.33	 566.67	 48.00	 25	 0.07	 
bmem_snacks2_123	 1	 5	 Mentos.bmp	 5.861906e+02	 12	 999000	 120	 999000	 999	 5.872084e+02	 683.33	 566.67	 19.00	 15	 4.24	 
bmem_snacks2_123	 1	 5	 ChocolateParaMarir2.bmp	 5.881930e+02	 11	 9.967119e+02	 110	 6.833861e+02	 98	 5.892282e+02	 700.00	 566.67	 7.00	 18	 6.44	 
bmem_snacks2_123	 1	 5	 HispusimShatiah.bmp	 5.941828e+02	 22	 8.709334e+02	 220	 5.667107e+02	 98	 5.952172e+02	 700.00	 583.33	 45.00	 5	 0.13	 
bmem_snacks2_123	 1	 5	 Hit.bmp	 5.961852e+02	 12	 999000	 120	 999000	 999	 5.972031e+02	 700.00	 583.33	 8.00	 4	 5.87	 
bmem_snacks2_123	 1	 5	 KashitSour.bmp	 5.991885e+02	 24	 999000	 240	 999000	 999	 6.002064e+02	 700.00	 583.33	 49.00	 52	 0.07	 
bmem_snacks2_123	 1	 5	 KifkefMaklot2.bmp	 6.011908e+02	 12	 999000	 120	 999000	 999	 6.022086e+02	 700.00	 583.33	 9.00	 29	 5.40	 
bmem_snacks2_123	 1	 5	 BagaleShtuhim.bmp	 6.051952e+02	 12	 999000	 120	 999000	 999	 6.062131e+02	 700.00	 583.33	 16.00	 49	 4.36	 
bmem_snacks2_123	 1	 5	 ClickBlackWhite3.bmp	 6.071975e+02	 12	 999000	 120	 999000	 999	 6.082153e+02	 700.00	 583.33	 17.00	 33	 4.27	 
bmem_snacks2_123	 1	 5	 KinderBuenoBrown3.bmp	 6.121865e+02	 12	 999000	 120	 999000	 999	 6.132043e+02	 700.00	 583.33	 5.00	 22	 6.51	 
bmem_snacks2_123	 1	 5	 WerthersOriginal.bmp	 6.191943e+02	 24	 999000	 240	 999000	 999	 6.202122e+02	 700.00	 583.33	 54.00	 38	 0.04	 
bmem_snacks2_123	 1	 5	 ClickXLwhite4.bmp	 6.211966e+02	 11	 9.450667e+02	 110	 7.000757e+02	 98	 6.222325e+02	 716.67	 583.33	 10.00	 53	 5.40	 
bmem_snacks2_123	 1	 5	 BisliOnion.bmp	 6.241829e+02	 24	 999000	 240	 999000	 999	 6.252010e+02	 716.67	 583.33	 46.00	 1	 0.11	 
bmem_snacks2_123	 1	 5	 BisliGrill.bmp	 6.271867e+02	 24	 999000	 240	 999000	 999	 6.282044e+02	 716.67	 583.33	 57.00	 19	 0.02	 
bmem_snacks2_123	 1	 5	 CrunchShokoVanil.bmp	 6.311912e+02	 12	 999000	 120	 999000	 999	 6.322089e+02	 716.67	 583.33	 21.00	 7	 3.80	 
