subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	
bmem_snacks2_128	 0	 2	 04	 1	 1	 2.018868e+00	 Twist.bmp	 BisliOnion.bmp	 45	 54	 0	 i	 2	 1	 917.68	 1.53	 0.82	 
bmem_snacks2_128	 0	 2	 04	 1	 2	 8.008919e+00	 Loacker.bmp	 BisliGrill.bmp	 50	 49	 0	 u	 2	 0	 1103.63	 1.40	 1.44	 
bmem_snacks2_128	 0	 2	 04	 1	 3	 1.101230e+01	 CrunchBisquitBrown3.bmp	 KinderBuenoWhite2.bmp	 22	 21	 0	 u	 4	 0	 1292.24	 3.73	 3.78	 
bmem_snacks2_128	 0	 2	 04	 1	 4	 1.802014e+01	 DoritosGrill.bmp	 Kitkat.bmp	 7	 11	 0	 i	 1	 1	 668.41	 5.07	 4.84	 
bmem_snacks2_128	 0	 2	 04	 1	 5	 2.100688e+01	 HispusimShatiah.bmp	 BisliOnion.bmp	 53	 54	 0	 i	 2	 1	 857.67	 0.84	 0.82	 
bmem_snacks2_128	 0	 2	 04	 1	 6	 2.601254e+01	 Kitkat.bmp	 Egozi.bmp	 11	 15	 1	 i	 1	 0	 1004.01	 4.84	 4.53	 
bmem_snacks2_128	 0	 2	 04	 1	 7	 3.101806e+01	 ClickBlackWhite3.bmp	 KinderBuenoBrown3.bmp	 13	 9	 0	 u	 1	 0	 798.49	 4.78	 4.89	 
bmem_snacks2_128	 0	 2	 04	 1	 8	 3.400484e+01	 HispusimShatiah.bmp	 BambaSweet.bmp	 53	 46	 0	 x	 2	 999	 999000.00	 0.84	 1.53	 
bmem_snacks2_128	 0	 2	 04	 1	 9	 3.800931e+01	 ClickBalls5.bmp	 DoritosSourSpicy.bmp	 17	 12	 1	 i	 1	 0	 783.23	 3.87	 4.82	 
bmem_snacks2_128	 0	 2	 04	 1	 10	 4.101260e+01	 KifkefMaklot2.bmp	 Hit.bmp	 40	 39	 1	 u	 5	 1	 811.95	 1.69	 1.69	 
bmem_snacks2_128	 0	 2	 04	 1	 11	 4.501719e+01	 GumiSnakes3.bmp	 BisliGrill.bmp	 44	 49	 0	 i	 2	 1	 815.36	 1.56	 1.44	 
bmem_snacks2_128	 0	 2	 04	 1	 12	 5.000612e+01	 DoritosSourSpicy.bmp	 Kitkat.bmp	 12	 11	 0	 i	 1	 1	 890.42	 4.82	 4.84	 
bmem_snacks2_128	 0	 2	 04	 1	 13	 5.300940e+01	 BambaSweet.bmp	 Twix.bmp	 46	 47	 1	 i	 2	 0	 1103.14	 1.53	 1.51	 
bmem_snacks2_128	 0	 2	 04	 1	 14	 5.601288e+01	 Keifli.bmp	 GumiSnakes3.bmp	 51	 44	 1	 i	 2	 0	 1299.67	 1.16	 1.56	 
bmem_snacks2_128	 0	 2	 04	 1	 15	 6.101843e+01	 KashitSour.bmp	 ChocolateParaMarir2.bmp	 56	 6	 0	 i	 3	 1	 710.10	 0.76	 5.78	 
bmem_snacks2_128	 0	 2	 04	 1	 16	 6.901072e+01	 BisliOnion.bmp	 Twix.bmp	 54	 47	 1	 i	 2	 0	 941.82	 0.82	 1.51	 
bmem_snacks2_128	 0	 2	 04	 1	 17	 7.401633e+01	 KinderBuenoWhite2.bmp	 CrunchBisquitBrown3.bmp	 21	 22	 1	 i	 4	 0	 920.22	 3.78	 3.73	 
bmem_snacks2_128	 0	 2	 04	 1	 18	 8.200870e+01	 ClickBalls5.bmp	 ClickXLbrown4.bmp	 17	 10	 1	 i	 1	 0	 703.84	 3.87	 4.87	 
bmem_snacks2_128	 0	 2	 04	 1	 19	 8.601313e+01	 DoritosSourSpicy.bmp	 Mekupelet.bmp	 12	 16	 0	 u	 1	 0	 1099.42	 4.82	 4.22	 
bmem_snacks2_128	 0	 2	 04	 1	 20	 8.901656e+01	 Shugi.bmp	 Egozi.bmp	 8	 15	 1	 i	 1	 0	 943.99	 4.96	 4.53	 
bmem_snacks2_128	 0	 2	 04	 1	 21	 9.201996e+01	 Smarties.bmp	 Twix.bmp	 48	 47	 1	 u	 2	 1	 796.58	 1.47	 1.51	 
bmem_snacks2_128	 0	 2	 04	 1	 22	 9.500660e+01	 KinderBuenoBrown3.bmp	 Egozi.bmp	 9	 15	 1	 i	 1	 0	 1097.95	 4.89	 4.53	 
bmem_snacks2_128	 0	 2	 04	 1	 23	 9.901107e+01	 ClickBlackWhite3.bmp	 ClickXLwhite4.bmp	 13	 14	 0	 u	 1	 0	 1037.47	 4.78	 4.76	 
bmem_snacks2_128	 0	 2	 04	 1	 24	 1.030156e+02	 Kitkat.bmp	 ClickBlackWhite3.bmp	 11	 13	 1	 i	 1	 0	 880.92	 4.84	 4.78	 
bmem_snacks2_128	 0	 2	 04	 1	 25	 1.090056e+02	 BisliOnion.bmp	 GumiSnakes3.bmp	 54	 44	 1	 u	 2	 1	 954.91	 0.82	 1.56	 
bmem_snacks2_128	 0	 2	 04	 1	 26	 1.190169e+02	 Keifli.bmp	 HispusimShatiah.bmp	 51	 53	 1	 u	 2	 1	 1199.68	 1.16	 0.84	 
