subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks2_138	 2	 1	 Bounty.bmp	 1.232595e+00	 12	 999000	 120	 999000	 999	 2.250327e+00	 750.00	 750.00	 12.00	 41	 5.02	 
bmem_snacks2_138	 2	 1	 ChocolateParaSucariotKoftzot2.bmp	 6.221272e+00	 24	 999000	 240	 999000	 999	 7.239147e+00	 750.00	 750.00	 50.00	 54	 3.73	 
bmem_snacks2_138	 2	 1	 Snickers.bmp	 8.223583e+00	 22	 1.021961e+03	 2200	 7.500598e+02	 98	 9.258392e+00	 750.00	 700.00	 46.00	 20	 3.80	 
bmem_snacks2_138	 2	 1	 ChocolateParaCookies5.bmp	 1.022581e+01	 12	 999000	 120	 999000	 999	 1.124356e+01	 750.00	 700.00	 22.00	 49	 4.82	 
bmem_snacks2_138	 2	 1	 SkittlesFruits2.bmp	 1.623253e+01	 12	 999000	 120	 999000	 999	 1.725037e+01	 750.00	 700.00	 15.00	 12	 4.89	 
bmem_snacks2_138	 2	 1	 ClickBlackWhite3.bmp	 1.821827e+01	 12	 999000	 120	 999000	 999	 1.923589e+01	 750.00	 700.00	 5.00	 9	 5.91	 
bmem_snacks2_138	 2	 1	 BambaSweet.bmp	 2.122151e+01	 22	 8.879589e+02	 220	 7.000517e+02	 98	 2.225619e+01	 750.00	 716.67	 48.00	 37	 3.76	 
bmem_snacks2_138	 2	 1	 DoritosGrill.bmp	 2.322374e+01	 22	 1.053738e+03	 2200	 7.167400e+02	 98	 2.425884e+01	 750.00	 666.67	 49.00	 4	 3.73	 
bmem_snacks2_138	 2	 1	 BagaleShtuhim.bmp	 2.722822e+01	 11	 9.932503e+02	 110	 7.500682e+02	 98	 2.826432e+01	 766.67	 666.67	 11.00	 36	 5.02	 
bmem_snacks2_138	 2	 1	 Keifli.bmp	 2.923043e+01	 11	 1.015162e+03	 1100	 7.667179e+02	 98	 3.026635e+01	 716.67	 666.67	 9.00	 22	 5.82	 
bmem_snacks2_138	 2	 1	 ClickBisquit2.bmp	 3.421947e+01	 12	 999000	 120	 999000	 999	 3.523723e+01	 716.67	 666.67	 4.00	 15	 5.93	 
bmem_snacks2_138	 2	 1	 CrunchShokoVanil.bmp	 4.122729e+01	 22	 9.221809e+02	 220	 6.667073e+02	 98	 4.226172e+01	 716.67	 683.33	 54.00	 10	 2.80	 
bmem_snacks2_138	 2	 1	 GumiWine2.bmp	 4.322957e+01	 24	 999000	 240	 999000	 999	 4.424741e+01	 716.67	 683.33	 47.00	 48	 3.80	 
bmem_snacks2_138	 2	 1	 Twist.bmp	 4.623294e+01	 24	 999000	 240	 999000	 999	 4.725067e+01	 716.67	 683.33	 55.00	 53	 2.80	 
bmem_snacks2_138	 2	 1	 BabyDoll.bmp	 4.921958e+01	 22	 8.979256e+02	 220	 6.834159e+02	 98	 5.025420e+01	 716.67	 700.00	 51.00	 45	 3.71	 
bmem_snacks2_138	 2	 1	 TapuchipsCrunch.bmp	 5.322409e+01	 11	 9.733822e+02	 110	 7.167271e+02	 98	 5.425896e+01	 733.33	 700.00	 16.00	 35	 4.89	 
bmem_snacks2_138	 2	 1	 KinderBuenoWhite2.bmp	 5.722864e+01	 12	 999000	 120	 999000	 999	 5.824634e+01	 733.33	 700.00	 21.00	 40	 4.82	 
bmem_snacks2_138	 2	 1	 CrunchBisquitWhite2.bmp	 6.123305e+01	 11	 9.644454e+02	 110	 7.334179e+02	 98	 6.226783e+01	 750.00	 700.00	 8.00	 18	 5.84	 
bmem_snacks2_138	 2	 1	 Smarties.bmp	 6.421983e+01	 24	 999000	 240	 999000	 999	 6.523759e+01	 750.00	 700.00	 58.00	 3	 2.67	 
bmem_snacks2_138	 2	 1	 ClickBalls5.bmp	 7.022656e+01	 24	 999000	 240	 999000	 999	 7.124432e+01	 750.00	 700.00	 42.00	 52	 3.82	 
bmem_snacks2_138	 2	 1	 Loacker.bmp	 7.222879e+01	 12	 999000	 120	 999000	 999	 7.324654e+01	 750.00	 700.00	 3.00	 14	 5.96	 
bmem_snacks2_138	 2	 1	 HispusimShatiah.bmp	 7.523218e+01	 24	 999000	 240	 999000	 999	 7.625015e+01	 750.00	 700.00	 44.00	 7	 3.80	 
bmem_snacks2_138	 2	 1	 Shugi.bmp	 7.723443e+01	 24	 999000	 240	 999000	 999	 7.825231e+01	 750.00	 700.00	 52.00	 25	 3.64	 
bmem_snacks2_138	 2	 1	 Taami.bmp	 7.921994e+01	 12	 999000	 120	 999000	 999	 8.023774e+01	 750.00	 700.00	 13.00	 23	 4.96	 
bmem_snacks2_138	 2	 1	 BisliPizza3.bmp	 8.122225e+01	 12	 999000	 120	 999000	 999	 8.224002e+01	 750.00	 700.00	 20.00	 33	 4.82	 
bmem_snacks2_138	 2	 1	 Mars.bmp	 8.422555e+01	 12	 999000	 120	 999000	 999	 8.524343e+01	 750.00	 700.00	 19.00	 24	 4.82	 
bmem_snacks2_138	 2	 1	 Bamba.bmp	 8.823005e+01	 24	 999000	 240	 999000	 999	 8.924786e+01	 750.00	 700.00	 53.00	 8	 2.80	 
bmem_snacks2_138	 2	 1	 WerthersOriginal.bmp	 9.023237e+01	 24	 999000	 240	 999000	 999	 9.125016e+01	 750.00	 700.00	 40.00	 60	 3.84	 
bmem_snacks2_138	 2	 1	 Twix.bmp	 9.221772e+01	 24	 999000	 240	 999000	 999	 9.323577e+01	 750.00	 700.00	 39.00	 6	 3.84	 
bmem_snacks2_138	 2	 1	 Apropo.bmp	 9.422015e+01	 24	 999000	 240	 999000	 999	 9.523792e+01	 750.00	 700.00	 45.00	 19	 3.80	 
bmem_snacks2_138	 2	 1	 KinderBuenoBrown3.bmp	 9.622242e+01	 12	 999000	 120	 999000	 999	 9.724021e+01	 750.00	 700.00	 18.00	 50	 4.84	 
bmem_snacks2_138	 2	 1	 ChocolateParaMarir2.bmp	 9.822464e+01	 24	 999000	 240	 999000	 999	 9.924240e+01	 750.00	 700.00	 56.00	 26	 2.73	 
bmem_snacks2_138	 2	 1	 CrunchBisquitBrown3.bmp	 1.022291e+02	 12	 999000	 120	 999000	 999	 1.032469e+02	 750.00	 700.00	 6.00	 16	 5.91	 
bmem_snacks2_138	 2	 1	 ClickXLwhite4.bmp	 1.062168e+02	 12	 999000	 120	 999000	 999	 1.072347e+02	 750.00	 700.00	 7.00	 1	 5.89	 
bmem_snacks2_138	 2	 1	 BambaNugat.bmp	 1.082189e+02	 11	 9.706243e+02	 110	 7.500610e+02	 98	 1.092539e+02	 766.67	 700.00	 17.00	 44	 4.87	 
bmem_snacks2_138	 2	 1	 BisliOnion.bmp	 1.102215e+02	 22	 1.008163e+03	 2200	 7.000751e+02	 98	 1.112563e+02	 766.67	 650.00	 43.00	 58	 3.82	 
bmem_snacks2_138	 2	 1	 ClickXLbrown4.bmp	 1.122237e+02	 12	 999000	 120	 999000	 999	 1.132415e+02	 766.67	 650.00	 10.00	 59	 5.82	 
bmem_snacks2_138	 2	 1	 Mekupelet.bmp	 1.142259e+02	 24	 999000	 240	 999000	 999	 1.152438e+02	 766.67	 650.00	 41.00	 46	 3.82	 
bmem_snacks2_138	 2	 1	 GumiSnakes3.bmp	 1.202327e+02	 11	 1.020810e+03	 1100	 7.667669e+02	 98	 1.212680e+02	 716.67	 650.00	 14.00	 13	 4.91	 
bmem_snacks2_138	 2	 1	 Tictac.bmp	 1.222180e+02	 24	 999000	 240	 999000	 999	 1.232361e+02	 716.67	 650.00	 57.00	 32	 2.69	 
