subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks2_147	 1	 1	 Kitkat.bmp	 1.299915e+00	 12	 999000	 120	 999000	 999	 2.318478e+00	 750.00	 750.00	 11.00	 17	 4.87	 
bmem_snacks2_147	 1	 1	 SkittlesSour4.bmp	 4.286097e+00	 24	 999000	 240	 999000	 999	 5.303887e+00	 750.00	 750.00	 39.00	 37	 3.27	 
bmem_snacks2_147	 1	 1	 KinderBuenoWhite2.bmp	 6.288363e+00	 11	 999000	 1	 7.500825e+02	 999	 7.322855e+00	 700.00	 750.00	 7.00	 20	 4.91	 
bmem_snacks2_147	 1	 1	 CrunchShokoVanil.bmp	 8.273572e+00	 24	 999000	 240	 999000	 999	 9.291747e+00	 700.00	 750.00	 49.00	 30	 2.73	 
bmem_snacks2_147	 1	 1	 BabyDoll.bmp	 1.027616e+01	 22	 999000	 2	 7.500597e+02	 999	 1.131228e+01	 700.00	 700.00	 52.00	 35	 1.71	 
bmem_snacks2_147	 1	 1	 Cheetos.bmp	 1.327957e+01	 22	 1.013750e+03	 2200	 7.000657e+02	 98	 1.431388e+01	 700.00	 650.00	 45.00	 52	 2.80	 
bmem_snacks2_147	 1	 1	 DoritosSourSpicy.bmp	 1.528172e+01	 12	 999000	 120	 999000	 999	 1.629955e+01	 700.00	 650.00	 4.00	 38	 5.93	 
bmem_snacks2_147	 1	 1	 TapuchipsCrunch.bmp	 1.928632e+01	 12	 999000	 120	 999000	 999	 2.030401e+01	 700.00	 650.00	 19.00	 60	 4.84	 
bmem_snacks2_147	 1	 1	 DoritosNatural.bmp	 2.128857e+01	 11	 1.084717e+03	 1100	 7.000642e+02	 98	 2.232317e+01	 650.00	 650.00	 15.00	 46	 4.87	 
bmem_snacks2_147	 1	 1	 ClickXLbrown4.bmp	 2.627743e+01	 12	 999000	 120	 999000	 999	 2.729532e+01	 650.00	 650.00	 6.00	 50	 5.82	 
bmem_snacks2_147	 1	 1	 DoritosGrill.bmp	 2.827966e+01	 12	 999000	 120	 999000	 999	 2.929749e+01	 650.00	 650.00	 14.00	 39	 4.87	 
