subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	
bmem_snacks_107	 0	 1	 01	 1	 1	 2.018597e+00	 BambaSweet.bmp	 Mekupelet.bmp	 48	 53	 0	 i	 2	 1	 775.33	 2.73	 1.80	 
bmem_snacks_107	 0	 1	 01	 1	 2	 7.007517e+00	 Mekupelet.bmp	 HappyHippo.bmp	 53	 43	 1	 i	 2	 0	 812.60	 1.80	 3.16	 
bmem_snacks_107	 0	 1	 01	 1	 3	 1.701885e+01	 CrunchBisquitBrown3.bmp	 ChocolateParaMarir2.bmp	 18	 9	 1	 u	 1	 1	 742.97	 4.87	 5.91	 
bmem_snacks_107	 0	 1	 01	 1	 4	 2.102332e+01	 KinderJoy.bmp	 KashitSour.bmp	 52	 49	 1	 u	 2	 1	 722.49	 2.09	 2.71	 
bmem_snacks_107	 0	 1	 01	 1	 5	 2.601224e+01	 PesekZman.bmp	 HappyHippo.bmp	 44	 43	 1	 i	 2	 0	 533.57	 2.76	 3.16	 
bmem_snacks_107	 0	 1	 01	 1	 6	 3.201906e+01	 Egozi.bmp	 Keifli.bmp	 19	 20	 1	 u	 4	 1	 1086.78	 4.87	 4.84	 
bmem_snacks_107	 0	 1	 01	 1	 7	 3.700765e+01	 KinderBuenoBrown3.bmp	 CrunchShokoVanil.bmp	 6	 56	 1	 u	 3	 1	 626.84	 5.96	 1.16	 
bmem_snacks_107	 0	 1	 01	 1	 8	 4.001127e+01	 Kitkat.bmp	 ChocolateParaMarir2.bmp	 12	 9	 1	 i	 1	 0	 742.54	 4.91	 5.91	 
bmem_snacks_107	 0	 1	 01	 1	 9	 4.301471e+01	 GumiSnakes3.bmp	 Kitkat.bmp	 17	 12	 0	 i	 1	 1	 603.11	 4.87	 4.91	 
bmem_snacks_107	 0	 1	 01	 1	 10	 4.601803e+01	 GumiWine2.bmp	 KinderJoy.bmp	 54	 52	 0	 i	 2	 1	 911.78	 1.71	 2.09	 
bmem_snacks_107	 0	 1	 01	 1	 11	 4.902139e+01	 CrunchBisquitBrown3.bmp	 GumiSnakes3.bmp	 18	 17	 1	 u	 1	 1	 596.42	 4.87	 4.87	 
bmem_snacks_107	 0	 1	 01	 1	 12	 5.601259e+01	 Smarties.bmp	 Mentos.bmp	 51	 50	 0	 i	 2	 1	 821.22	 2.62	 2.67	 
bmem_snacks_107	 0	 1	 01	 1	 13	 5.901600e+01	 Cheetos.bmp	 Mars.bmp	 39	 40	 1	 i	 5	 0	 881.81	 3.69	 3.69	 
bmem_snacks_107	 0	 1	 01	 1	 14	 6.201942e+01	 TapuchipsCrunch.bmp	 Bamba.bmp	 41	 42	 0	 u	 5	 0	 1182.40	 3.18	 3.18	 
bmem_snacks_107	 0	 1	 01	 1	 15	 6.700830e+01	 Tictac.bmp	 Smarties.bmp	 45	 51	 1	 i	 2	 0	 1273.51	 2.76	 2.62	 
bmem_snacks_107	 0	 1	 01	 1	 16	 7.301508e+01	 KashitSour.bmp	 ClickBalls5.bmp	 49	 47	 0	 i	 2	 1	 658.73	 2.71	 2.73	 
bmem_snacks_107	 0	 1	 01	 1	 17	 7.802074e+01	 ChocolateParaSucariotKoftzot2.bmp	 ChocolateParaMarir2.bmp	 10	 9	 1	 u	 1	 1	 973.07	 5.87	 5.91	 
bmem_snacks_107	 0	 1	 01	 1	 18	 8.300955e+01	 ClickBalls5.bmp	 HappyHippo.bmp	 47	 43	 1	 u	 2	 1	 1128.26	 2.73	 3.16	 
bmem_snacks_107	 0	 1	 01	 1	 19	 9.201976e+01	 KinderBuenoBrown3.bmp	 Shugi.bmp	 6	 55	 1	 u	 3	 1	 846.05	 5.96	 1.62	 
