subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks_107	 1	 6	 KinderBuenoWhite2.bmp	 6.592866e+02	 12	 999000	 120	 999000	 999	 6.603045e+02	 650.00	 716.67	 5.00	 58	 5.98	 
bmem_snacks_107	 1	 6	 Taami.bmp	 6.622733e+02	 12	 999000	 120	 999000	 999	 6.632910e+02	 650.00	 716.67	 14.00	 13	 4.89	 
bmem_snacks_107	 1	 6	 HappyHippo.bmp	 6.642755e+02	 24	 999000	 240	 999000	 999	 6.652933e+02	 650.00	 716.67	 43.00	 16	 3.16	 
bmem_snacks_107	 1	 6	 Twist.bmp	 6.662778e+02	 24	 999000	 240	 999000	 999	 6.672956e+02	 650.00	 716.67	 57.00	 38	 0.69	 
bmem_snacks_107	 1	 6	 Bamba.bmp	 6.682801e+02	 24	 999000	 240	 999000	 999	 6.692978e+02	 650.00	 716.67	 42.00	 10	 3.18	 
bmem_snacks_107	 1	 6	 CrunchShokoVanil.bmp	 6.712834e+02	 24	 999000	 240	 999000	 999	 6.723011e+02	 650.00	 716.67	 56.00	 3	 1.16	 
bmem_snacks_107	 1	 6	 Egozi.bmp	 6.732686e+02	 12	 999000	 120	 999000	 999	 6.742867e+02	 650.00	 716.67	 19.00	 57	 4.87	 
bmem_snacks_107	 1	 6	 Twix.bmp	 6.772734e+02	 12	 999000	 120	 999000	 999	 6.782912e+02	 650.00	 716.67	 22.00	 41	 4.84	 
bmem_snacks_107	 1	 6	 CrunchBisquitBrown3.bmp	 6.792757e+02	 11	 1.022301e+03	 1100	 6.500685e+02	 98	 6.803104e+02	 600.00	 716.67	 18.00	 48	 4.87	 
bmem_snacks_107	 1	 6	 ChocolateParaMilk3.bmp	 6.842813e+02	 12	 999000	 120	 999000	 999	 6.852991e+02	 600.00	 716.67	 8.00	 40	 5.96	 
bmem_snacks_107	 1	 6	 GumiWine2.bmp	 6.862835e+02	 24	 999000	 240	 999000	 999	 6.873013e+02	 600.00	 716.67	 54.00	 56	 1.71	 
bmem_snacks_107	 1	 6	 Keifli.bmp	 6.902714e+02	 12	 999000	 120	 999000	 999	 6.912891e+02	 600.00	 716.67	 20.00	 5	 4.84	 
bmem_snacks_107	 1	 6	 Mentos.bmp	 6.922736e+02	 22	 1.008419e+03	 2200	 7.167276e+02	 98	 6.933081e+02	 600.00	 666.67	 50.00	 35	 2.67	 
bmem_snacks_107	 1	 6	 BambaSweet.bmp	 6.952770e+02	 24	 999000	 240	 999000	 999	 6.962948e+02	 600.00	 666.67	 48.00	 45	 2.73	 
bmem_snacks_107	 1	 6	 KinderBuenoBrown3.bmp	 7.002826e+02	 12	 999000	 120	 999000	 999	 7.013004e+02	 600.00	 666.67	 6.00	 18	 5.96	 
bmem_snacks_107	 1	 6	 Shugi.bmp	 7.022679e+02	 24	 999000	 240	 999000	 999	 7.032859e+02	 600.00	 666.67	 55.00	 9	 1.62	 
bmem_snacks_107	 1	 6	 Loacker.bmp	 7.042705e+02	 12	 999000	 120	 999000	 999	 7.052883e+02	 600.00	 666.67	 11.00	 1	 4.93	 
bmem_snacks_107	 1	 6	 ChocolateParaSucariotKoftzot2.bmp	 7.082749e+02	 11	 8.791086e+02	 110	 6.000439e+02	 98	 7.093093e+02	 616.67	 666.67	 10.00	 31	 5.87	 
bmem_snacks_107	 1	 6	 BagaleShtuhim.bmp	 7.122794e+02	 12	 999000	 120	 999000	 999	 7.132972e+02	 616.67	 666.67	 4.00	 59	 6.98	 
bmem_snacks_107	 1	 6	 Kitkat.bmp	 7.162839e+02	 11	 9.501123e+02	 110	 6.167120e+02	 98	 7.173183e+02	 633.33	 666.67	 12.00	 30	 4.91	 
bmem_snacks_107	 1	 6	 Cheetos.bmp	 7.182696e+02	 24	 999000	 240	 999000	 999	 7.192873e+02	 633.33	 666.67	 39.00	 33	 3.69	 
bmem_snacks_107	 1	 6	 Halva2.bmp	 7.202718e+02	 24	 999000	 240	 999000	 999	 7.212896e+02	 633.33	 666.67	 46.00	 12	 2.73	 
bmem_snacks_107	 1	 6	 Mekupelet.bmp	 7.222739e+02	 22	 9.360457e+02	 220	 6.667063e+02	 98	 7.233092e+02	 633.33	 683.33	 53.00	 26	 1.80	 
bmem_snacks_107	 1	 6	 Tictac.bmp	 7.242761e+02	 22	 9.898481e+02	 220	 6.833826e+02	 98	 7.253113e+02	 633.33	 700.00	 45.00	 34	 2.76	 
bmem_snacks_107	 1	 6	 KashitSour.bmp	 7.302830e+02	 24	 999000	 240	 999000	 999	 7.313008e+02	 633.33	 700.00	 49.00	 4	 2.71	 
bmem_snacks_107	 1	 6	 Hit.bmp	 7.332696e+02	 12	 999000	 120	 999000	 999	 7.342875e+02	 633.33	 700.00	 3.00	 25	 7.00	 
bmem_snacks_107	 1	 6	 PesekZman.bmp	 7.352719e+02	 22	 1.018147e+03	 2200	 7.000425e+02	 98	 7.363068e+02	 633.33	 650.00	 44.00	 6	 2.76	 
bmem_snacks_107	 1	 6	 CrunchBisquitWhite2.bmp	 7.372742e+02	 11	 9.757772e+02	 110	 6.333858e+02	 98	 7.383094e+02	 650.00	 650.00	 13.00	 39	 4.91	 
bmem_snacks_107	 1	 6	 TapuchipsCrunch.bmp	 7.402775e+02	 24	 999000	 240	 999000	 999	 7.412953e+02	 650.00	 650.00	 41.00	 8	 3.18	 
bmem_snacks_107	 1	 6	 SkittlesFruits2.bmp	 7.422798e+02	 11	 9.781641e+02	 110	 6.500432e+02	 98	 7.433147e+02	 666.67	 650.00	 15.00	 17	 4.89	 
bmem_snacks_107	 1	 6	 ClickXLwhite4.bmp	 7.442821e+02	 12	 999000	 120	 999000	 999	 7.452998e+02	 666.67	 650.00	 21.00	 7	 4.84	 
bmem_snacks_107	 1	 6	 Mars.bmp	 7.462843e+02	 24	 999000	 240	 999000	 999	 7.473021e+02	 666.67	 650.00	 40.00	 36	 3.69	 
bmem_snacks_107	 1	 6	 HispusimShatiah.bmp	 7.492710e+02	 24	 999000	 240	 999000	 999	 7.502889e+02	 666.67	 650.00	 58.00	 27	 0.62	 
bmem_snacks_107	 1	 6	 ClickBalls5.bmp	 7.512733e+02	 22	 9.767261e+02	 220	 6.500532e+02	 98	 7.523090e+02	 666.67	 666.67	 47.00	 24	 2.73	 
bmem_snacks_107	 1	 6	 Smarties.bmp	 7.532754e+02	 24	 999000	 240	 999000	 999	 7.542932e+02	 666.67	 666.67	 51.00	 54	 2.62	 
bmem_snacks_107	 1	 6	 ChocolateParaMarir2.bmp	 7.552777e+02	 12	 999000	 120	 999000	 999	 7.562955e+02	 666.67	 666.67	 9.00	 14	 5.91	 
bmem_snacks_107	 1	 6	 ChocolateParaCookies5.bmp	 7.572800e+02	 11	 1.041981e+03	 1100	 6.667103e+02	 98	 7.583156e+02	 616.67	 666.67	 7.00	 21	 5.96	 
bmem_snacks_107	 1	 6	 GumiSnakes3.bmp	 7.632701e+02	 12	 999000	 120	 999000	 999	 7.642878e+02	 616.67	 666.67	 17.00	 2	 4.87	 
bmem_snacks_107	 1	 6	 SkittlesSour4.bmp	 7.662734e+02	 12	 999000	 120	 999000	 999	 7.672912e+02	 616.67	 666.67	 16.00	 23	 4.89	 
bmem_snacks_107	 1	 6	 KinderJoy.bmp	 7.702779e+02	 22	 9.652018e+02	 220	 6.667137e+02	 98	 7.713125e+02	 616.67	 683.33	 52.00	 28	 2.09	 
