subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks_111	 1	 14	 Twix.bmp	 1.653779e+03	 11	 7.662266e+02	 11	 9.167285e+02	 98	 1.654814e+03	 916.67	 916.67	 12.00	 41	 3.82	 
bmem_snacks_111	 1	 14	 WerthersOriginal.bmp	 1.655782e+03	 12	 999000	 120	 999000	 999	 1.656799e+03	 916.67	 916.67	 14.00	 27	 3.27	 
bmem_snacks_111	 1	 14	 DoritosGrill.bmp	 1.659769e+03	 22	 9.442710e+02	 220	 9.167328e+02	 98	 1.660806e+03	 916.67	 916.67	 53.00	 17	 0.02	 
bmem_snacks_111	 1	 14	 Tictac.bmp	 1.662773e+03	 12	 999000	 120	 999000	 999	 1.663791e+03	 916.67	 916.67	 22.00	 9	 1.71	 
bmem_snacks_111	 1	 14	 ClickXLbrown4.bmp	 1.664775e+03	 12	 999000	 120	 999000	 999	 1.665793e+03	 916.67	 916.67	 9.00	 42	 4.84	 
bmem_snacks_111	 1	 14	 Mekupelet.bmp	 1.667778e+03	 12	 999000	 120	 999000	 999	 1.668796e+03	 916.67	 916.67	 20.00	 25	 2.67	 
bmem_snacks_111	 1	 14	 DoritosSourSpicy.bmp	 1.671783e+03	 24	 999000	 240	 999000	 999	 1.672801e+03	 916.67	 916.67	 54.00	 18	 0.02	 
bmem_snacks_111	 1	 14	 Popco.bmp	 1.675771e+03	 12	 999000	 120	 999000	 999	 1.676788e+03	 916.67	 916.67	 19.00	 12	 2.69	 
bmem_snacks_111	 1	 14	 Mars.bmp	 1.677773e+03	 11	 1.060797e+03	 1100	 9.167193e+02	 98	 1.678807e+03	 866.67	 916.67	 18.00	 50	 2.71	 
bmem_snacks_111	 1	 14	 Cheetos.bmp	 1.682778e+03	 22	 6.472398e+02	 22	 9.167166e+02	 98	 1.683813e+03	 866.67	 916.67	 47.00	 38	 0.04	 
bmem_snacks_111	 1	 14	 ClickBlackWhite3.bmp	 1.684781e+03	 11	 6.769241e+02	 11	 8.667129e+02	 98	 1.685817e+03	 883.33	 916.67	 13.00	 30	 3.76	 
bmem_snacks_111	 1	 14	 Mentos.bmp	 1.686766e+03	 12	 999000	 120	 999000	 999	 1.687784e+03	 883.33	 916.67	 21.00	 35	 1.73	 
bmem_snacks_111	 1	 14	 Apropo.bmp	 1.692773e+03	 22	 5.645649e+02	 22	 9.167082e+02	 98	 1.693808e+03	 883.33	 916.67	 45.00	 31	 0.04	 
bmem_snacks_111	 1	 14	 ClickBisquit2.bmp	 1.694775e+03	 12	 999000	 120	 999000	 999	 1.695793e+03	 883.33	 916.67	 17.00	 32	 2.71	 
bmem_snacks_111	 1	 14	 CrunchShokoVanil.bmp	 1.696778e+03	 24	 999000	 240	 999000	 999	 1.697795e+03	 883.33	 916.67	 56.00	 29	 0.02	 
