subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	
bmem_snacks_120	 0	 2	 02	 1	 1	 2.018829e+00	 Keifli.bmp	 BabyDoll.bmp	 56	 5	 0	 i	 3	 1	 1225.44	 0.18	 8.13	 
bmem_snacks_120	 0	 2	 02	 1	 2	 8.025527e+00	 BambaNugat.bmp	 Apropo.bmp	 12	 11	 0	 i	 1	 1	 1282.74	 7.00	 7.02	 
bmem_snacks_120	 0	 2	 02	 1	 3	 1.102887e+01	 KashitSour.bmp	 Popco.bmp	 45	 48	 0	 i	 2	 1	 759.40	 2.73	 1.64	 
bmem_snacks_120	 0	 2	 02	 1	 4	 1.802004e+01	 ChocolateParaMilk3.bmp	 Tortit.bmp	 46	 52	 1	 u	 2	 1	 632.23	 2.67	 0.20	 
bmem_snacks_120	 0	 2	 02	 1	 5	 2.102344e+01	 Kitkat.bmp	 GumiWine2.bmp	 43	 53	 1	 u	 2	 1	 844.83	 3.33	 0.20	 
bmem_snacks_120	 0	 2	 02	 1	 6	 2.602908e+01	 Keifli.bmp	 Taami.bmp	 56	 6	 0	 i	 3	 1	 775.60	 0.18	 8.11	 
bmem_snacks_120	 0	 2	 02	 1	 7	 3.101800e+01	 Bamba.bmp	 BambaNugat.bmp	 9	 12	 1	 u	 1	 1	 714.27	 8.02	 7.00	 
bmem_snacks_120	 0	 2	 02	 1	 8	 3.402140e+01	 Apropo.bmp	 ChocolateParaSucariotKoftzot2.bmp	 11	 7	 1	 u	 1	 1	 926.87	 7.02	 8.09	 
bmem_snacks_120	 0	 2	 02	 1	 9	 3.802586e+01	 ClickBisquit2.bmp	 Dubonim.bmp	 8	 10	 1	 i	 1	 0	 986.44	 8.07	 7.02	 
bmem_snacks_120	 0	 2	 02	 1	 10	 4.102918e+01	 KashitSour.bmp	 BambaSweet.bmp	 45	 51	 0	 i	 2	 1	 959.09	 2.73	 0.27	 
bmem_snacks_120	 0	 2	 02	 1	 11	 4.501683e+01	 Popco.bmp	 Tortit.bmp	 48	 52	 1	 u	 2	 1	 875.46	 1.64	 0.20	 
bmem_snacks_120	 0	 2	 02	 1	 12	 5.002260e+01	 Hit.bmp	 SkittlesSour4.bmp	 41	 42	 1	 u	 5	 1	 709.69	 3.78	 3.76	 
bmem_snacks_120	 0	 2	 02	 1	 13	 5.302608e+01	 CrunchShokoVanil.bmp	 GumiSnakes3.bmp	 50	 49	 0	 i	 2	 1	 1074.19	 0.53	 0.56	 
bmem_snacks_120	 0	 2	 02	 1	 14	 5.602931e+01	 ChocolateParaMilk3.bmp	 GumiWine2.bmp	 46	 53	 1	 u	 2	 1	 662.96	 2.67	 0.20	 
bmem_snacks_120	 0	 2	 02	 1	 15	 6.101834e+01	 Smarties.bmp	 Twist.bmp	 47	 54	 0	 u	 2	 0	 1073.93	 1.64	 0.18	 
