subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks_121	 1	 13	 Mars.bmp	 1.539296e+03	 12	 999000	 120	 999000	 999	 1.540316e+03	 750.00	 616.67	 4.00	 49	 5.98	 
bmem_snacks_121	 1	 13	 TapuchipsCrunch.bmp	 1.541298e+03	 22	 9.037087e+02	 220	 6.167362e+02	 98	 1.542335e+03	 750.00	 633.33	 47.00	 53	 0.47	 
bmem_snacks_121	 1	 13	 HispusimShatiah.bmp	 1.545303e+03	 24	 999000	 240	 999000	 999	 1.546323e+03	 750.00	 633.33	 57.00	 20	 0.31	 
bmem_snacks_121	 1	 13	 Mekupelet.bmp	 1.548306e+03	 11	 9.918420e+02	 110	 7.500619e+02	 98	 1.549341e+03	 766.67	 633.33	 10.00	 32	 4.91	 
bmem_snacks_121	 1	 13	 ChocolateParaMarir2.bmp	 1.550292e+03	 12	 999000	 120	 999000	 999	 1.551311e+03	 766.67	 633.33	 22.00	 52	 2.84	 
bmem_snacks_121	 1	 13	 BisliPizza3.bmp	 1.553295e+03	 22	 9.149790e+02	 220	 6.333719e+02	 98	 1.554331e+03	 766.67	 650.00	 53.00	 29	 0.40	 
bmem_snacks_121	 1	 13	 BisliOnion.bmp	 1.557300e+03	 24	 999000	 240	 999000	 999	 1.558319e+03	 766.67	 650.00	 39.00	 2	 0.56	 
bmem_snacks_121	 1	 13	 PesekZman.bmp	 1.561304e+03	 24	 999000	 240	 999000	 999	 1.562324e+03	 766.67	 650.00	 41.00	 37	 0.56	 
bmem_snacks_121	 1	 13	 Twix.bmp	 1.563306e+03	 11	 1.015696e+03	 1100	 7.667098e+02	 98	 1.564359e+03	 716.67	 650.00	 18.00	 50	 3.62	 
bmem_snacks_121	 1	 13	 Hit.bmp	 1.568295e+03	 12	 999000	 120	 999000	 999	 1.569315e+03	 716.67	 650.00	 9.00	 5	 4.91	 
bmem_snacks_121	 1	 13	 ClickBalls5.bmp	 1.570297e+03	 24	 999000	 240	 999000	 999	 1.571319e+03	 716.67	 650.00	 54.00	 30	 0.40	 
bmem_snacks_121	 1	 13	 GumiSnakes3.bmp	 1.572300e+03	 24	 999000	 240	 999000	 999	 1.573319e+03	 716.67	 650.00	 58.00	 41	 0.24	 
bmem_snacks_121	 1	 13	 HappyHippo.bmp	 1.578307e+03	 12	 999000	 120	 999000	 999	 1.579326e+03	 716.67	 650.00	 5.00	 23	 5.89	 
