subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks_124	 2	 8	 KinderBuenoBrown3.bmp	 8.832019e+02	 11	 9.679474e+02	 110	 6.500665e+02	 98	 8.842384e+02	 666.67	 650.00	 8.00	 58	 9.84	 
bmem_snacks_124	 2	 8	 GumiWine2.bmp	 8.852044e+02	 22	 9.574336e+02	 220	 6.500734e+02	 98	 8.862401e+02	 666.67	 666.67	 49.00	 3	 0.07	 
bmem_snacks_124	 2	 8	 Cheetos.bmp	 8.891923e+02	 22	 9.375592e+02	 220	 6.667148e+02	 98	 8.902283e+02	 666.67	 683.33	 43.00	 18	 0.09	 
bmem_snacks_124	 2	 8	 CrunchBisquitBrown3.bmp	 8.921956e+02	 12	 999000	 120	 999000	 999	 8.932147e+02	 666.67	 683.33	 20.00	 46	 4.93	 
bmem_snacks_124	 2	 8	 SkittlesSour4.bmp	 8.941979e+02	 12	 999000	 120	 999000	 999	 8.952172e+02	 666.67	 683.33	 3.00	 36	 9.89	 
bmem_snacks_124	 2	 8	 GumiSnakes3.bmp	 8.972012e+02	 24	 999000	 240	 999000	 999	 8.982203e+02	 666.67	 683.33	 57.00	 14	 0.04	 
bmem_snacks_124	 2	 8	 BisliGrill.bmp	 9.012057e+02	 24	 999000	 240	 999000	 999	 9.022244e+02	 666.67	 683.33	 58.00	 15	 0.04	 
bmem_snacks_124	 2	 8	 BisliOnion.bmp	 9.051935e+02	 24	 999000	 240	 999000	 999	 9.062123e+02	 666.67	 683.33	 39.00	 34	 0.13	 
bmem_snacks_124	 2	 8	 KifkefMaklot2.bmp	 9.071959e+02	 12	 999000	 120	 999000	 999	 9.082150e+02	 666.67	 683.33	 18.00	 24	 5.80	 
bmem_snacks_124	 2	 8	 Taami.bmp	 9.122014e+02	 12	 999000	 120	 999000	 999	 9.132207e+02	 666.67	 683.33	 15.00	 45	 6.96	 
bmem_snacks_124	 2	 8	 DoritosGrill.bmp	 9.142037e+02	 22	 9.901903e+02	 220	 6.833816e+02	 98	 9.152400e+02	 666.67	 700.00	 51.00	 12	 0.07	 
bmem_snacks_124	 2	 8	 Popco.bmp	 9.162059e+02	 24	 999000	 240	 999000	 999	 9.172246e+02	 666.67	 700.00	 52.00	 29	 0.07	 
bmem_snacks_124	 2	 8	 Loacker.bmp	 9.221959e+02	 12	 999000	 120	 999000	 999	 9.232149e+02	 666.67	 700.00	 5.00	 35	 9.87	 
bmem_snacks_124	 2	 8	 Mekupelet.bmp	 9.241982e+02	 22	 1.027620e+03	 2200	 7.000514e+02	 98	 9.252352e+02	 666.67	 650.00	 54.00	 51	 0.07	 
bmem_snacks_124	 2	 8	 ChocolateParaCookies5.bmp	 9.262005e+02	 12	 999000	 120	 999000	 999	 9.272196e+02	 666.67	 650.00	 12.00	 10	 8.13	 
bmem_snacks_124	 2	 8	 ChocolateParaMarir2.bmp	 9.282027e+02	 24	 999000	 240	 999000	 999	 9.292215e+02	 666.67	 650.00	 56.00	 57	 0.07	 
bmem_snacks_124	 2	 8	 ClickBlackWhite3.bmp	 9.322072e+02	 12	 999000	 120	 999000	 999	 9.332258e+02	 666.67	 650.00	 22.00	 38	 3.78	 
bmem_snacks_124	 2	 8	 TapuchipsCrunch.bmp	 9.361950e+02	 24	 999000	 240	 999000	 999	 9.372138e+02	 666.67	 650.00	 47.00	 30	 0.09	 
bmem_snacks_124	 2	 8	 Smarties.bmp	 9.391984e+02	 12	 999000	 120	 999000	 999	 9.402178e+02	 666.67	 650.00	 13.00	 8	 8.09	 
bmem_snacks_124	 2	 8	 Mars.bmp	 9.432029e+02	 11	 9.589105e+02	 110	 6.667092e+02	 98	 9.442386e+02	 683.33	 650.00	 16.00	 17	 6.00	 
bmem_snacks_124	 2	 8	 ClickBalls5.bmp	 9.462063e+02	 11	 1.067582e+03	 1100	 6.833858e+02	 98	 9.472421e+02	 633.33	 650.00	 11.00	 13	 9.09	 
bmem_snacks_124	 2	 8	 Twist.bmp	 9.481915e+02	 11	 8.583730e+02	 110	 6.333823e+02	 98	 9.492275e+02	 650.00	 650.00	 14.00	 43	 7.11	 
bmem_snacks_124	 2	 8	 WerthersOriginal.bmp	 9.521963e+02	 24	 999000	 240	 999000	 999	 9.532158e+02	 650.00	 650.00	 40.00	 55	 0.13	 
bmem_snacks_124	 2	 8	 BisliPizza3.bmp	 9.541985e+02	 22	 9.633184e+02	 220	 6.500532e+02	 98	 9.552350e+02	 650.00	 666.67	 48.00	 42	 0.09	 
bmem_snacks_124	 2	 8	 Keifli.bmp	 9.562007e+02	 22	 9.051074e+02	 220	 6.667158e+02	 98	 9.572367e+02	 650.00	 683.33	 46.00	 25	 0.09	 
bmem_snacks_124	 2	 8	 KinderBuenoWhite2.bmp	 9.602053e+02	 11	 9.005959e+02	 110	 6.500437e+02	 98	 9.612417e+02	 666.67	 683.33	 9.00	 31	 9.18	 
bmem_snacks_124	 2	 8	 Hit.bmp	 9.622075e+02	 24	 999000	 240	 999000	 999	 9.632263e+02	 666.67	 683.33	 41.00	 59	 0.11	 
bmem_snacks_124	 2	 8	 CrunchShokoVanil.bmp	 9.661954e+02	 24	 999000	 240	 999000	 999	 9.672144e+02	 666.67	 683.33	 45.00	 21	 0.09	 
bmem_snacks_124	 2	 8	 KinderJoy.bmp	 9.701998e+02	 12	 999000	 120	 999000	 999	 9.712194e+02	 666.67	 683.33	 6.00	 48	 9.87	 
bmem_snacks_124	 2	 8	 Halva2.bmp	 9.732032e+02	 24	 999000	 240	 999000	 999	 9.742225e+02	 666.67	 683.33	 42.00	 2	 0.09	 
bmem_snacks_124	 2	 8	 Twix.bmp	 9.791933e+02	 12	 999000	 120	 999000	 999	 9.802122e+02	 666.67	 683.33	 10.00	 11	 9.11	 
bmem_snacks_124	 2	 8	 Bounty.bmp	 9.811955e+02	 12	 999000	 120	 999000	 999	 9.822144e+02	 666.67	 683.33	 21.00	 40	 3.84	 
bmem_snacks_124	 2	 8	 SkittlesFruits2.bmp	 9.852000e+02	 12	 999000	 120	 999000	 999	 9.862192e+02	 666.67	 683.33	 4.00	 20	 9.87	 
bmem_snacks_124	 2	 8	 Dubonim.bmp	 9.872022e+02	 24	 999000	 240	 999000	 999	 9.882218e+02	 666.67	 683.33	 44.00	 19	 0.09	 
bmem_snacks_124	 2	 8	 BabyDoll.bmp	 9.892045e+02	 11	 1.005416e+03	 1100	 6.667081e+02	 98	 9.902408e+02	 616.67	 683.33	 17.00	 4	 5.93	 
