subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
bmem_snacks_130	 2	 13	 KinderBuenoWhite2.bmp	 1.877911e+03	 24	 999000	 240	 999000	 999	 1.878931e+03	 750.00	 683.33	 42.00	 28	 3.80	 
bmem_snacks_130	 2	 13	 GumiWine2.bmp	 1.882900e+03	 11	 9.743717e+02	 110	 7.500593e+02	 98	 1.883935e+03	 766.67	 683.33	 11.00	 3	 6.98	 
bmem_snacks_130	 2	 13	 Bamba.bmp	 1.884902e+03	 24	 999000	 240	 999000	 999	 1.885921e+03	 766.67	 683.33	 47.00	 41	 3.76	 
bmem_snacks_130	 2	 13	 HappyHippo.bmp	 1.886904e+03	 24	 999000	 240	 999000	 999	 1.887923e+03	 766.67	 683.33	 56.00	 44	 2.71	 
bmem_snacks_130	 2	 13	 Mentos.bmp	 1.892894e+03	 22	 9.077684e+02	 220	 6.833914e+02	 98	 1.893930e+03	 766.67	 700.00	 46.00	 18	 3.76	 
bmem_snacks_130	 2	 13	 KifkefMaklot2.bmp	 1.894897e+03	 12	 999000	 120	 999000	 999	 1.895916e+03	 766.67	 700.00	 20.00	 9	 5.91	 
bmem_snacks_130	 2	 13	 CrunchBisquitWhite2.bmp	 1.897900e+03	 12	 999000	 120	 999000	 999	 1.898919e+03	 766.67	 700.00	 3.00	 17	 9.09	 
bmem_snacks_130	 2	 13	 KashitSour.bmp	 1.899902e+03	 24	 999000	 240	 999000	 999	 1.900921e+03	 766.67	 700.00	 50.00	 40	 3.24	 
bmem_snacks_130	 2	 13	 Taami.bmp	 1.903890e+03	 22	 9.205280e+02	 220	 7.000416e+02	 98	 1.904924e+03	 766.67	 716.67	 54.00	 35	 2.78	 
bmem_snacks_130	 2	 13	 Keifli.bmp	 1.905892e+03	 12	 999000	 120	 999000	 999	 1.906911e+03	 766.67	 716.67	 19.00	 29	 5.93	 
bmem_snacks_130	 2	 13	 ClickXLwhite4.bmp	 1.910898e+03	 12	 999000	 120	 999000	 999	 1.911917e+03	 766.67	 716.67	 5.00	 1	 8.51	 
bmem_snacks_130	 2	 13	 SkittlesFruits2.bmp	 1.917906e+03	 12	 999000	 120	 999000	 999	 1.918925e+03	 766.67	 716.67	 18.00	 56	 6.38	 
bmem_snacks_130	 2	 13	 PesekZman.bmp	 1.919891e+03	 11	 9.988388e+02	 110	 7.667106e+02	 98	 1.920928e+03	 783.33	 716.67	 8.00	 11	 8.02	 
bmem_snacks_130	 2	 13	 Kitkat.bmp	 1.922895e+03	 12	 999000	 120	 999000	 999	 1.923913e+03	 783.33	 716.67	 15.00	 30	 6.47	 
bmem_snacks_130	 2	 13	 GumiSnakes3.bmp	 1.925898e+03	 24	 999000	 240	 999000	 999	 1.926917e+03	 783.33	 716.67	 52.00	 32	 3.22	 
bmem_snacks_130	 2	 13	 Halva2.bmp	 1.929902e+03	 24	 999000	 240	 999000	 999	 1.930921e+03	 783.33	 716.67	 53.00	 34	 3.18	 
bmem_snacks_130	 2	 13	 ClickBlackWhite3.bmp	 1.933890e+03	 12	 999000	 120	 999000	 999	 1.934909e+03	 783.33	 716.67	 7.00	 23	 8.04	 
bmem_snacks_130	 2	 13	 ChocolateParaCookies5.bmp	 1.937895e+03	 12	 999000	 120	 999000	 999	 1.938914e+03	 783.33	 716.67	 10.00	 42	 7.02	 
bmem_snacks_130	 2	 13	 BisliGrill.bmp	 1.940898e+03	 22	 9.840311e+02	 220	 7.167086e+02	 98	 1.941935e+03	 783.33	 733.33	 43.00	 45	 3.80	 
bmem_snacks_130	 2	 13	 Twix.bmp	 1.946905e+03	 12	 999000	 120	 999000	 999	 1.947923e+03	 783.33	 733.33	 21.00	 24	 5.91	 
bmem_snacks_130	 2	 13	 BabyDoll.bmp	 1.948890e+03	 22	 1.000079e+03	 2200	 7.333798e+02	 98	 1.949927e+03	 783.33	 683.33	 48.00	 27	 3.31	 
bmem_snacks_130	 2	 13	 Bounty.bmp	 1.951894e+03	 24	 999000	 240	 999000	 999	 1.952913e+03	 783.33	 683.33	 55.00	 36	 2.76	 
bmem_snacks_130	 2	 13	 Tapuchips.bmp	 1.953896e+03	 22	 9.140421e+02	 220	 6.833772e+02	 98	 1.954949e+03	 783.33	 700.00	 51.00	 55	 3.24	 
