subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	
BMI_bs_112	 4	 2	 01	 1	 1	 2.018354e+00	 Keifli.bmp	 KashitSour.bmp	 46	 50	 1	 u	 2	 1	 681.40	 0.09	 0.04	 
BMI_bs_112	 4	 2	 01	 1	 2	 8.025074e+00	 BambaSweet.bmp	 Popco.bmp	 42	 54	 0	 i	 2	 1	 772.46	 0.11	 0.03	 
BMI_bs_112	 4	 2	 01	 1	 3	 1.102844e+01	 Bamba.bmp	 TapuchipsCrunch.bmp	 44	 40	 0	 i	 2	 1	 750.48	 0.11	 0.11	 
BMI_bs_112	 4	 2	 01	 1	 4	 1.401512e+01	 Mekupelet.bmp	 ChocolateParaMarir2.bmp	 16	 10	 1	 u	 1	 1	 936.44	 0.37	 0.46	 
BMI_bs_112	 4	 2	 01	 1	 5	 1.701849e+01	 Halva2.bmp	 ChocolateParaMilk3.bmp	 18	 11	 0	 i	 1	 1	 790.69	 0.33	 0.45	 
BMI_bs_112	 4	 2	 01	 1	 6	 2.102297e+01	 KashitSour.bmp	 BisliOnion.bmp	 50	 49	 0	 i	 2	 1	 678.90	 0.04	 0.05	 
BMI_bs_112	 4	 2	 01	 1	 7	 2.901526e+01	 BambaSweet.bmp	 BisliOnion.bmp	 42	 49	 0	 u	 2	 0	 832.03	 0.11	 0.05	 
BMI_bs_112	 4	 2	 01	 1	 8	 3.402086e+01	 KinderBuenoWhite2.bmp	 HappyHippo.bmp	 12	 14	 0	 u	 1	 0	 664.11	 0.41	 0.41	 
BMI_bs_112	 4	 2	 01	 1	 9	 3.902647e+01	 Popco.bmp	 Mars.bmp	 54	 47	 1	 i	 2	 0	 574.95	 0.03	 0.07	 
BMI_bs_112	 4	 2	 01	 1	 10	 4.202983e+01	 Keifli.bmp	 Mars.bmp	 46	 47	 1	 i	 2	 0	 552.99	 0.09	 0.07	 
BMI_bs_112	 4	 2	 01	 1	 11	 4.501651e+01	 DoritosSourSpicy.bmp	 KashitSour.bmp	 51	 50	 1	 u	 2	 1	 615.24	 0.04	 0.04	 
BMI_bs_112	 4	 2	 01	 1	 12	 5.102324e+01	 GumiWine2.bmp	 Tortit.bmp	 41	 39	 1	 i	 2	 0	 560.06	 0.11	 0.12	 
BMI_bs_112	 4	 2	 01	 1	 13	 5.502772e+01	 Twix.bmp	 Tapuchips.bmp	 19	 21	 1	 u	 1	 1	 594.48	 0.31	 0.27	 
BMI_bs_112	 4	 2	 01	 1	 14	 5.801441e+01	 Mekupelet.bmp	 CrunchBisquitWhite2.bmp	 16	 7	 1	 i	 1	 0	 622.91	 0.37	 0.55	 
BMI_bs_112	 4	 2	 01	 1	 15	 6.302001e+01	 Mentos.bmp	 ChocolateParaCookies5.bmp	 37	 5	 0	 i	 4	 1	 533.78	 0.13	 0.59	 
BMI_bs_112	 4	 2	 01	 1	 16	 7.002785e+01	 KinderBuenoWhite2.bmp	 ClickBisquit2.bmp	 12	 17	 0	 u	 1	 0	 568.74	 0.41	 0.36	 
BMI_bs_112	 4	 2	 01	 1	 17	 7.303122e+01	 Bamba.bmp	 GumiWine2.bmp	 44	 41	 0	 u	 2	 0	 738.06	 0.11	 0.11	 
BMI_bs_112	 4	 2	 01	 1	 18	 8.202463e+01	 Hit.bmp	 Mentos.bmp	 24	 37	 1	 u	 4	 1	 643.78	 0.24	 0.13	 
BMI_bs_112	 4	 2	 01	 1	 19	 8.502800e+01	 ChocolateParaMarir2.bmp	 KinderJoy.bmp	 10	 8	 0	 i	 1	 1	 655.54	 0.46	 0.49	 
BMI_bs_112	 4	 2	 01	 1	 20	 9.101803e+01	 DoritosSourSpicy.bmp	 Tortit.bmp	 51	 39	 1	 u	 2	 1	 898.33	 0.04	 0.12	 
BMI_bs_112	 4	 2	 01	 1	 21	 9.602364e+01	 Mekupelet.bmp	 ChocolateParaSucariotKoftzot2.bmp	 16	 20	 1	 i	 1	 0	 685.41	 0.37	 0.28	 
BMI_bs_112	 4	 2	 01	 1	 22	 9.902701e+01	 BisliOnion.bmp	 Shugi.bmp	 49	 53	 1	 i	 2	 0	 730.95	 0.05	 0.03	 
BMI_bs_112	 4	 2	 01	 1	 23	 1.060182e+02	 BisliOnion.bmp	 Mars.bmp	 49	 47	 1	 i	 2	 0	 613.88	 0.05	 0.07	 
BMI_bs_112	 4	 2	 01	 1	 24	 1.110238e+02	 Taami.bmp	 Mars.bmp	 48	 47	 1	 i	 2	 0	 524.71	 0.07	 0.07	 
BMI_bs_112	 4	 2	 01	 1	 25	 1.170138e+02	 Tortit.bmp	 TapuchipsCrunch.bmp	 39	 40	 0	 u	 2	 0	 700.00	 0.12	 0.11	 
BMI_bs_112	 4	 2	 01	 1	 26	 1.210183e+02	 Keifli.bmp	 Bounty.bmp	 46	 52	 1	 i	 2	 0	 925.68	 0.09	 0.03	 
BMI_bs_112	 4	 2	 01	 1	 27	 1.250228e+02	 Snickers.bmp	 Kitkat.bmp	 15	 9	 0	 i	 1	 1	 723.86	 0.39	 0.48	 
BMI_bs_112	 4	 2	 01	 1	 28	 1.280261e+02	 KinderJoy.bmp	 KinderBuenoWhite2.bmp	 8	 12	 1	 i	 1	 0	 600.64	 0.49	 0.41	 
BMI_bs_112	 4	 2	 01	 1	 29	 1.310295e+02	 Shugi.bmp	 GumiWine2.bmp	 53	 41	 0	 u	 2	 0	 702.41	 0.03	 0.11	 
BMI_bs_112	 4	 2	 01	 1	 30	 1.360184e+02	 ChocolateParaSucariotKoftzot2.bmp	 HappyHippo.bmp	 20	 14	 0	 u	 1	 0	 911.27	 0.28	 0.41	 
BMI_bs_112	 4	 2	 01	 1	 31	 1.400229e+02	 CrunchBisquitWhite2.bmp	 ClickBisquit2.bmp	 7	 17	 0	 i	 1	 1	 821.96	 0.55	 0.36	 
