subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue
BMI_bs_112	 2	 8	 TapuchipsCrunch.bmp	 1.329664e+03	 22	 7.612995e+02	 220	 5.167307e+02	 98	 1.330699e+03	 583.33	 533.33	 40.00	 25	 0.11	 
BMI_bs_112	 2	 8	 Cheetos.bmp	 1.332667e+03	 12	 999000	 120	 999000	 999	 1.333685e+03	 583.33	 533.33	 29.00	 52	 0.19	 
BMI_bs_112	 2	 8	 Loacker.bmp	 1.336655e+03	 12	 999000	 120	 999000	 999	 1.337673e+03	 583.33	 533.33	 4.00	 23	 0.59	 
BMI_bs_112	 2	 8	 Mekupelet.bmp	 1.338657e+03	 11	 8.246099e+02	 110	 5.834040e+02	 98	 1.339694e+03	 600.00	 533.33	 16.00	 28	 0.37	 
BMI_bs_112	 2	 8	 PesekZman.bmp	 1.340660e+03	 12	 999000	 120	 999000	 999	 1.341677e+03	 600.00	 533.33	 2.00	 59	 0.63	 
BMI_bs_112	 2	 8	 ClickXLwhite4.bmp	 1.344664e+03	 12	 999000	 120	 999000	 999	 1.345682e+03	 600.00	 533.33	 3.00	 58	 0.61	 
BMI_bs_112	 2	 8	 HappyHippo.bmp	 1.346666e+03	 11	 8.484158e+02	 110	 6.000516e+02	 98	 1.347703e+03	 616.67	 533.33	 14.00	 40	 0.41	 
BMI_bs_112	 2	 8	 BisliGrill.bmp	 1.351655e+03	 12	 999000	 120	 999000	 999	 1.352673e+03	 616.67	 533.33	 26.00	 60	 0.20	 
BMI_bs_112	 2	 8	 SkittlesSour4.bmp	 1.353657e+03	 12	 999000	 120	 999000	 999	 1.354675e+03	 616.67	 533.33	 13.00	 32	 0.41	 
BMI_bs_112	 2	 8	 Bamba.bmp	 1.356661e+03	 24	 999000	 240	 999000	 999	 1.357679e+03	 616.67	 533.33	 44.00	 41	 0.11	 
BMI_bs_112	 2	 8	 Popco.bmp	 1.359664e+03	 22	 9.236617e+02	 220	 5.333888e+02	 98	 1.360699e+03	 616.67	 550.00	 54.00	 11	 0.03	 
