Trial	StimName	Liking	RT
1	108.jpg	2.09333333333	3469
2	121.jpg	0.866666666667	3960
3	156.jpg	0.48	2664
4	110.jpg	1.40666666667	1876
5	128.jpg	0.2	2477
6	140.jpg	2.51333333333	3346
7	117.jpg	2.22666666667	3443
8	139.jpg	0.193333333333	2994
9	151.jpg	0.18	2065
10	105.jpg	1.81333333333	2465
11	126.jpg	2.02	2406
12	111.jpg	0.86	7086
13	146.jpg	0.166666666667	2126
14	129.jpg	1.21333333333	4193
15	159.jpg	0.273333333333	1545
16	142.jpg	0.306666666667	1945
17	122.jpg	2.65333333333	2783
18	131.jpg	0.613333333333	2275
19	112.jpg	1.74666666667	2627
20	144.jpg	0.28	2008
21	134.jpg	0.46	2978
22	145.jpg	0.826666666667	1661
23	118.jpg	2.07333333333	1847
24	107.jpg	0.913333333333	1588
25	116.jpg	0.373333333333	2396
26	160.jpg	2.14	2531
27	155.jpg	0.853333333333	2176
28	130.jpg	2.03333333333	3516
29	115.jpg	0.426666666667	3341
30	102.jpg	0.253333333333	2060
31	152.jpg	0.506666666667	2414
32	136.jpg	1.11333333333	1644
33	132.jpg	2.04	2926
34	150.jpg	1.46	1695
35	114.jpg	0.993333333333	3498
36	127.jpg	0.553333333333	1872
37	157.jpg	1.86666666667	2781
38	153.jpg	2.04	2644
39	133.jpg	2.34666666667	1998
40	120.jpg	2.57333333333	2490
41	135.jpg	2.27333333333	2130
42	125.jpg	0.793333333333	2652
43	141.jpg	0.486666666667	1578
44	124.jpg	2.12666666667	2212
45	149.jpg	2.21333333333	2193
46	104.jpg	1.2	2579
47	154.jpg	0.6	2162
48	123.jpg	0.633333333333	2242
49	119.jpg	1.18	2131
50	158.jpg	0.413333333333	2943
51	103.jpg	2.55333333333	1846
52	101.jpg	0.273333333333	2000
53	147.jpg	0.253333333333	2088
54	138.jpg	1.27333333333	1997
55	143.jpg	0.406666666667	3044
56	109.jpg	1.98666666667	3098
57	148.jpg	1.56	2024
58	106.jpg	1.78666666667	3966
59	137.jpg	0.653333333333	4247
60	113.jpg	1.12	3014
