subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	
BMI_bs_122	 4	 2	 02	 1	 1	 2.018326e+00	 BagaleShtuhim.bmp	 Popco.bmp	 51	 53	 1	 i	 2	 0	 1274.26	 0.01	 0.01	 
BMI_bs_122	 4	 2	 02	 1	 2	 5.021683e+00	 BagaleShtuhim.bmp	 BambaNugat.bmp	 51	 47	 1	 i	 2	 0	 959.81	 0.01	 0.01	 
BMI_bs_122	 4	 2	 02	 1	 3	 1.201286e+01	 ChocolateParaMarir2.bmp	 KinderJoy.bmp	 20	 19	 0	 u	 1	 0	 606.44	 1.40	 1.40	 
BMI_bs_122	 4	 2	 02	 1	 4	 1.601734e+01	 Bounty.bmp	 HispusimShatiah.bmp	 52	 40	 0	 i	 2	 1	 730.85	 0.01	 0.47	 
BMI_bs_122	 4	 2	 02	 1	 5	 2.100627e+01	 KinderBuenoWhite2.bmp	 Keifli.bmp	 15	 14	 0	 i	 1	 1	 590.94	 1.50	 1.54	 
BMI_bs_122	 4	 2	 02	 1	 6	 2.501074e+01	 BambaNugat.bmp	 HispusimShatiah.bmp	 47	 40	 0	 i	 2	 1	 996.67	 0.01	 0.47	 
BMI_bs_122	 4	 2	 02	 1	 7	 2.901524e+01	 KinderJoy.bmp	 ClickXLwhite4.bmp	 19	 10	 1	 i	 1	 0	 716.15	 1.40	 1.88	 
BMI_bs_122	 4	 2	 02	 1	 8	 3.201859e+01	 ChocolateParaCookies5.bmp	 KinderJoy.bmp	 12	 19	 0	 u	 1	 0	 615.39	 1.80	 1.40	 
BMI_bs_122	 4	 2	 02	 1	 9	 3.502197e+01	 BisliOnion.bmp	 Twix.bmp	 22	 7	 1	 i	 1	 0	 514.60	 1.37	 2.01	 
BMI_bs_122	 4	 2	 02	 1	 10	 4.001088e+01	 Loacker.bmp	 Tapuchips.bmp	 42	 54	 0	 i	 2	 1	 1038.52	 0.39	 0.01	 
BMI_bs_122	 4	 2	 02	 1	 11	 4.401538e+01	 CrunchShokoVanil.bmp	 BagaleShtuhim.bmp	 39	 51	 0	 u	 2	 0	 1219.18	 0.49	 0.01	 
BMI_bs_122	 4	 2	 02	 1	 12	 4.902098e+01	 CrunchBisquitWhite2.bmp	 BisliPizza3.bmp	 5	 37	 1	 u	 4	 1	 612.51	 2.07	 0.77	 
