subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue
BMI_bs_122	 2	 12	 Mekupelet.bmp	 2.132870e+03	 24	 999000	 240	 999000	 999	 2.133887e+03	 783.33	 716.67	 36.00	 60	 0.82	 
BMI_bs_122	 2	 12	 Taami.bmp	 2.134872e+03	 12	 999000	 120	 999000	 999	 2.135890e+03	 783.33	 716.67	 24.00	 39	 1.36	 
BMI_bs_122	 2	 12	 Tortit.bmp	 2.138877e+03	 12	 999000	 120	 999000	 999	 2.139895e+03	 783.33	 716.67	 29.00	 57	 1.03	 
BMI_bs_122	 2	 12	 Halva2.bmp	 2.141863e+03	 24	 999000	 240	 999000	 999	 2.142881e+03	 783.33	 716.67	 58.00	 46	 0.01	 
BMI_bs_122	 2	 12	 CrunchBisquitBrown3.bmp	 2.143865e+03	 12	 999000	 120	 999000	 999	 2.144883e+03	 783.33	 716.67	 2.00	 27	 2.25	 
BMI_bs_122	 2	 12	 KashitSour.bmp	 2.146869e+03	 24	 999000	 240	 999000	 999	 2.147887e+03	 783.33	 716.67	 35.00	 26	 0.84	 
BMI_bs_122	 2	 12	 Tictac.bmp	 2.150873e+03	 24	 999000	 240	 999000	 999	 2.151893e+03	 783.33	 716.67	 45.00	 19	 0.02	 
BMI_bs_122	 2	 12	 ClickBlackWhite3.bmp	 2.154878e+03	 12	 999000	 120	 999000	 999	 2.155895e+03	 783.33	 716.67	 4.00	 56	 2.13	 
BMI_bs_122	 2	 12	 SkittlesSour4.bmp	 2.156863e+03	 22	 9.291174e+02	 220	 7.167372e+02	 98	 2.157898e+03	 783.33	 733.33	 41.00	 50	 0.47	 
BMI_bs_122	 2	 12	 KinderBuenoWhite2.bmp	 2.161869e+03	 12	 999000	 120	 999000	 999	 2.162887e+03	 783.33	 733.33	 15.00	 4	 1.50	 
BMI_bs_122	 2	 12	 CrunchBisquitWhite2.bmp	 2.163871e+03	 12	 999000	 120	 999000	 999	 2.164889e+03	 783.33	 733.33	 5.00	 3	 2.07	 
BMI_bs_122	 2	 12	 TapuchipsCrunch.bmp	 2.165873e+03	 24	 999000	 240	 999000	 999	 2.166892e+03	 783.33	 733.33	 33.00	 55	 0.87	 
BMI_bs_122	 2	 12	 Egozi.bmp	 2.171863e+03	 22	 9.375656e+02	 220	 7.333783e+02	 98	 2.172898e+03	 783.33	 750.00	 43.00	 6	 0.38	 
BMI_bs_122	 2	 12	 SkittlesFruits2.bmp	 2.173866e+03	 24	 999000	 240	 999000	 999	 2.174883e+03	 783.33	 750.00	 34.00	 13	 0.85	 
BMI_bs_122	 2	 12	 Mentos.bmp	 2.175868e+03	 24	 999000	 240	 999000	 999	 2.176886e+03	 783.33	 750.00	 44.00	 21	 0.22	 
