subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BMI_bs_40_102	 2	 15	 Snickers.bmp	 1.730530e+03	 11	 9.522132e+02	 110	 7.500647e+02	 98	 1.731567e+03	 766.67	 750.00	 17.00	 6	 5.51	 
BMI_bs_40_102	 2	 15	 Taami.bmp	 1.732532e+03	 12	 999000	 120	 999000	 999	 1.733550e+03	 766.67	 750.00	 10.00	 24	 6.58	 
BMI_bs_40_102	 2	 15	 Egozi.bmp	 1.736537e+03	 24	 999000	 240	 999000	 999	 1.737555e+03	 766.67	 750.00	 39.00	 37	 1.98	 
BMI_bs_40_102	 2	 15	 SkittlesSour4.bmp	 1.739524e+03	 24	 999000	 240	 999000	 999	 1.740541e+03	 766.67	 750.00	 57.00	 49	 0.18	 
BMI_bs_40_102	 2	 15	 WerthersOriginal.bmp	 1.741526e+03	 22	 9.480137e+02	 220	 7.500556e+02	 98	 1.742560e+03	 766.67	 766.67	 54.00	 2	 0.24	 
BMI_bs_40_102	 2	 15	 Smarties.bmp	 1.744529e+03	 24	 999000	 240	 999000	 999	 1.745547e+03	 766.67	 766.67	 44.00	 55	 1.24	 
BMI_bs_40_102	 2	 15	 ClickBlackWhite3.bmp	 1.748534e+03	 11	 9.718230e+02	 110	 7.667235e+02	 98	 1.749570e+03	 783.33	 766.67	 9.00	 4	 7.16	 
BMI_bs_40_102	 2	 15	 DoritosGrill.bmp	 1.752538e+03	 24	 999000	 240	 999000	 999	 1.753556e+03	 783.33	 766.67	 40.00	 26	 1.87	 
BMI_bs_40_102	 2	 15	 CrunchBisquitBrown3.bmp	 1.754524e+03	 12	 999000	 120	 999000	 999	 1.755542e+03	 783.33	 766.67	 7.00	 41	 7.44	 
BMI_bs_40_102	 2	 15	 Twist.bmp	 1.759529e+03	 24	 999000	 240	 999000	 999	 1.760547e+03	 783.33	 766.67	 55.00	 42	 0.22	 
BMI_bs_40_102	 2	 15	 DoritosSourSpicy.bmp	 1.761532e+03	 22	 1.024515e+03	 2200	 7.667224e+02	 98	 1.762568e+03	 783.33	 716.67	 49.00	 11	 0.69	 
