subjectID	order	itemIndABC	runtrial	isOld?	subjectAnswer	onsettime	Name	resp_choice	RT	bidInd	isBeep?
BMI_bs_40_104	 2	 50	 1	 0	 0	 1.294751e-02	 MnM2.bmp	 u	 1.821195e+00	 0	 0	 
BMI_bs_40_104	 2	 5	 2	 1	 1	 3.383372e+00	 Cheetos.bmp	 i	 9.933977e-01	 51	 1	 
BMI_bs_40_104	 2	 48	 3	 0	 0	 5.936207e+00	 MikeAndIke.bmp	 u	 7.581943e-01	 0	 0	 
BMI_bs_40_104	 2	 49	 4	 0	 0	 8.238784e+00	 MilkeyWay.bmp	 u	 6.719470e-01	 0	 0	 
BMI_bs_40_104	 2	 36	 5	 0	 0	 1.045786e+01	 ChocolateWhite.bmp	 u	 1.231776e+00	 0	 0	 
BMI_bs_40_104	 2	 18	 6	 1	 1	 1.324442e+01	 KinderBuenoWhite2.bmp	 i	 1.201608e+00	 9	 1	 
BMI_bs_40_104	 2	 3	 7	 1	 1	 1.599743e+01	 BambaSweet.bmp	 i	 7.212085e-01	 55	 0	 
BMI_bs_40_104	 2	 15	 8	 1	 1	 1.826669e+01	 Keifli.bmp	 i	 7.920161e-01	 48	 1	 
BMI_bs_40_104	 2	 47	 9	 0	 0	 2.060266e+01	 Lotus.bmp	 u	 8.411281e-01	 0	 0	 
BMI_bs_40_104	 2	 17	 10	 1	 1	 2.298867e+01	 KinderBuenoBrown3.bmp	 i	 8.965376e-01	 14	 1	 
BMI_bs_40_104	 2	 29	 11	 0	 0	 2.544149e+01	 Abadi2.bmp	 u	 7.500215e-01	 0	 0	 
BMI_bs_40_104	 2	 34	 12	 0	 0	 2.774393e+01	 ChocolateChipsCookies.bmp	 u	 9.789637e-01	 0	 0	 
BMI_bs_40_104	 2	 1	 13	 1	 1	 3.028010e+01	 Bamba.bmp	 i	 7.154736e-01	 46	 1	 
BMI_bs_40_104	 2	 4	 14	 1	 1	 3.254930e+01	 BisliGrill.bmp	 i	 6.963965e-01	 56	 0	 
BMI_bs_40_104	 2	 35	 15	 0	 0	 3.480182e+01	 ChocolateParaNuts2.bmp	 u	 9.188858e-01	 0	 0	 
BMI_bs_40_104	 2	 24	 16	 1	 1	 3.727128e+01	 Taami.bmp	 i	 8.570843e-01	 12	 0	 
BMI_bs_40_104	 2	 53	 17	 0	 0	 3.967399e+01	 Pringles.bmp	 u	 6.031584e-01	 0	 0	 
BMI_bs_40_104	 2	 51	 18	 0	 0	 4.182632e+01	 Oreo.bmp	 u	 6.447489e-01	 0	 0	 
BMI_bs_40_104	 2	 26	 19	 1	 1	 4.402877e+01	 Tortit.bmp	 i	 8.611372e-01	 50	 0	 
BMI_bs_40_104	 2	 9	 20	 1	 1	 4.644820e+01	 CrunchBisquitBrown3.bmp	 i	 7.030079e-01	 7	 0	 
BMI_bs_40_104	 2	 52	 21	 0	 0	 4.870071e+01	 PitaCrunch.bmp	 u	 6.443655e-01	 0	 0	 
BMI_bs_40_104	 2	 20	 22	 1	 1	 5.090322e+01	 Mentos.bmp	 i	 8.157071e-01	 53	 0	 
BMI_bs_40_104	 2	 21	 23	 1	 1	 5.327249e+01	 PesekZman.bmp	 i	 7.753464e-01	 5	 0	 
BMI_bs_40_104	 2	 39	 24	 0	 0	 5.559175e+01	 Corny.bmp	 u	 6.724145e-01	 0	 0	 
BMI_bs_40_104	 2	 45	 25	 0	 0	 5.781093e+01	 KifkefMaklotChocolate.bmp	 u	 8.383023e-01	 0	 0	 
BMI_bs_40_104	 2	 32	 26	 0	 0	 6.019692e+01	 BisliFalafel.bmp	 u	 1.141207e+00	 0	 0	 
BMI_bs_40_104	 2	 43	 27	 0	 1	 6.288327e+01	 Hispusim.bmp	 i	 1.042489e+00	 0	 0	 
BMI_bs_40_104	 2	 41	 28	 0	 0	 6.546944e+01	 DoritosMenupahBbq.bmp	 u	 1.032687e+00	 0	 0	 
BMI_bs_40_104	 2	 8	 29	 1	 1	 6.805574e+01	 ClickBlackWhite3.bmp	 i	 6.290216e-01	 10	 0	 
BMI_bs_40_104	 2	 6	 30	 1	 1	 7.024141e+01	 ChocolateParaMarir2.bmp	 i	 9.184394e-01	 47	 0	 
BMI_bs_40_104	 2	 31	 31	 0	 0	 7.271092e+01	 BisliBbq.bmp	 u	 1.520322e+00	 0	 0	 
BMI_bs_40_104	 2	 19	 32	 1	 1	 7.578095e+01	 Loacker.bmp	 i	 6.554502e-01	 11	 1	 
BMI_bs_40_104	 2	 30	 33	 0	 0	 7.798351e+01	 Argaliyot.bmp	 u	 7.254136e-01	 0	 0	 
BMI_bs_40_104	 2	 55	 34	 0	 0	 8.025265e+01	 Toblerone.bmp	 u	 9.426349e-01	 0	 0	 
BMI_bs_40_104	 2	 13	 35	 1	 1	 8.273883e+01	 GumiSnakes3.bmp	 i	 1.044093e+00	 44	 0	 
BMI_bs_40_104	 2	 40	 36	 0	 1	 8.532504e+01	 Crunch4.bmp	 i	 9.329917e-01	 0	 0	 
BMI_bs_40_104	 2	 10	 37	 1	 1	 8.781118e+01	 DoritosNatural.bmp	 i	 1.585748e+00	 43	 1	 
BMI_bs_40_104	 2	 38	 38	 0	 0	 9.094793e+01	 CookiesSmile.bmp	 u	 7.666214e-01	 0	 0	 
BMI_bs_40_104	 2	 42	 39	 0	 0	 9.326731e+01	 DoritusMexicanNacho.bmp	 u	 7.198082e-01	 0	 0	 
BMI_bs_40_104	 2	 11	 40	 1	 1	 9.553649e+01	 DoritosSourSpicy.bmp	 i	 6.332580e-01	 15	 0	 
BMI_bs_40_104	 2	 22	 41	 1	 1	 9.772225e+01	 SkittlesFruits2.bmp	 i	 7.200597e-01	 49	 1	 
BMI_bs_40_104	 2	 25	 42	 1	 1	 9.999147e+01	 TapuchipsCrunch.bmp	 i	 5.659350e-01	 8	 1	 
BMI_bs_40_104	 2	 12	 43	 1	 1	 1.021104e+02	 Dubonim.bmp	 i	 6.408612e-01	 54	 1	 
BMI_bs_40_104	 2	 7	 44	 1	 1	 1.042963e+02	 ClickBisquit2.bmp	 i	 5.701278e-01	 13	 0	 
BMI_bs_40_104	 2	 16	 45	 1	 1	 1.064152e+02	 KifkefMaklot2.bmp	 i	 4.875367e-01	 6	 0	 
BMI_bs_40_104	 2	 44	 46	 0	 1	 1.084509e+02	 Kifkef.bmp	 i	 1.309407e+00	 0	 0	 
BMI_bs_40_104	 2	 54	 47	 0	 0	 1.113041e+02	 TapuchipsCrunch2.bmp	 u	 2.258908e+00	 0	 0	 
BMI_bs_40_104	 2	 2	 48	 1	 1	 1.151083e+02	 BambaNugat.bmp	 i	 5.922905e-01	 16	 1	 
BMI_bs_40_104	 2	 23	 49	 1	 1	 1.172440e+02	 Snickers.bmp	 i	 5.604379e-01	 17	 1	 
BMI_bs_40_104	 2	 56	 50	 0	 0	 1.193632e+02	 bagaleShminiot.bmp	 u	 1.816462e+00	 0	 0	 
BMI_bs_40_104	 2	 28	 51	 1	 0	 1.227336e+02	 WerthersOriginal.bmp	 u	 5.836447e-01	 45	 0	 
BMI_bs_40_104	 2	 27	 52	 1	 1	 1.248692e+02	 Twix.bmp	 i	 1.328104e+00	 18	 0	 
BMI_bs_40_104	 2	 33	 53	 0	 1	 1.277558e+02	 CheetosSpicey.bmp	 i	 1.220361e+00	 0	 0	 
BMI_bs_40_104	 2	 37	 54	 0	 0	 1.305256e+02	 ClickCornflakes.bmp	 u	 7.570985e-01	 0	 0	 
BMI_bs_40_104	 2	 14	 55	 1	 1	 1.328279e+02	 GumiWine2.bmp	 i	 6.935515e-01	 52	 0	 
BMI_bs_40_104	 2	 46	 56	 0	 0	 1.350806e+02	 KinderFingers.bmp	 u	 6.909151e-01	 0	 0	 
