subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BMI_bs_40_108	 2	 12	 ClickBisquit2.bmp	 1.660259e+03	 12	 999000	 120	 999000	 999	 1.661277e+03	 716.67	 716.67	 6.00	 29	 5.24	 
BMI_bs_40_108	 2	 12	 Tapuchips.bmp	 1.662245e+03	 24	 999000	 240	 999000	 999	 1.663263e+03	 716.67	 716.67	 58.00	 10	 0.18	 
BMI_bs_40_108	 2	 12	 Bamba.bmp	 1.666249e+03	 24	 999000	 240	 999000	 999	 1.667267e+03	 716.67	 716.67	 50.00	 50	 1.40	 
BMI_bs_40_108	 2	 12	 BisliGrill.bmp	 1.669253e+03	 24	 999000	 240	 999000	 999	 1.670271e+03	 716.67	 716.67	 44.00	 52	 2.24	 
BMI_bs_40_108	 2	 12	 Twix.bmp	 1.671255e+03	 12	 999000	 120	 999000	 999	 1.672273e+03	 716.67	 716.67	 10.00	 25	 4.82	 
BMI_bs_40_108	 2	 12	 DoritosGrill.bmp	 1.674258e+03	 22	 9.050053e+02	 220	 7.167324e+02	 98	 1.675293e+03	 716.67	 733.33	 51.00	 36	 0.71	 
BMI_bs_40_108	 2	 12	 BabyDoll.bmp	 1.678246e+03	 12	 999000	 120	 999000	 999	 1.679264e+03	 716.67	 733.33	 20.00	 28	 4.00	 
BMI_bs_40_108	 2	 12	 SkittlesFruits2.bmp	 1.682251e+03	 11	 9.231938e+02	 110	 7.167537e+02	 98	 1.683302e+03	 733.33	 733.33	 9.00	 33	 4.84	 
BMI_bs_40_108	 2	 12	 BambaSweet.bmp	 1.684253e+03	 24	 999000	 240	 999000	 999	 1.685271e+03	 733.33	 733.33	 56.00	 51	 0.27	 
BMI_bs_40_108	 2	 12	 Bounty.bmp	 1.689259e+03	 24	 999000	 240	 999000	 999	 1.690277e+03	 733.33	 733.33	 39.00	 58	 2.73	 
BMI_bs_40_108	 2	 12	 KinderBuenoWhite2.bmp	 1.691244e+03	 12	 999000	 120	 999000	 999	 1.692262e+03	 733.33	 733.33	 7.00	 31	 5.00	 
BMI_bs_40_108	 2	 12	 Twist.bmp	 1.693246e+03	 12	 999000	 120	 999000	 999	 1.694264e+03	 733.33	 733.33	 19.00	 41	 4.02	 
BMI_bs_40_108	 2	 12	 ChocolateParaMarir2.bmp	 1.699253e+03	 11	 1.010441e+03	 1100	 7.333905e+02	 98	 1.700290e+03	 683.33	 733.33	 14.00	 32	 4.33	 
BMI_bs_40_108	 2	 12	 Snickers.bmp	 1.701255e+03	 11	 9.206458e+02	 110	 6.833825e+02	 98	 1.702291e+03	 700.00	 733.33	 16.00	 43	 4.29	 
BMI_bs_40_108	 2	 12	 DoritosNatural.bmp	 1.703258e+03	 24	 999000	 240	 999000	 999	 1.704275e+03	 700.00	 733.33	 52.00	 3	 0.69	 
BMI_bs_40_108	 2	 12	 Cheetos.bmp	 1.705260e+03	 11	 7.525851e+02	 110	 7.000509e+02	 98	 1.706295e+03	 716.67	 733.33	 8.00	 40	 4.93	 
BMI_bs_40_108	 2	 12	 ChocolateParaMilk3.bmp	 1.709248e+03	 12	 999000	 120	 999000	 999	 1.710265e+03	 716.67	 733.33	 12.00	 5	 4.67	 
BMI_bs_40_108	 2	 12	 KinderBuenoBrown3.bmp	 1.713252e+03	 24	 999000	 240	 999000	 999	 1.714270e+03	 716.67	 733.33	 41.00	 60	 2.60	 
BMI_bs_40_108	 2	 12	 ClickXLwhite4.bmp	 1.716256e+03	 12	 999000	 120	 999000	 999	 1.717273e+03	 716.67	 733.33	 5.00	 6	 5.47	 
BMI_bs_40_108	 2	 12	 BagaleShtuhim.bmp	 1.720260e+03	 24	 999000	 240	 999000	 999	 1.721278e+03	 716.67	 733.33	 47.00	 37	 1.73	 
BMI_bs_40_108	 2	 12	 CrunchBisquitWhite2.bmp	 1.723247e+03	 24	 999000	 240	 999000	 999	 1.724264e+03	 716.67	 733.33	 57.00	 57	 0.20	 
BMI_bs_40_108	 2	 12	 GumiWine2.bmp	 1.725249e+03	 22	 9.019194e+02	 220	 7.333788e+02	 98	 1.726284e+03	 716.67	 750.00	 49.00	 56	 1.53	 
BMI_bs_40_108	 2	 12	 CrunchBisquitBrown3.bmp	 1.729253e+03	 24	 999000	 240	 999000	 999	 1.730271e+03	 716.67	 750.00	 40.00	 55	 2.71	 
BMI_bs_40_108	 2	 12	 Taami.bmp	 1.731256e+03	 12	 999000	 120	 999000	 999	 1.732273e+03	 716.67	 750.00	 3.00	 49	 5.82	 
BMI_bs_40_108	 2	 12	 Egozi.bmp	 1.733258e+03	 12	 999000	 120	 999000	 999	 1.734275e+03	 716.67	 750.00	 4.00	 48	 5.78	 
BMI_bs_40_108	 2	 12	 KinderJoy.bmp	 1.737246e+03	 24	 999000	 240	 999000	 999	 1.738264e+03	 716.67	 750.00	 53.00	 42	 0.67	 
BMI_bs_40_108	 2	 12	 ClickBlackWhite3.bmp	 1.739248e+03	 12	 999000	 120	 999000	 999	 1.740266e+03	 716.67	 750.00	 18.00	 27	 4.13	 
BMI_bs_40_108	 2	 12	 Keifli.bmp	 1.743252e+03	 22	 9.555577e+02	 220	 7.500562e+02	 98	 1.744287e+03	 716.67	 766.67	 43.00	 26	 2.51	 
BMI_bs_40_108	 2	 12	 ClickBalls5.bmp	 1.747257e+03	 12	 999000	 120	 999000	 999	 1.748275e+03	 716.67	 766.67	 15.00	 34	 4.31	 
BMI_bs_40_108	 2	 12	 TapuchipsCrunch.bmp	 1.750243e+03	 24	 999000	 240	 999000	 999	 1.751261e+03	 716.67	 766.67	 55.00	 16	 0.29	 
BMI_bs_40_108	 2	 12	 Mars.bmp	 1.756250e+03	 12	 999000	 120	 999000	 999	 1.757268e+03	 716.67	 766.67	 21.00	 22	 3.98	 
BMI_bs_40_108	 2	 12	 Mentos.bmp	 1.758252e+03	 11	 9.073887e+02	 110	 7.167219e+02	 98	 1.759289e+03	 733.33	 766.67	 17.00	 1	 4.13	 
BMI_bs_40_108	 2	 12	 WerthersOriginal.bmp	 1.762257e+03	 11	 9.193765e+02	 110	 7.333844e+02	 98	 1.763291e+03	 750.00	 766.67	 11.00	 39	 4.78	 
BMI_bs_40_108	 2	 12	 ChocolateParaCookies5.bmp	 1.764259e+03	 22	 9.534120e+02	 220	 7.667128e+02	 98	 1.765295e+03	 750.00	 783.33	 54.00	 11	 0.53	 
BMI_bs_40_108	 2	 12	 GumiSnakes3.bmp	 1.766245e+03	 24	 999000	 240	 999000	 999	 1.767263e+03	 750.00	 783.33	 42.00	 21	 2.53	 
BMI_bs_40_108	 2	 12	 Tictac.bmp	 1.768247e+03	 24	 999000	 240	 999000	 999	 1.769265e+03	 750.00	 783.33	 45.00	 13	 2.00	 
BMI_bs_40_108	 2	 12	 ChocolateParaSucariotKoftzot2.bmp	 1.773253e+03	 22	 1.106721e+03	 2200	 7.833920e+02	 98	 1.774289e+03	 750.00	 733.33	 48.00	 44	 1.69	 
BMI_bs_40_108	 2	 12	 DoritosSourSpicy.bmp	 1.775255e+03	 12	 999000	 120	 999000	 999	 1.776273e+03	 750.00	 733.33	 13.00	 2	 4.56	 
BMI_bs_40_108	 2	 12	 Smarties.bmp	 1.777257e+03	 12	 999000	 120	 999000	 999	 1.778275e+03	 750.00	 733.33	 22.00	 15	 3.93	 
BMI_bs_40_108	 2	 12	 KifkefMaklot2.bmp	 1.780260e+03	 22	 7.816613e+02	 220	 7.333839e+02	 98	 1.781295e+03	 750.00	 750.00	 46.00	 12	 1.82	 
