subjectID	order	itemIndABC	runtrial	isOld?	subjectAnswer	onsettime	Name	resp_choice	RT	bidInd	isBeep?
BMI_bs_40_111	 1	 47	 1	 0	 0	 1.457603e-02	 Lotus.bmp	 i	 1.167362e+00	 0	 0	 
BMI_bs_40_111	 1	 45	 2	 0	 0	 2.734253e+00	 KifkefMaklotChocolate.bmp	 i	 1.136574e+00	 0	 0	 
BMI_bs_40_111	 1	 43	 3	 0	 0	 5.420600e+00	 Hispusim.bmp	 i	 1.116641e+00	 0	 0	 
BMI_bs_40_111	 1	 4	 4	 1	 1	 8.090250e+00	 ChocolateParaMilk3.bmp	 u	 8.095573e-01	 49	 0	 
BMI_bs_40_111	 1	 33	 5	 0	 0	 1.045960e+01	 CheetosSpicey.bmp	 i	 1.151577e+00	 0	 0	 
BMI_bs_40_111	 1	 23	 6	 1	 1	 1.316268e+01	 SkittlesSour4.bmp	 u	 8.898817e-01	 52	 1	 
BMI_bs_40_111	 1	 38	 7	 0	 0	 1.559866e+01	 CookiesSmile.bmp	 i	 6.815000e-01	 0	 0	 
BMI_bs_40_111	 1	 52	 8	 0	 0	 1.783449e+01	 PitaCrunch.bmp	 i	 6.957525e-01	 0	 0	 
BMI_bs_40_111	 1	 31	 9	 0	 0	 2.008696e+01	 BisliBbq.bmp	 i	 6.596285e-01	 0	 0	 
BMI_bs_40_111	 1	 49	 10	 0	 0	 2.228951e+01	 MilkeyWay.bmp	 i	 7.859540e-01	 0	 0	 
BMI_bs_40_111	 1	 7	 11	 1	 1	 2.462540e+01	 ClickXLwhite4.bmp	 u	 9.026687e-01	 48	 0	 
BMI_bs_40_111	 1	 51	 12	 0	 0	 2.707812e+01	 Oreo.bmp	 i	 6.775929e-01	 0	 0	 
BMI_bs_40_111	 1	 48	 13	 0	 0	 2.929731e+01	 MikeAndIke.bmp	 i	 5.960073e-01	 0	 0	 
BMI_bs_40_111	 1	 46	 14	 0	 0	 3.144973e+01	 KinderFingers.bmp	 i	 7.161667e-01	 0	 0	 
BMI_bs_40_111	 1	 56	 15	 0	 0	 3.371893e+01	 bagaleShminiot.bmp	 i	 5.507896e-01	 0	 0	 
BMI_bs_40_111	 1	 19	 16	 1	 1	 3.582134e+01	 Mekupelet.bmp	 u	 8.335041e-01	 55	 0	 
BMI_bs_40_111	 1	 41	 17	 0	 0	 3.820725e+01	 DoritosMenupahBbq.bmp	 i	 8.214419e-01	 0	 0	 
BMI_bs_40_111	 1	 35	 18	 0	 0	 4.057657e+01	 ChocolateParaNuts2.bmp	 i	 6.347686e-01	 0	 0	 
