subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BMI_bs_40_114	 2	 10	 ClickXLwhite4.bmp	 1.141046e+03	 12	 999000	 120	 999000	 999	 1.142066e+03	 716.67	 650.00	 18.00	 22	 3.73	 
BMI_bs_40_114	 2	 10	 Twist.bmp	 1.146052e+03	 24	 999000	 240	 999000	 999	 1.147070e+03	 716.67	 650.00	 52.00	 27	 0.51	 
BMI_bs_40_114	 2	 10	 Apropo.bmp	 1.148037e+03	 24	 999000	 240	 999000	 999	 1.149058e+03	 716.67	 650.00	 44.00	 24	 0.69	 
BMI_bs_40_114	 2	 10	 KashitSour.bmp	 1.150040e+03	 24	 999000	 240	 999000	 999	 1.151058e+03	 716.67	 650.00	 53.00	 59	 0.33	 
BMI_bs_40_114	 2	 10	 Loacker.bmp	 1.156047e+03	 11	 9.288317e+02	 110	 7.167300e+02	 98	 1.157083e+03	 733.33	 650.00	 11.00	 50	 4.80	 
BMI_bs_40_114	 2	 10	 TapuchipsCrunch.bmp	 1.158049e+03	 24	 999000	 240	 999000	 999	 1.159070e+03	 733.33	 650.00	 57.00	 38	 0.07	 
BMI_bs_40_114	 2	 10	 Kitkat.bmp	 1.161052e+03	 12	 999000	 120	 999000	 999	 1.162070e+03	 733.33	 650.00	 20.00	 3	 3.18	 
BMI_bs_40_114	 2	 10	 Smarties.bmp	 1.163038e+03	 22	 1.003340e+03	 2200	 6.500604e+02	 98	 1.164073e+03	 733.33	 600.00	 54.00	 58	 0.31	 
BMI_bs_40_114	 2	 10	 CrunchShokoVanil.bmp	 1.167042e+03	 24	 999000	 240	 999000	 999	 1.168060e+03	 733.33	 600.00	 40.00	 39	 1.24	 
BMI_bs_40_114	 2	 10	 GumiSnakes3.bmp	 1.169044e+03	 12	 999000	 120	 999000	 999	 1.170063e+03	 733.33	 600.00	 7.00	 6	 4.87	 
BMI_bs_40_114	 2	 10	 Keifli.bmp	 1.174050e+03	 22	 6.225458e+02	 220	 6.000415e+02	 98	 1.175086e+03	 733.33	 616.67	 51.00	 11	 0.60	 
BMI_bs_40_114	 2	 10	 BisliPizza3.bmp	 1.181041e+03	 24	 999000	 240	 999000	 999	 1.182059e+03	 733.33	 616.67	 47.00	 23	 0.67	 
BMI_bs_40_114	 2	 10	 ChocolateParaMilk3.bmp	 1.183044e+03	 24	 999000	 240	 999000	 999	 1.184062e+03	 733.33	 616.67	 41.00	 21	 1.20	 
BMI_bs_40_114	 2	 10	 Egozi.bmp	 1.186047e+03	 24	 999000	 240	 999000	 999	 1.187065e+03	 733.33	 616.67	 50.00	 41	 0.62	 
BMI_bs_40_114	 2	 10	 Halva2.bmp	 1.189050e+03	 22	 8.667392e+02	 220	 6.167104e+02	 98	 1.190085e+03	 733.33	 633.33	 49.00	 28	 0.62	 
BMI_bs_40_114	 2	 10	 DoritosNatural.bmp	 1.193038e+03	 12	 999000	 120	 999000	 999	 1.194059e+03	 733.33	 633.33	 22.00	 40	 2.80	 
BMI_bs_40_114	 2	 10	 Bounty.bmp	 1.197043e+03	 24	 999000	 240	 999000	 999	 1.198060e+03	 733.33	 633.33	 58.00	 33	 0.04	 
BMI_bs_40_114	 2	 10	 ClickXLbrown4.bmp	 1.201047e+03	 11	 1.087999e+03	 1100	 7.333786e+02	 98	 1.202084e+03	 683.33	 633.33	 9.00	 52	 4.84	 
BMI_bs_40_114	 2	 10	 CrunchBisquitWhite2.bmp	 1.204050e+03	 12	 999000	 120	 999000	 999	 1.205069e+03	 683.33	 633.33	 4.00	 60	 5.42	 
BMI_bs_40_114	 2	 10	 Hit.bmp	 1.210040e+03	 22	 8.587948e+02	 220	 6.333796e+02	 98	 1.211077e+03	 683.33	 650.00	 46.00	 12	 0.67	 
BMI_bs_40_114	 2	 10	 Twix.bmp	 1.212043e+03	 12	 999000	 120	 999000	 999	 1.213061e+03	 683.33	 650.00	 3.00	 55	 5.49	 
BMI_bs_40_114	 2	 10	 Snickers.bmp	 1.215046e+03	 12	 999000	 120	 999000	 999	 1.216064e+03	 683.33	 650.00	 5.00	 25	 4.89	 
BMI_bs_40_114	 2	 10	 HappyHippo.bmp	 1.217048e+03	 11	 9.163127e+02	 110	 6.833882e+02	 98	 1.218085e+03	 700.00	 650.00	 17.00	 43	 3.76	 
BMI_bs_40_114	 2	 10	 Mekupelet.bmp	 1.219051e+03	 24	 999000	 240	 999000	 999	 1.220068e+03	 700.00	 650.00	 39.00	 42	 1.58	 
BMI_bs_40_114	 2	 10	 BambaSweet.bmp	 1.221053e+03	 24	 999000	 240	 999000	 999	 1.222071e+03	 700.00	 650.00	 55.00	 34	 0.11	 
BMI_bs_40_114	 2	 10	 Bamba.bmp	 1.224040e+03	 24	 999000	 240	 999000	 999	 1.225058e+03	 700.00	 650.00	 45.00	 5	 0.67	 
BMI_bs_40_114	 2	 10	 KinderBuenoBrown3.bmp	 1.228044e+03	 11	 9.460538e+02	 110	 7.000496e+02	 98	 1.229081e+03	 716.67	 650.00	 16.00	 19	 3.78	 
BMI_bs_40_114	 2	 10	 Dubonim.bmp	 1.230046e+03	 12	 999000	 120	 999000	 999	 1.231067e+03	 716.67	 650.00	 21.00	 4	 3.13	 
