subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BMI_bs_40_118	 2	 20	 Apropo.bmp	 2.432254e+03	 12	 999000	 120	 999000	 999	 2.433272e+03	 916.67	 783.33	 12.00	 34	 4.89	 
BMI_bs_40_118	 2	 20	 WerthersOriginal.bmp	 2.435258e+03	 24	 999000	 240	 999000	 999	 2.436275e+03	 916.67	 783.33	 42.00	 8	 2.67	 
BMI_bs_40_118	 2	 20	 Tictac.bmp	 2.439262e+03	 22	 7.577907e+02	 22	 7.834004e+02	 98	 2.440299e+03	 916.67	 800.00	 54.00	 16	 1.64	 
BMI_bs_40_118	 2	 20	 ChocolateParaMarir2.bmp	 2.441264e+03	 24	 999000	 240	 999000	 999	 2.442282e+03	 916.67	 800.00	 40.00	 58	 2.71	 
BMI_bs_40_118	 2	 20	 Taami.bmp	 2.443250e+03	 12	 999000	 120	 999000	 999	 2.444268e+03	 916.67	 800.00	 18.00	 28	 3.89	 
BMI_bs_40_118	 2	 20	 ClickXLwhite4.bmp	 2.447254e+03	 12	 999000	 120	 999000	 999	 2.448272e+03	 916.67	 800.00	 6.00	 29	 4.91	 
BMI_bs_40_118	 2	 20	 SkittlesFruits2.bmp	 2.449257e+03	 11	 8.013636e+02	 11	 9.167320e+02	 98	 2.450291e+03	 916.67	 800.00	 11.00	 15	 4.89	 
BMI_bs_40_118	 2	 20	 Popco.bmp	 2.454262e+03	 22	 9.335056e+02	 220	 8.000486e+02	 98	 2.455297e+03	 916.67	 816.67	 49.00	 4	 1.69	 
BMI_bs_40_118	 2	 20	 ClickXLbrown4.bmp	 2.456265e+03	 12	 999000	 120	 999000	 999	 2.457282e+03	 916.67	 816.67	 15.00	 7	 4.84	 
BMI_bs_40_118	 2	 20	 ChocolateParaCookies5.bmp	 2.459251e+03	 12	 999000	 120	 999000	 999	 2.460269e+03	 916.67	 816.67	 3.00	 59	 4.96	 
BMI_bs_40_118	 2	 20	 Dubonim.bmp	 2.462255e+03	 22	 1.079002e+03	 2200	 8.167180e+02	 98	 2.463291e+03	 916.67	 766.67	 51.00	 17	 1.67	 
BMI_bs_40_118	 2	 20	 Mentos.bmp	 2.466259e+03	 24	 999000	 240	 999000	 999	 2.467277e+03	 916.67	 766.67	 52.00	 48	 1.67	 
BMI_bs_40_118	 2	 20	 ClickBlackWhite3.bmp	 2.469262e+03	 12	 999000	 120	 999000	 999	 2.470280e+03	 916.67	 766.67	 10.00	 9	 4.89	 
BMI_bs_40_118	 2	 20	 HispusimShatiah.bmp	 2.471265e+03	 12	 999000	 120	 999000	 999	 2.472282e+03	 916.67	 766.67	 5.00	 60	 4.93	 
BMI_bs_40_118	 2	 20	 Tortit.bmp	 2.474251e+03	 24	 999000	 240	 999000	 999	 2.475269e+03	 916.67	 766.67	 55.00	 22	 1.64	 
BMI_bs_40_118	 2	 20	 BisliGrill.bmp	 2.478256e+03	 24	 999000	 240	 999000	 999	 2.479273e+03	 916.67	 766.67	 56.00	 6	 1.62	 
BMI_bs_40_118	 2	 20	 ChocolateParaMilk3.bmp	 2.481259e+03	 11	 6.628101e+02	 11	 9.167165e+02	 98	 2.482295e+03	 916.67	 766.67	 17.00	 26	 4.80	 
BMI_bs_40_118	 2	 20	 DoritosGrill.bmp	 2.483261e+03	 24	 999000	 240	 999000	 999	 2.484279e+03	 916.67	 766.67	 53.00	 53	 1.67	 
BMI_bs_40_118	 2	 20	 GumiWine2.bmp	 2.485264e+03	 24	 999000	 240	 999000	 999	 2.486281e+03	 916.67	 766.67	 44.00	 57	 1.73	 
BMI_bs_40_118	 2	 20	 BabyDoll.bmp	 2.490253e+03	 22	 7.446554e+02	 22	 7.667115e+02	 98	 2.491287e+03	 916.67	 783.33	 48.00	 46	 1.71	 
BMI_bs_40_118	 2	 20	 GumiSnakes3.bmp	 2.494257e+03	 24	 999000	 240	 999000	 999	 2.495275e+03	 916.67	 783.33	 47.00	 21	 1.71	 
BMI_bs_40_118	 2	 20	 Hit.bmp	 2.498261e+03	 11	 8.737598e+02	 11	 9.167128e+02	 98	 2.499297e+03	 916.67	 783.33	 8.00	 35	 4.91	 
BMI_bs_40_118	 2	 20	 BagaleShtuhim.bmp	 2.504252e+03	 24	 999000	 240	 999000	 999	 2.505269e+03	 916.67	 783.33	 45.00	 1	 1.71	 
BMI_bs_40_118	 2	 20	 DoritosNatural.bmp	 2.506254e+03	 12	 999000	 120	 999000	 999	 2.507272e+03	 916.67	 783.33	 19.00	 40	 3.89	 
BMI_bs_40_118	 2	 20	 Tapuchips.bmp	 2.508256e+03	 22	 1.029597e+03	 2200	 7.833841e+02	 98	 2.509294e+03	 916.67	 733.33	 46.00	 14	 1.71	 
BMI_bs_40_118	 2	 20	 KinderBuenoWhite2.bmp	 2.510258e+03	 12	 999000	 120	 999000	 999	 2.511276e+03	 916.67	 733.33	 22.00	 23	 3.84	 
BMI_bs_40_118	 2	 20	 KinderJoy.bmp	 2.512261e+03	 12	 999000	 120	 999000	 999	 2.513278e+03	 916.67	 733.33	 20.00	 3	 3.87	 
BMI_bs_40_118	 2	 20	 TapuchipsCrunch.bmp	 2.516265e+03	 12	 999000	 120	 999000	 999	 2.517283e+03	 916.67	 733.33	 4.00	 51	 4.93	 
BMI_bs_40_118	 2	 20	 KashitSour.bmp	 2.518250e+03	 11	 6.482665e+02	 11	 9.167206e+02	 98	 2.519287e+03	 916.67	 733.33	 9.00	 37	 4.91	 
