subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BMI_bs_40_127	 1	 6	 KinderJoy.bmp	 7.405934e+02	 22	 8.098882e+02	 220	 7.167322e+02	 98	 7.416290e+02	 716.67	 733.33	 44.00	 35	 3.78	 
BMI_bs_40_127	 1	 6	 BisliGrill.bmp	 7.435800e+02	 24	 999000	 240	 999000	 999	 7.445978e+02	 716.67	 733.33	 46.00	 39	 3.73	 
BMI_bs_40_127	 1	 6	 Mentos.bmp	 7.475845e+02	 22	 9.787454e+02	 220	 7.333860e+02	 98	 7.486195e+02	 716.67	 750.00	 52.00	 3	 3.18	 
BMI_bs_40_127	 1	 6	 ChocolateParaMilk3.bmp	 7.495868e+02	 11	 9.524605e+02	 110	 7.167229e+02	 98	 7.506220e+02	 733.33	 750.00	 12.00	 5	 7.47	 
BMI_bs_40_127	 1	 6	 Cheetos.bmp	 7.515890e+02	 12	 999000	 120	 999000	 999	 7.526068e+02	 733.33	 750.00	 17.00	 52	 6.96	 
BMI_bs_40_127	 1	 6	 Halva2.bmp	 7.555768e+02	 24	 999000	 240	 999000	 999	 7.565944e+02	 733.33	 750.00	 48.00	 25	 3.36	 
BMI_bs_40_127	 1	 6	 CrunchBisquitBrown3.bmp	 7.575790e+02	 12	 999000	 120	 999000	 999	 7.585968e+02	 733.33	 750.00	 14.00	 22	 7.20	 
BMI_bs_40_127	 1	 6	 ClickXLwhite4.bmp	 7.625847e+02	 12	 999000	 120	 999000	 999	 7.636025e+02	 733.33	 750.00	 9.00	 6	 7.98	 
BMI_bs_40_127	 1	 6	 BisliOnion.bmp	 7.645870e+02	 24	 999000	 240	 999000	 999	 7.656047e+02	 733.33	 750.00	 57.00	 26	 2.18	 
BMI_bs_40_127	 1	 6	 Kitkat.bmp	 7.675733e+02	 11	 9.580040e+02	 110	 7.333860e+02	 98	 7.686098e+02	 750.00	 750.00	 13.00	 4	 7.29	 
BMI_bs_40_127	 1	 6	 BisliPizza3.bmp	 7.705771e+02	 22	 1.002176e+03	 2200	 7.500577e+02	 98	 7.716133e+02	 750.00	 700.00	 53.00	 8	 2.78	 
BMI_bs_40_127	 1	 6	 Tictac.bmp	 7.745814e+02	 24	 999000	 240	 999000	 999	 7.755993e+02	 750.00	 700.00	 55.00	 34	 2.51	 
BMI_bs_40_127	 1	 6	 CrunchBisquitWhite2.bmp	 7.775849e+02	 12	 999000	 120	 999000	 999	 7.786026e+02	 750.00	 700.00	 6.00	 46	 8.36	 
BMI_bs_40_127	 1	 6	 Mekupelet.bmp	 7.795870e+02	 22	 9.922343e+02	 220	 7.000561e+02	 98	 7.806228e+02	 750.00	 716.67	 50.00	 45	 3.22	 
BMI_bs_40_127	 1	 6	 SkittlesSour4.bmp	 7.825734e+02	 24	 999000	 240	 999000	 999	 7.835916e+02	 750.00	 716.67	 39.00	 31	 4.31	 
BMI_bs_40_127	 1	 6	 HappyHippo.bmp	 7.865783e+02	 22	 8.969516e+02	 220	 7.167123e+02	 98	 7.876127e+02	 750.00	 733.33	 47.00	 50	 3.42	 
BMI_bs_40_127	 1	 6	 KinderBuenoWhite2.bmp	 7.895817e+02	 11	 1.013686e+03	 1100	 7.500491e+02	 98	 7.906161e+02	 700.00	 733.33	 18.00	 19	 6.73	 
BMI_bs_40_127	 1	 6	 BambaSweet.bmp	 7.915839e+02	 24	 999000	 240	 999000	 999	 7.926018e+02	 700.00	 733.33	 43.00	 42	 4.02	 
BMI_bs_40_127	 1	 6	 ClickBalls5.bmp	 7.935862e+02	 12	 999000	 120	 999000	 999	 7.946039e+02	 700.00	 733.33	 11.00	 18	 7.67	 
BMI_bs_40_127	 1	 6	 HispusimShatiah.bmp	 7.985751e+02	 24	 999000	 240	 999000	 999	 7.995928e+02	 700.00	 733.33	 56.00	 51	 2.29	 
BMI_bs_40_127	 1	 6	 Bamba.bmp	 8.025796e+02	 24	 999000	 240	 999000	 999	 8.035973e+02	 700.00	 733.33	 49.00	 10	 3.33	 
BMI_bs_40_127	 1	 6	 PesekZman.bmp	 8.065840e+02	 11	 9.232781e+02	 110	 7.000475e+02	 98	 8.076206e+02	 716.67	 733.33	 7.00	 7	 8.11	 
BMI_bs_40_127	 1	 6	 WerthersOriginal.bmp	 8.125742e+02	 24	 999000	 240	 999000	 999	 8.135921e+02	 716.67	 733.33	 40.00	 58	 4.29	 
BMI_bs_40_127	 1	 6	 ClickBlackWhite3.bmp	 8.145763e+02	 12	 999000	 120	 999000	 999	 8.155941e+02	 716.67	 733.33	 3.00	 1	 9.00	 
BMI_bs_40_127	 1	 6	 Dubonim.bmp	 8.165786e+02	 24	 999000	 240	 999000	 999	 8.175962e+02	 716.67	 733.33	 58.00	 40	 2.13	 
BMI_bs_40_127	 1	 6	 ClickBisquit2.bmp	 8.185808e+02	 12	 999000	 120	 999000	 999	 8.195988e+02	 716.67	 733.33	 19.00	 30	 6.56	 
