subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_163 9 MrGoodbar.bmp 1.572335e+03 22 1.193434e+03 2200 7.834304e+02 98 1573.34 7.833333e+02 7.333333e+02 48 38
BM2_163 9 Fritos.bmp 1.577333e+03 12 999000 120 999000 999 1578.35 7.833333e+02 7.333333e+02 30 18
BM2_163 9 Toberlorone.bmp 1.579339e+03 11 1.029174e+03 1100 7.834289e+02 98 1580.36 7.333333e+02 7.333333e+02 9 57
BM2_163 9 Streusel.bmp 1.581328e+03 24 999000 240 999000 999 1582.35 7.333333e+02 7.333333e+02 33 55
BM2_163 9 3Musketeers.bmp 1.587330e+03 11 9.700490e+02 110 7.334200e+02 98 1588.35 7.500000e+02 7.333333e+02 13 2
BM2_163 9 Jollyrancherred.bmp 1.589336e+03 24 999000 240 999000 999 1590.36 7.500000e+02 7.333333e+02 56 29
BM2_163 9 Cupcakes.bmp 1.592328e+03 24 999000 240 999000 999 1593.35 7.500000e+02 7.333333e+02 41 12
BM2_163 9 Goldfish.bmp 1.594335e+03 11 9.733941e+02 110 7.500936e+02 98 1595.35 7.666667e+02 7.333333e+02 10 23
BM2_163 9 Cheezits.bmp 1.598329e+03 12 999000 120 999000 999 1599.35 7.666667e+02 7.333333e+02 11 9
BM2_163 9 FrootLoops.bmp 1.600335e+03 12 999000 120 999000 999 1601.36 7.666667e+02 7.333333e+02 25 19
BM2_163 9 Lollipopred.bmp 1.605334e+03 22 9.214837e+02 220 7.334038e+02 98 1606.35 7.666667e+02 7.500000e+02 51 34
BM2_163 9 PayDay.bmp 1.612338e+03 22 9.261509e+02 220 7.500830e+02 98 1613.36 7.666667e+02 7.666667e+02 52 41
BM2_163 9 Nutterbutter.bmp 1.614328e+03 24 999000 240 999000 999 1615.35 7.666667e+02 7.666667e+02 55 39
BM2_163 9 PopTartsCinnamon.bmp 1.617337e+03 24 999000 240 999000 999 1618.36 7.666667e+02 7.666667e+02 32 43
BM2_163 9 MilkyWay.bmp 1.620329e+03 12 999000 120 999000 999 1621.35 7.666667e+02 7.666667e+02 6 37
BM2_163 9 Butterfinger.bmp 1.624341e+03 11 9.613975e+02 110 7.667393e+02 98 1625.36 7.833333e+02 7.666667e+02 17 6
BM2_163 9 HoHo.bmp 1.628336e+03 22 1.072483e+03 2200 7.667410e+02 98 1629.36 7.833333e+02 7.166667e+02 43 27
BM2_163 9 Almondjoy.bmp 1.632332e+03 24 999000 240 999000 999 1633.35 7.833333e+02 7.166667e+02 59 3
BM2_163 9 Laysclassic.bmp 1.635341e+03 24 999000 240 999000 999 1636.36 7.833333e+02 7.166667e+02 38 33
BM2_163 9 Milkduds.bmp 1.641342e+03 24 999000 240 999000 999 1642.36 7.833333e+02 7.166667e+02 53 36
BM2_163 9 FamousAmos_small.bmp 1.643331e+03 11 1.006610e+03 1100 7.834166e+02 98 1644.35 7.333333e+02 7.166667e+02 14 15
BM2_163 9 Skittles.bmp 1.646340e+03 12 999000 120 999000 999 1647.36 7.333333e+02 7.166667e+02 7 49
BM2_163 9 Hersheymilk_several.bmp 1.648330e+03 24 999000 240 999000 999 1649.35 7.333333e+02 7.166667e+02 37 26
BM2_163 9 Milano.bmp 1.650336e+03 12 999000 120 999000 999 1651.36 7.333333e+02 7.166667e+02 3 35
BM2_163 9 PringlesRed.bmp 1.652342e+03 11 9.065339e+02 110 7.334357e+02 98 1653.36 7.500000e+02 7.166667e+02 18 45
BM2_163 9 SourSkittles.bmp 1.655335e+03 24 999000 240 999000 999 1656.35 7.500000e+02 7.166667e+02 49 53
BM2_163 9 FigNewton_small.bmp 1.659329e+03 12 999000 120 999000 999 1660.35 7.500000e+02 7.166667e+02 5 16
BM2_163 9 Funyuns_small.bmp 1.661335e+03 24 999000 240 999000 999 1662.35 7.500000e+02 7.166667e+02 60 20
BM2_163 9 Oreos.bmp 1.663341e+03 12 999000 120 999000 999 1664.36 7.500000e+02 7.166667e+02 26 40
BM2_163 9 FlamingCheetos.bmp 1.665331e+03 24 999000 240 999000 999 1666.35 7.500000e+02 7.166667e+02 34 17
