subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_248 10 Laysclassic.bmp 1.738922e+03 12 999000 120 999000 999 1739.94 7.833333e+02 7.833333e+02 30 33
BM2_248 10 Fritos.bmp 1.741909e+03 11 9.913708e+02 110 7.834476e+02 98 1742.93 8.000000e+02 7.833333e+02 18 18
BM2_248 10 CheesyDoritos.bmp 1.745917e+03 12 999000 120 999000 999 1746.93 8.000000e+02 7.833333e+02 3 7
BM2_248 10 Snickers.bmp 1.747917e+03 12 999000 120 999000 999 1748.93 8.000000e+02 7.833333e+02 6 51
BM2_248 10 Lollipopred.bmp 1.749918e+03 24 6.147949e+02 240 999000 82 1750.94 8.000000e+02 7.833333e+02 57 34
BM2_248 10 Dots_one.bmp 1.753922e+03 24 999000 240 999000 999 1754.94 8.000000e+02 7.833333e+02 60 14
BM2_248 10 MrGoodbar.bmp 1.755908e+03 12 999000 120 999000 999 1756.93 8.000000e+02 7.833333e+02 4 38
BM2_248 10 Whatchamacallit.bmp 1.760918e+03 24 999000 240 999000 999 1761.93 8.000000e+02 7.833333e+02 45 60
BM2_248 10 100grand_small.bmp 1.762917e+03 24 999000 240 999000 999 1763.93 8.000000e+02 7.833333e+02 34 1
BM2_248 10 Toberlorone.bmp 1.765918e+03 24 999000 240 999000 999 1766.94 8.000000e+02 7.833333e+02 59 57
BM2_248 10 PopTartsStrawberry.bmp 1.768922e+03 24 999000 240 999000 999 1769.94 8.000000e+02 7.833333e+02 37 44
BM2_248 10 Milano.bmp 1.772909e+03 22 8.070403e+02 220 7.834657e+02 98 1773.93 8.000000e+02 8.000000e+02 52 35
BM2_248 10 KitKat_small.bmp 1.775917e+03 22 9.751966e+02 220 8.001294e+02 98 1776.93 8.000000e+02 8.166667e+02 39 31
BM2_248 10 3Musketeers.bmp 1.777918e+03 24 999000 240 999000 999 1778.93 8.000000e+02 8.166667e+02 55 2
BM2_248 10 SourSkittles.bmp 1.780918e+03 24 999000 240 999000 999 1781.94 8.000000e+02 8.166667e+02 33 53
BM2_248 10 Ghiradelli_milk.bmp 1.784922e+03 12 999000 120 999000 999 1785.94 8.000000e+02 8.166667e+02 20 21
BM2_248 10 Cheezits.bmp 1.787909e+03 12 999000 120 999000 999 1788.93 8.000000e+02 8.166667e+02 19 9
BM2_248 10 TeddyGrahamschocolate.bmp 1.789911e+03 11 8.055852e+02 110 8.001405e+02 98 1790.93 8.166667e+02 8.166667e+02 21 56
BM2_248 10 Funyuns_small.bmp 1.791917e+03 22 9.756357e+02 220 8.167912e+02 98 1792.93 8.166667e+02 8.333333e+02 44 20
BM2_248 10 Sourpatch.bmp 1.796918e+03 24 999000 240 999000 999 1797.94 8.166667e+02 8.333333e+02 31 54
BM2_248 10 FlamingCheetos.bmp 1.800923e+03 22 9.537542e+02 220 8.334408e+02 98 1801.94 8.166667e+02 8.500000e+02 48 17
BM2_248 10 Jollyranchergreen.bmp 1.804910e+03 24 999000 240 999000 999 1805.93 8.166667e+02 8.500000e+02 36 28
BM2_248 10 Ghiradelli_milk_Almonds.bmp 1.810918e+03 12 999000 120 999000 999 1811.93 8.166667e+02 8.500000e+02 16 22
BM2_248 10 Skittles.bmp 1.812919e+03 12 999000 120 999000 999 1813.94 8.166667e+02 8.500000e+02 11 49
BM2_248 10 Reeses.bmp 1.814921e+03 12 999000 120 999000 999 1815.94 8.166667e+02 8.500000e+02 5 46
BM2_248 10 Cupcakes.bmp 1.816907e+03 24 999000 240 999000 999 1817.92 8.166667e+02 8.500000e+02 49 12
BM2_248 10 Nutterbutter.bmp 1.818909e+03 12 999000 120 999000 999 1819.93 8.166667e+02 8.500000e+02 12 39
BM2_248 10 PringlesRed.bmp 1.822918e+03 11 7.826499e+02 11 8.167684e+02 98 1823.93 8.333333e+02 8.500000e+02 10 45
BM2_248 10 FigNewton_small.bmp 1.824917e+03 24 999000 240 999000 999 1825.93 8.333333e+02 8.500000e+02 42 16
BM2_248 10 Laffytaffyred_one.bmp 1.828919e+03 24 999000 240 999000 999 1829.94 8.333333e+02 8.500000e+02 56 32
BM2_248 10 AnimalCrackers.bmp 1.830922e+03 12 999000 120 999000 999 1831.94 8.333333e+02 8.500000e+02 24 4
BM2_248 10 Slimjim.bmp 1.832907e+03 11 9.052822e+02 110 8.334503e+02 98 1833.92 8.500000e+02 8.500000e+02 9 50
BM2_248 10 PopTartsCinnamon.bmp 1.834910e+03 24 999000 240 999000 999 1835.93 8.500000e+02 8.500000e+02 54 43
BM2_248 10 PeanutMMs.bmp 1.839918e+03 12 999000 120 999000 999 1840.93 8.500000e+02 8.500000e+02 2 42
BM2_248 10 Keeblerfudgestripes.bmp 1.841918e+03 12 999000 120 999000 999 1842.93 8.500000e+02 8.500000e+02 28 30
BM2_248 10 Streusel.bmp 1.843919e+03 24 999000 240 999000 999 1844.94 8.500000e+02 8.500000e+02 58 55
BM2_248 10 Almondjoy.bmp 1.846922e+03 24 999000 240 999000 999 1847.94 8.500000e+02 8.500000e+02 50 3
BM2_248 10 FrootLoops.bmp 1.853917e+03 12 999000 120 999000 999 1854.93 8.500000e+02 8.500000e+02 8 19
BM2_248 10 Twix.bmp 1.857917e+03 22 8.470020e+02 22 8.501010e+02 98 1858.94 8.500000e+02 8.666667e+02 43 59
BM2_248 10 Riprolls.bmp 1.864908e+03 24 999000 240 999000 999 1865.93 8.500000e+02 8.666667e+02 46 47
BM2_248 10 Butterfinger.bmp 1.866910e+03 22 1.022010e+03 2200 8.667931e+02 98 1867.93 8.500000e+02 8.166667e+02 47 6
BM2_248 10 ChipsAhoy_small.bmp 1.870918e+03 12 999000 120 999000 999 1871.93 8.500000e+02 8.166667e+02 1 10
BM2_248 10 Twinkie.bmp 1.874919e+03 24 999000 240 999000 999 1875.94 8.500000e+02 8.166667e+02 41 58
BM2_248 10 Jollyrancherred.bmp 1.876921e+03 22 9.232003e+02 220 8.167918e+02 98 1877.94 8.500000e+02 8.333333e+02 51 29
BM2_248 10 Cheetos.bmp 1.880909e+03 12 999000 120 999000 999 1881.93 8.500000e+02 8.333333e+02 25 8
