subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_333 7 PringlesRed.bmp 1.175079e+03 12 999000 120 999000 999 1176.08 7.500000e+02 7.500000e+02 27 45
BM2_333 7 Granolabar.bmp 1.178089e+03 12 999000 120 999000 999 1179.11 7.500000e+02 7.500000e+02 21 24
BM2_333 7 SnoBall.bmp 1.180078e+03 12 999000 120 999000 999 1181.10 7.500000e+02 7.500000e+02 25 52
BM2_333 7 Milano.bmp 1.182084e+03 12 999000 120 999000 999 1183.10 7.500000e+02 7.500000e+02 17 35
BM2_333 7 FrootLoops.bmp 1.184073e+03 24 999000 240 999000 999 1185.09 7.500000e+02 7.500000e+02 43 19
BM2_333 7 PopTartsStrawberry.bmp 1.187082e+03 24 999000 240 999000 999 1188.10 7.500000e+02 7.500000e+02 34 44
BM2_333 7 Ghiradelli_milk_Almonds.bmp 1.189088e+03 24 999000 240 999000 999 1190.11 7.500000e+02 7.500000e+02 37 22
BM2_333 7 Chocolate_mm.bmp 1.193083e+03 11 1.001809e+03 1100 7.500971e+02 98 1194.10 7.000000e+02 7.500000e+02 23 11
BM2_333 7 RitzBitz2.bmp 1.195072e+03 12 999000 120 999000 999 1196.09 7.000000e+02 7.500000e+02 14 48
BM2_333 7 Twinkie.bmp 1.200088e+03 24 999000 240 999000 999 1201.11 7.000000e+02 7.500000e+02 59 58
BM2_333 7 AnimalCrackers.bmp 1.202077e+03 22 1.000724e+03 2200 7.500997e+02 98 1203.10 7.000000e+02 7.000000e+02 41 4
BM2_333 7 MrGoodbar.bmp 1.206089e+03 24 999000 240 999000 999 1207.11 7.000000e+02 7.000000e+02 58 38
BM2_333 7 Jollyrancherred.bmp 1.208078e+03 24 999000 240 999000 999 1209.10 7.000000e+02 7.000000e+02 48 29
BM2_333 7 Fritos.bmp 1.211087e+03 11 9.501200e+02 110 7.001040e+02 98 1212.11 7.166667e+02 7.000000e+02 19 18
BM2_333 7 Jollyranchergreen.bmp 1.216085e+03 24 999000 240 999000 999 1217.11 7.166667e+02 7.000000e+02 56 28
BM2_333 7 MilkyWay.bmp 1.218074e+03 12 999000 120 999000 999 1219.09 7.166667e+02 7.000000e+02 28 37
BM2_333 7 FamousAmos_small.bmp 1.220081e+03 24 999000 240 999000 999 1221.10 7.166667e+02 7.000000e+02 36 15
BM2_333 7 TeddyGrahamschocolate.bmp 1.224076e+03 22 9.216905e+02 220 7.000789e+02 98 1225.10 7.166667e+02 7.166667e+02 42 56
BM2_333 7 FigNewton_small.bmp 1.228088e+03 22 9.974718e+02 220 7.167407e+02 98 1229.11 7.166667e+02 7.333333e+02 53 16
BM2_333 7 Snickers.bmp 1.232083e+03 12 999000 120 999000 999 1233.10 7.166667e+02 7.333333e+02 4 51
BM2_333 7 Hersheykisses.bmp 1.234072e+03 24 999000 240 999000 999 1235.09 7.166667e+02 7.333333e+02 54 25
BM2_333 7 Laffytaffyred_one.bmp 1.236078e+03 24 999000 240 999000 999 1237.10 7.166667e+02 7.333333e+02 33 32
BM2_333 7 BabyRuth.bmp 1.238084e+03 11 9.689647e+02 110 7.167427e+02 98 1239.10 7.333333e+02 7.333333e+02 12 5
BM2_333 7 Riprolls.bmp 1.240073e+03 24 999000 240 999000 999 1241.09 7.333333e+02 7.333333e+02 35 47
BM2_333 7 Cheezits.bmp 1.246074e+03 12 999000 120 999000 999 1247.09 7.333333e+02 7.333333e+02 29 9
BM2_333 7 Doritosranch.bmp 1.249084e+03 12 999000 120 999000 999 1250.10 7.333333e+02 7.333333e+02 1 13
BM2_333 7 FlamingCheetos.bmp 1.251073e+03 11 9.485186e+02 110 7.334078e+02 98 1252.09 7.500000e+02 7.333333e+02 15 17
BM2_333 7 Toberlorone.bmp 1.253079e+03 12 999000 120 999000 999 1254.10 7.500000e+02 7.333333e+02 5 57
BM2_333 7 Dots_one.bmp 1.256088e+03 12 999000 120 999000 999 1257.11 7.500000e+02 7.333333e+02 18 14
BM2_333 7 Hersheymilk_several.bmp 1.258077e+03 24 999000 240 999000 999 1259.10 7.500000e+02 7.333333e+02 55 26
BM2_333 7 Sourpatch.bmp 1.260083e+03 12 999000 120 999000 999 1261.10 7.500000e+02 7.333333e+02 22 54
BM2_333 7 Skittles.bmp 1.262072e+03 12 999000 120 999000 999 1263.09 7.500000e+02 7.333333e+02 10 49
BM2_333 7 Cheetos.bmp 1.265082e+03 12 999000 120 999000 999 1266.10 7.500000e+02 7.333333e+02 13 8
BM2_333 7 Slimjim.bmp 1.267087e+03 24 999000 240 999000 999 1268.11 7.500000e+02 7.333333e+02 40 50
BM2_333 7 Butterfinger.bmp 1.269077e+03 24 999000 240 999000 999 1270.10 7.500000e+02 7.333333e+02 52 6
BM2_333 7 Milkduds.bmp 1.271083e+03 12 999000 120 999000 999 1272.10 7.500000e+02 7.333333e+02 2 36
BM2_333 7 Oreos.bmp 1.273089e+03 24 999000 240 999000 999 1274.11 7.500000e+02 7.333333e+02 32 40
BM2_333 7 Keeblerfudgestripes.bmp 1.279073e+03 24 999000 240 999000 999 1280.09 7.500000e+02 7.333333e+02 39 30
BM2_333 7 HoHo.bmp 1.282082e+03 11 1.011136e+03 1100 7.500686e+02 98 1283.10 7.000000e+02 7.333333e+02 11 27
