Trial	StimName	Bid	RT
1	100grand_small.bmp	0.433333333333	2777
2	Jollyrancherred.bmp	0.213333333333	2564
3	FlamingCheetos.bmp	0.00666666666667	2960
4	MilkyWay.bmp	0.853333333333	2291
5	SourSkittles.bmp	0.773333333333	2819
6	Goldfish.bmp	1.2	2094
7	BabyRuth.bmp	0.9	4563
8	Cheetos.bmp	1.36666666667	2252
9	Ghiradelli_milk_Almonds.bmp	1.5	2360
10	Laysclassic.bmp	1.06	2719
11	Snickers.bmp	2.38666666667	1464
12	Jollyranchergreen.bmp	0.146666666667	1955
13	Reeses.bmp	2.23333333333	1999
14	Chocolate_mm.bmp	1.03333333333	2142
15	Almondjoy.bmp	2.02666666667	3531
16	Lollipopred.bmp	0.513333333333	2568
17	Cupcakes.bmp	2.01333333333	3741
18	Twinkie.bmp	0.173333333333	1932
19	Granolabar.bmp	0.566666666667	2368
20	SnoBall.bmp	2.10666666667	2159
21	RitzBitz2.bmp	1.12666666667	2084
22	ChipsAhoy_small.bmp	1.36	2222
23	Funyuns_small.bmp	0.08	1928
24	PopTartsCinnamon.bmp	2.23333333333	1628
25	Oreos.bmp	1.21333333333	1819
26	HoHo.bmp	1.24	3793
27	CheesyDoritos.bmp	0.74	3192
28	Cheezits.bmp	0.08	1841
29	Sourpatch.bmp	1.62	2113
30	Hersheymilk_several.bmp	0.133333333333	2302
31	Toberlorone.bmp	0.86	2064
32	PopTartsStrawberry.bmp	0.3	2404
33	Slimjim.bmp	0.02	3059
34	Laffytaffyred_one.bmp	0.0666666666667	1913
35	Skittles.bmp	0.246666666667	1641
36	Hersheykisses.bmp	0.533333333333	1574
37	Twix.bmp	0.84	2559
38	FigNewton_small.bmp	0.886666666667	4188
39	Milano.bmp	2.14666666667	2372
40	3Musketeers.bmp	2.30666666667	2429
41	PayDay.bmp	0.36	2957
42	Butterfinger.bmp	1.81333333333	3915
43	Ghiradelli_milk.bmp	1.99333333333	2595
44	Nutterbutter.bmp	0.253333333333	1550
45	FrootLoops.bmp	0.586666666667	2758
46	PeanutMMs.bmp	0.86	2420
47	Doritosranch.bmp	1.18666666667	2411
48	Keeblerfudgestripes.bmp	1.4	2317
49	AnimalCrackers.bmp	0.373333333333	2153
50	FamousAmos_small.bmp	1.48666666667	2145
51	KitKat_small.bmp	1.5	2798
52	Riprolls.bmp	0.853333333333	2246
53	Milkduds.bmp	0.68	2296
54	TeddyGrahamschocolate.bmp	0.673333333333	2350
55	PringlesRed.bmp	1.12	2430
56	MrGoodbar.bmp	0.233333333333	1968
57	Streusel.bmp	2.02666666667	2932
58	Whatchamacallit.bmp	0.546666666667	2804
59	Dots_one.bmp	0.126666666667	2358
60	Fritos.bmp	0.193333333333	2159
