subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_348 1 3Musketeers.bmp 1.410104e+00 12 999000 120 999000 999 2.43 750 750 5 2
BM2_348 1 Laffytaffyred_one.bmp 3.378238e+00 12 999000 120 999000 999 4.40 750 750 19 32
BM2_348 1 FrootLoops.bmp 7.386341e+00 12 999000 120 999000 999 8.40 750 750 24 19
BM2_348 1 Ghiradelli_milk.bmp 1.038663e+01 12 999000 120 999000 999 11.40 750 750 30 21
BM2_348 1 Hersheymilk_several.bmp 1.238796e+01 24 999000 240 999000 999 13.41 750 750 38 26
BM2_348 1 Snickers.bmp 1.539122e+01 12 999000 120 999000 999 16.41 750 750 26 51
BM2_348 1 Streusel.bmp 1.937896e+01 22 9.604948e+02 220 7.507615e+02 98 20.40 750 7.666667e+02 52 55
BM2_348 1 Milkduds.bmp 2.338594e+01 12 999000 120 999000 999 24.40 750 7.666667e+02 12 36
BM2_348 1 PringlesRed.bmp 2.538617e+01 22 1.025347e+03 2200 7.667913e+02 98 26.40 750 7.166667e+02 43 45
BM2_348 1 Hersheykisses.bmp 3.039073e+01 24 999000 240 999000 999 31.41 750 7.166667e+02 49 25
BM2_348 1 PayDay.bmp 3.237615e+01 12 999000 120 999000 999 33.39 750 7.166667e+02 11 41
BM2_348 1 Sourpatch.bmp 3.437850e+01 12 999000 120 999000 999 35.40 750 7.166667e+02 6 54
BM2_348 1 MrGoodbar.bmp 4.038643e+01 24 999000 240 999000 999 41.40 750 7.166667e+02 57 38
BM2_348 1 RitzBitz2.bmp 4.238695e+01 12 999000 120 999000 999 43.40 750 7.166667e+02 15 48
BM2_348 1 Funyuns_small.bmp 4.438922e+01 12 999000 120 999000 999 45.41 750 7.166667e+02 25 20
BM2_348 1 Toberlorone.bmp 4.639130e+01 24 999000 240 999000 999 47.41 750 7.166667e+02 58 57
BM2_348 1 PopTartsStrawberry.bmp 5.037917e+01 12 999000 120 999000 999 51.40 750 7.166667e+02 8 44
BM2_348 1 Butterfinger.bmp 5.438601e+01 12 999000 120 999000 999 55.40 750 7.166667e+02 16 6
BM2_348 1 Dots_one.bmp 5.738665e+01 24 999000 240 999000 999 58.40 750 7.166667e+02 33 14
BM2_348 1 Oreos.bmp 6.139087e+01 12 999000 120 999000 999 62.41 750 7.166667e+02 28 40
BM2_348 1 Twinkie.bmp 6.437755e+01 22 9.619589e+02 220 7.167729e+02 98 65.40 750 7.333333e+02 44 58
BM2_348 1 TeddyGrahamschocolate.bmp 6.637970e+01 24 999000 240 999000 999 67.40 750 7.333333e+02 35 56
BM2_348 1 FamousAmos_small.bmp 7.038673e+01 24 999000 240 999000 999 71.40 750 7.333333e+02 50 15
BM2_348 1 Milano.bmp 7.238602e+01 11 9.774881e+02 110 7.507330e+02 98 73.40 7.666667e+02 7.333333e+02 9 35
BM2_348 1 FlamingCheetos.bmp 7.438831e+01 11 1.031217e+03 1100 7.667645e+02 98 75.41 7.166667e+02 7.333333e+02 17 17
BM2_348 1 Jollyranchergreen.bmp 7.837594e+01 24 999000 240 999000 999 79.39 7.166667e+02 7.333333e+02 45 28
BM2_348 1 Fritos.bmp 8.037813e+01 24 999000 240 999000 999 81.40 7.166667e+02 7.333333e+02 31 18
BM2_348 1 KitKat_small.bmp 8.438611e+01 22 1.025352e+03 2200 7.334591e+02 98 85.40 7.166667e+02 6.833333e+02 40 31
BM2_348 1 Doritosranch.bmp 8.838656e+01 11 9.289587e+02 110 7.168067e+02 98 89.40 7.333333e+02 6.833333e+02 13 13
BM2_348 1 Reeses.bmp 9.138988e+01 11 9.496291e+02 110 7.334445e+02 98 92.41 7.500000e+02 6.833333e+02 21 46
BM2_348 1 Whatchamacallit.bmp 9.737966e+01 24 999000 240 999000 999 98.40 7.500000e+02 6.833333e+02 59 60
BM2_348 1 100grand_small.bmp 9.938680e+01 24 999000 240 999000 999 100.40 7.500000e+02 6.833333e+02 41 1
BM2_348 1 Chocolate_mm.bmp 1.033862e+02 12 999000 120 999000 999 104.40 7.500000e+02 6.833333e+02 23 11
BM2_348 1 MilkyWay.bmp 1.053882e+02 12 999000 120 999000 999 106.41 7.500000e+02 6.833333e+02 27 37
BM2_348 1 Cheezits.bmp 1.073904e+02 24 999000 240 999000 999 108.41 7.500000e+02 6.833333e+02 54 9
BM2_348 1 Jollyrancherred.bmp 1.093760e+02 24 999000 240 999000 999 110.39 7.500000e+02 6.833333e+02 32 29
BM2_348 1 Granolabar.bmp 1.143860e+02 12 999000 120 999000 999 115.40 7.500000e+02 6.833333e+02 1 24
BM2_348 1 CheesyDoritos.bmp 1.163863e+02 12 999000 120 999000 999 117.40 7.500000e+02 6.833333e+02 29 7
BM2_348 1 PeanutMMs.bmp 1.183865e+02 24 999000 240 999000 999 119.40 7.500000e+02 6.833333e+02 34 42
BM2_348 1 ChipsAhoy_small.bmp 1.213891e+02 22 8.864579e+02 220 6.834449e+02 98 122.41 7.500000e+02 7.000000e+02 51 10
BM2_348 1 Ghiradelli_milk_Almonds.bmp 1.243760e+02 24 999000 240 999000 999 125.39 7.500000e+02 7.000000e+02 55 22
BM2_348 1 SnoBall.bmp 1.283797e+02 24 999000 240 999000 999 129.40 7.500000e+02 7.000000e+02 60 52
BM2_348 1 Lollipopred.bmp 1.303858e+02 24 999000 240 999000 999 131.40 7.500000e+02 7.000000e+02 42 34
BM2_348 1 Laysclassic.bmp 1.323859e+02 11 1.025545e+03 1100 7.501084e+02 98 133.40 7.000000e+02 7.000000e+02 22 33
BM2_348 1 Nutterbutter.bmp 1.353875e+02 22 9.680349e+02 220 7.001250e+02 98 136.41 7.000000e+02 7.166667e+02 47 39
BM2_348 1 PopTartsCinnamon.bmp 1.383908e+02 22 9.647361e+02 220 7.167871e+02 98 139.41 7.000000e+02 7.333333e+02 48 43
BM2_348 1 FigNewton_small.bmp 1.403762e+02 24 999000 240 999000 999 141.39 7.000000e+02 7.333333e+02 46 16
BM2_348 1 HoHo.bmp 1.423782e+02 22 1.017385e+03 2200 7.334323e+02 98 143.40 7.000000e+02 6.833333e+02 39 27
BM2_348 1 Skittles.bmp 1.443803e+02 12 999000 120 999000 999 145.40 7.000000e+02 6.833333e+02 3 49
BM2_348 1 Riprolls.bmp 1.493865e+02 24 999000 240 999000 999 150.40 7.000000e+02 6.833333e+02 37 47
BM2_348 1 Cheetos.bmp 1.513878e+02 24 999000 240 999000 999 152.41 7.000000e+02 6.833333e+02 36 8
BM2_348 1 Almondjoy.bmp 1.533901e+02 24 999000 240 999000 999 154.41 7.000000e+02 6.833333e+02 53 3
BM2_348 1 SourSkittles.bmp 1.553923e+02 12 999000 120 999000 999 156.41 7.000000e+02 6.833333e+02 20 53
BM2_348 1 Twix.bmp 1.623864e+02 11 9.451403e+02 110 7.000939e+02 98 163.40 7.166667e+02 6.833333e+02 14 59
BM2_348 1 Slimjim.bmp 1.643861e+02 12 999000 120 999000 999 165.40 7.166667e+02 6.833333e+02 7 50
BM2_348 1 Cupcakes.bmp 1.713763e+02 12 3.072634e+02 12 999000 98 172.39 7.166667e+02 6.833333e+02 2 12
