subjid order runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_030_TS1 1 5 MilkyWay.bmp 2.406110e+00 24 999000 240 999000 999 3.43 8.166700e+02 8.166700e+02 47 37 6.400000e-01
BMS_030_TS1 1 5 Hersheykisses.bmp 5.336738e+00 12 999000 120 999000 999 6.36 8.166700e+02 8.166700e+02 29 25 9.800000e-01
BMS_030_TS1 1 5 Chocolate_mm.bmp 7.340506e+00 12 999000 120 999000 999 8.34 8.166700e+02 8.166700e+02 17 11 1.326667e+00
BMS_030_TS1 1 5 Doritosranch.bmp 9.344187e+00 12 999000 120 999000 999 10.36 8.166700e+02 8.166700e+02 4 13 2.260000e+00
BMS_030_TS1 1 5 Twix.bmp 1.134779e+01 22 1.071096e+03 2200 8.218053e+02 98 12.37 8.166700e+02 7.666700e+02 38 59 7.866667e-01
BMS_030_TS1 1 5 SnoBall.bmp 1.433673e+01 24 999000 240 999000 999 15.36 8.166700e+02 7.666700e+02 31 52 9.466667e-01
BMS_030_TS1 1 5 Funyuns_small.bmp 1.634045e+01 12 999000 120 999000 999 17.34 8.166700e+02 7.666700e+02 7 20 2.206667e+00
BMS_030_TS1 1 5 Ghiradelli_milk.bmp 2.034780e+01 24 999000 240 999000 999 21.35 8.166700e+02 7.666700e+02 55 21 4.733333e-01
BMS_030_TS1 1 5 Dots_one.bmp 2.235152e+01 22 9.543605e+02 220 7.668311e+02 98 23.37 8.166700e+02 7.833367e+02 53 14 5.000000e-01
BMS_030_TS1 1 5 AnimalCrackers.bmp 2.734410e+01 12 999000 120 999000 999 28.36 8.166700e+02 7.833367e+02 5 4 2.233333e+00
BMS_030_TS1 1 5 FigNewton_small.bmp 2.934777e+01 24 999000 240 999000 999 30.35 8.166700e+02 7.833367e+02 60 16 1.000000e-01
BMS_030_TS1 1 5 BabyRuth.bmp 3.333841e+01 24 999000 240 999000 999 34.36 8.166700e+02 7.833367e+02 33 5 8.466667e-01
BMS_030_TS1 1 5 Ghiradelli_milk_Almonds.bmp 3.534214e+01 22 9.387057e+02 220 7.835055e+02 98 36.34 8.166700e+02 8.000033e+02 45 22 6.600000e-01
BMS_030_TS1 1 5 FlamingCheetos.bmp 3.834765e+01 22 9.821943e+02 220 8.001516e+02 98 39.35 8.166700e+02 8.166700e+02 49 17 6.200000e-01
BMS_030_TS1 1 5 Lollipopred.bmp 4.334030e+01 24 999000 240 999000 999 44.36 8.166700e+02 8.166700e+02 58 34 4.066667e-01
BMS_030_TS1 1 5 Milkduds.bmp 4.534394e+01 24 999000 240 999000 999 46.35 8.166700e+02 8.166700e+02 36 36 8.266667e-01
BMS_030_TS1 1 5 Reeses.bmp 4.734759e+01 11 7.372272e+02 11 8.220486e+02 98 48.37 8.333367e+02 8.166700e+02 19 46 1.306667e+00
BMS_030_TS1 1 5 Cheetos.bmp 5.133834e+01 11 1.108540e+03 1100 8.334831e+02 98 52.36 7.833367e+02 8.166700e+02 16 8 1.393333e+00
BMS_030_TS1 1 5 Cheezits.bmp 5.534570e+01 12 999000 120 999000 999 56.36 7.833367e+02 8.166700e+02 27 9 1.053333e+00
BMS_030_TS1 1 5 Jollyranchergreen.bmp 5.933631e+01 24 999000 240 999000 999 60.35 7.833367e+02 8.166700e+02 59 28 3.333333e-01
BMS_030_TS1 1 5 Cupcakes.bmp 6.134005e+01 24 999000 240 999000 999 62.34 7.833367e+02 8.166700e+02 48 12 6.266667e-01
BMS_030_TS1 1 5 Twinkie.bmp 6.334369e+01 12 999000 120 999000 999 64.36 7.833367e+02 8.166700e+02 30 58 9.600000e-01
BMS_030_TS1 1 5 HoHo.bmp 6.534753e+01 24 999000 240 999000 999 66.35 7.833367e+02 8.166700e+02 37 27 7.866667e-01
BMS_030_TS1 1 5 FamousAmos_small.bmp 6.735115e+01 12 999000 120 999000 999 68.35 7.833367e+02 8.166700e+02 14 15 1.573333e+00
