subjid order runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_044_TS1 1 6 Toberlorone.bmp 3.338353e-01 12 999000 120 999000 999 1.34 7.000000e+02 7.500000e+02 1 57 2.793333e+00
BMS_044_TS1 1 6 PayDay.bmp 2.304210e+00 12 999000 120 999000 999 3.32 7.000000e+02 7.500000e+02 17 41 1.753333e+00
BMS_044_TS1 1 6 HoHo.bmp 6.311593e+00 12 999000 120 999000 999 7.31 7.000000e+02 7.500000e+02 14 27 1.793333e+00
BMS_044_TS1 1 6 Sourpatch.bmp 9.300451e+00 22 9.909885e+02 220 7.501751e+02 98 10.32 7.000000e+02 7.666667e+02 41 54 1.020000e+00
BMS_044_TS1 1 6 Skittles.bmp 1.130421e+01 22 9.032363e+02 220 7.668417e+02 98 12.31 7.000000e+02 7.833333e+02 38 49 1.146667e+00
BMS_044_TS1 1 6 Laysclassic.bmp 1.430967e+01 24 999000 240 999000 999 15.33 7.000000e+02 7.833333e+02 58 33 3.733333e-01
BMS_044_TS1 1 6 SourSkittles.bmp 1.830054e+01 24 999000 240 999000 999 19.32 7.000000e+02 7.833333e+02 55 53 6.266667e-01
BMS_044_TS1 1 6 Jollyranchergreen.bmp 2.230779e+01 11 9.226502e+02 110 7.001813e+02 98 23.33 7.166667e+02 7.833333e+02 15 28 1.786667e+00
BMS_044_TS1 1 6 Streusel.bmp 2.431140e+01 12 999000 120 999000 999 25.31 7.166667e+02 7.833333e+02 29 55 1.286667e+00
BMS_044_TS1 1 6 Cheezits.bmp 2.930405e+01 22 999000 2 7.834564e+02 999 30.32 7.166667e+02 7.333333e+02 50 9 7.800000e-01
BMS_044_TS1 1 6 Jollyrancherred.bmp 3.130768e+01 24 999000 240 999000 999 32.31 7.166667e+02 7.333333e+02 34 29 1.213333e+00
BMS_044_TS1 1 6 AnimalCrackers.bmp 3.331143e+01 24 999000 240 999000 999 34.31 7.166667e+02 7.333333e+02 37 4 1.180000e+00
BMS_044_TS1 1 6 FrootLoops.bmp 3.930581e+01 24 999000 240 999000 999 40.32 7.166667e+02 7.333333e+02 40 19 1.046667e+00
BMS_044_TS1 1 6 Funyuns_small.bmp 4.130946e+01 12 999000 120 999000 999 42.31 7.166667e+02 7.333333e+02 4 20 2.260000e+00
BMS_044_TS1 1 6 Riprolls.bmp 4.331321e+01 24 999000 240 999000 999 44.32 7.166667e+02 7.333333e+02 54 47 6.600000e-01
BMS_044_TS1 1 6 Reeses.bmp 4.530023e+01 12 999000 120 999000 999 46.32 7.166667e+02 7.333333e+02 9 46 2.013333e+00
BMS_044_TS1 1 6 MrGoodbar.bmp 4.930768e+01 22 1.189759e+03 2200 7.335056e+02 98 50.33 7.166667e+02 6.833333e+02 53 38 7.066667e-01
