subjid order runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex bid
BMS_055_TS1 2 11 PringlesRed.bmp 2.368510e+00 12 999000 120 999000 999 3.37 8.166700e+02 8.333300e+02 19 45 1.520000e+00
BMS_055_TS1 2 11 Dots_one.bmp 7.344406e+00 24 999000 240 999000 999 8.35 8.166700e+02 8.333300e+02 45 14 3.266667e-01
BMS_055_TS1 2 11 TeddyGrahamschocolate.bmp 9.348031e+00 12 999000 120 999000 999 10.37 8.166700e+02 8.333300e+02 16 56 1.753333e+00
BMS_055_TS1 2 11 Milkduds.bmp 1.133493e+01 24 999000 240 999000 999 12.34 8.166700e+02 8.333300e+02 55 36 9.333333e-02
BMS_055_TS1 2 11 Whatchamacallit.bmp 1.734618e+01 11 9.741518e+02 110 8.168787e+02 98 18.35 8.333367e+02 8.333300e+02 13 60 1.866667e+00
BMS_055_TS1 2 11 Milano.bmp 1.933318e+01 11 9.812036e+02 110 8.334970e+02 98 20.35 8.500033e+02 8.333300e+02 18 35 1.526667e+00
BMS_055_TS1 2 11 KitKat_small.bmp 2.233865e+01 24 999000 240 999000 999 23.36 8.500033e+02 8.333300e+02 37 31 6.200000e-01
BMS_055_TS1 2 11 CheesyDoritos.bmp 2.434242e+01 11 9.939307e+02 110 8.501637e+02 98 25.36 8.666700e+02 8.333300e+02 22 7 1.460000e+00
BMS_055_TS1 2 11 3Musketeers.bmp 2.833312e+01 22 9.872784e+02 220 8.335087e+02 98 29.35 8.666700e+02 8.499967e+02 52 2 1.466667e-01
BMS_055_TS1 2 11 Cupcakes.bmp 3.033680e+01 22 9.655960e+02 220 8.501502e+02 98 31.36 8.666700e+02 8.666633e+02 40 12 4.666667e-01
BMS_055_TS1 2 11 PopTartsCinnamon.bmp 3.534600e+01 12 999000 120 999000 999 36.35 8.666700e+02 8.666633e+02 29 43 1.040000e+00
BMS_055_TS1 2 11 Almondjoy.bmp 4.234229e+01 24 999000 240 999000 999 43.36 8.666700e+02 8.666633e+02 53 3 1.266667e-01
BMS_055_TS1 2 11 Jollyrancherred.bmp 4.434603e+01 24 999000 240 999000 999 45.35 8.666700e+02 8.666633e+02 33 29 7.533333e-01
BMS_055_TS1 2 11 Cheezits.bmp 4.733476e+01 24 999000 240 999000 999 48.35 8.666700e+02 8.666633e+02 31 9 9.933333e-01
BMS_055_TS1 2 11 Sourpatch.bmp 5.034048e+01 12 999000 120 999000 999 51.36 8.666700e+02 8.666633e+02 11 54 2.013333e+00
BMS_055_TS1 2 11 MrGoodbar.bmp 5.434786e+01 22 1.001571e+03 2200 8.668194e+02 98 55.35 8.666700e+02 8.166633e+02 43 38 3.666667e-01
BMS_055_TS1 2 11 Slimjim.bmp 5.833850e+01 22 8.929340e+02 220 8.168136e+02 98 59.36 8.666700e+02 8.333300e+02 47 50 2.266667e-01
BMS_055_TS1 2 11 FrootLoops.bmp 6.234591e+01 12 999000 120 999000 999 63.35 8.666700e+02 8.333300e+02 15 19 1.786667e+00
BMS_055_TS1 2 11 100grand_small.bmp 6.533490e+01 24 999000 240 999000 999 66.35 8.666700e+02 8.333300e+02 58 1 4.666667e-02
BMS_055_TS1 2 11 Skittles.bmp 7.134588e+01 11 1.172555e+03 1100 8.668430e+02 98 72.36 8.166700e+02 8.333300e+02 14 49 1.853333e+00
BMS_055_TS1 2 11 Funyuns_small.bmp 7.333279e+01 12 999000 120 999000 999 74.35 8.166700e+02 8.333300e+02 20 20 1.506667e+00
BMS_055_TS1 2 11 Oreos.bmp 7.633835e+01 12 999000 120 999000 999 77.36 8.166700e+02 8.333300e+02 7 40 2.040000e+00
BMS_055_TS1 2 11 Riprolls.bmp 7.834199e+01 24 999000 240 999000 999 79.34 8.166700e+02 8.333300e+02 38 47 5.733333e-01
BMS_055_TS1 2 11 Cheetos.bmp 8.034578e+01 11 8.286133e+02 110 8.167979e+02 98 81.35 8.333367e+02 8.333300e+02 9 8 2.013333e+00
BMS_055_TS1 2 11 Fritos.bmp 8.233281e+01 24 999000 240 999000 999 83.35 8.333367e+02 8.333300e+02 42 18 3.866667e-01
BMS_055_TS1 2 11 Snickers.bmp 8.533832e+01 24 999000 240 999000 999 86.36 8.333367e+02 8.333300e+02 57 51 6.000000e-02
BMS_055_TS1 2 11 Lollipopred.bmp 8.934573e+01 12 999000 120 999000 999 90.35 8.333367e+02 8.333300e+02 28 34 1.046667e+00
BMS_055_TS1 2 11 BabyRuth.bmp 9.133266e+01 24 999000 240 999000 999 92.35 8.333367e+02 8.333300e+02 59 5 4.666667e-02
