subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidLeft bidRight 
BM2_263 0 2 1 1 2.005926e+00 FrootLoops.bmp BabyRuth.bmp 44 17 0 i 3 0 830.01 1.03 1.70 
BM2_263 0 2 1 2 1.100978e+01 Milkduds.bmp PringlesRed.bmp 46 51 0 u 2 1 842.16 1.03 0.99 
BM2_263 0 2 1 3 1.401665e+01 Cheezits.bmp PringlesRed.bmp 49 51 0 i 2 0 1027.29 1.00 0.99 
BM2_263 0 2 1 4 1.901137e+01 CheesyDoritos.bmp SourSkittles.bmp 39 22 0 i 3 0 912.57 1.04 1.53 
BM2_263 0 2 1 5 2.801522e+01 RitzBitz2.bmp TeddyGrahamschocolate.bmp 53 47 0 u 2 1 1076.71 0.83 1.03 
BM2_263 0 2 1 6 3.401223e+01 AnimalCrackers.bmp Lollipopred.bmp 15 9 0 i 1 0 807.71 1.73 1.99 
BM2_263 0 2 1 7 3.701909e+01 MrGoodbar.bmp PopTartsStrawberry.bmp 12 14 0 u 1 1 848.85 1.96 1.77 
BM2_263 0 2 1 8 5.001538e+01 3Musketeers.bmp SourSkittles.bmp 43 22 0 i 3 0 852.56 1.03 1.53 
BM2_263 0 2 1 9 6.002152e+01 Riprolls.bmp Nutterbutter.bmp 38 20 0 u 4 1 1046.42 1.05 1.55 
BM2_263 0 2 1 10 6.501625e+01 PopTartsStrawberry.bmp Jollyrancherred.bmp 14 8 1 i 1 1 1043.69 1.77 1.99 
BM2_263 0 2 1 11 6.800639e+01 BabyRuth.bmp Twix.bmp 17 40 1 u 3 0 1045.55 1.70 1.04 
BM2_263 0 2 1 12 7.101325e+01 Nutterbutter.bmp Goldfish.bmp 20 45 1 u 4 0 1438.69 1.55 1.03 
BM2_263 0 2 1 13 7.402010e+01 MrGoodbar.bmp Oreos.bmp 12 13 0 u 1 1 1071.83 1.96 1.95 
BM2_263 0 2 1 14 8.400954e+01 PringlesRed.bmp RitzBitz2.bmp 51 53 1 u 2 0 914.40 0.99 0.83 
BM2_263 0 2 1 15 8.701640e+01 Lollipopred.bmp PeanutMMs.bmp 9 11 1 i 1 1 883.54 1.99 1.97 
BM2_263 0 2 1 16 9.702254e+01 RitzBitz2.bmp Fritos.bmp 53 52 0 u 2 1 973.40 0.83 0.85 
BM2_263 0 2 1 17 1.000127e+02 SourSkittles.bmp FrootLoops.bmp 22 44 1 u 3 0 1023.25 1.53 1.03 
BM2_263 0 2 1 18 1.030195e+02 ChipsAhoy_small.bmp Goldfish.bmp 23 45 1 u 4 0 912.39 1.48 1.03 
BM2_263 0 2 1 19 1.070120e+02 Twix.bmp SourSkittles.bmp 40 22 0 i 3 0 751.96 1.04 1.53 
BM2_263 0 2 1 20 1.110211e+02 PringlesRed.bmp Funyuns_small.bmp 51 50 1 i 2 1 902.82 0.99 1.00 
BM2_263 0 2 1 21 1.150136e+02 3Musketeers.bmp BabyRuth.bmp 43 17 0 i 3 0 734.38 1.03 1.70 
BM2_263 0 2 1 22 1.210106e+02 AnimalCrackers.bmp Skittles.bmp 15 10 0 i 1 0 753.38 1.73 1.98 
BM2_263 0 2 1 23 1.250197e+02 Oreos.bmp Jollyrancherred.bmp 13 8 1 u 1 0 824.24 1.95 1.99 
BM2_263 0 2 1 24 1.340068e+02 Cheezits.bmp TeddyGrahamschocolate.bmp 49 47 0 u 2 1 853.09 1.00 1.03 
BM2_263 0 2 1 25 1.420084e+02 Chocolate_mm.bmp 3Musketeers.bmp 18 43 1 u 3 0 1043.52 1.68 1.03 
BM2_263 0 2 1 26 1.460176e+02 Skittles.bmp PeanutMMs.bmp 10 11 1 u 1 0 930.38 1.98 1.97 
BM2_263 0 2 1 27 1.490077e+02 Whatchamacallit.bmp Granolabar.bmp 41 19 0 i 4 0 1084.23 1.04 1.62 
BM2_263 0 2 1 28 1.530168e+02 PopTartsStrawberry.bmp PeanutMMs.bmp 14 11 1 i 1 1 747.09 1.77 1.97 
BM2_263 0 2 1 29 1.560070e+02 AnimalCrackers.bmp Oreos.bmp 15 13 0 i 1 0 1004.94 1.73 1.95 
BM2_263 0 2 1 30 1.600161e+02 Nutterbutter.bmp Whatchamacallit.bmp 20 41 1 u 4 0 963.81 1.55 1.04 
BM2_263 0 2 1 31 1.630063e+02 Goldfish.bmp FigNewton_small.bmp 45 16 0 i 4 0 941.66 1.03 1.73 
BM2_263 0 2 1 32 1.690200e+02 Riprolls.bmp FigNewton_small.bmp 38 16 0 u 4 1 1023.95 1.05 1.73 
BM2_263 0 2 1 33 1.720101e+02 Nutterbutter.bmp 100grand_small.bmp 20 42 1 u 4 0 1137.80 1.55 1.03 
BM2_263 0 2 1 34 1.760193e+02 100grand_small.bmp Granolabar.bmp 42 19 0 i 4 0 832.66 1.03 1.62 
BM2_263 0 2 1 35 1.810140e+02 Cheezits.bmp Dots_one.bmp 49 48 0 u 2 1 1053.94 1.00 1.01 
BM2_263 0 2 1 36 1.840208e+02 Dots_one.bmp RitzBitz2.bmp 48 53 1 i 2 1 1079.08 1.01 0.83 
BM2_263 0 2 1 37 1.870110e+02 PopTartsStrawberry.bmp AnimalCrackers.bmp 14 15 1 u 1 0 848.94 1.77 1.73 
BM2_263 0 2 1 38 1.900179e+02 Whatchamacallit.bmp FigNewton_small.bmp 41 16 0 i 4 0 1202.08 1.04 1.73 
BM2_263 0 2 1 39 1.930080e+02 PeanutMMs.bmp Oreos.bmp 11 13 0 u 1 1 923.94 1.97 1.95 
BM2_263 0 2 1 40 1.970171e+02 Whatchamacallit.bmp ChipsAhoy_small.bmp 41 23 0 i 4 0 1154.80 1.04 1.48 
BM2_263 0 2 1 41 2.020119e+02 MrGoodbar.bmp Skittles.bmp 12 10 0 u 1 1 1040.08 1.96 1.98 
BM2_263 0 2 1 42 2.060210e+02 Fritos.bmp Funyuns_small.bmp 52 50 1 i 2 1 830.95 0.85 1.00 
BM2_263 0 2 1 43 2.100134e+02 Skittles.bmp Jollyrancherred.bmp 10 8 1 u 1 0 862.51 1.98 1.99 
BM2_263 0 2 1 44 2.140059e+02 Fritos.bmp Milkduds.bmp 52 46 1 i 2 1 1118.07 0.85 1.03 
BM2_263 0 2 1 45 2.200196e+02 Chocolate_mm.bmp CheesyDoritos.bmp 18 39 1 u 3 0 912.37 1.68 1.04 
BM2_263 0 2 1 46 2.260166e+02 MrGoodbar.bmp Lollipopred.bmp 12 9 0 u 1 1 827.36 1.96 1.99 
BM2_263 0 2 1 47 2.310113e+02 Hersheymilk_several.bmp FrootLoops.bmp 21 44 1 u 3 0 912.64 1.55 1.03 
BM2_263 0 2 1 48 2.380106e+02 Granolabar.bmp Goldfish.bmp 19 45 1 u 4 0 913.36 1.62 1.03 
BM2_263 0 2 1 49 2.420197e+02 FrootLoops.bmp Chocolate_mm.bmp 44 18 0 i 3 0 856.22 1.03 1.68 
BM2_263 0 2 1 50 2.520092e+02 Fritos.bmp Cheezits.bmp 52 49 1 i 2 1 1210.79 0.85 1.00 
BM2_263 0 2 1 51 2.620153e+02 100grand_small.bmp FigNewton_small.bmp 42 16 0 i 4 0 876.64 1.03 1.73 
BM2_263 0 2 1 52 2.660077e+02 Riprolls.bmp Granolabar.bmp 38 19 0 i 4 0 940.21 1.05 1.62 
BM2_263 0 2 1 53 2.730070e+02 Dots_one.bmp Funyuns_small.bmp 48 50 1 i 2 1 1244.92 1.01 1.00 
BM2_263 0 2 1 54 2.770162e+02 TeddyGrahamschocolate.bmp Funyuns_small.bmp 47 50 1 i 2 1 1019.78 1.03 1.00 
BM2_263 0 2 1 55 2.810086e+02 Hersheymilk_several.bmp 3Musketeers.bmp 21 43 1 u 3 0 1107.35 1.55 1.03 
BM2_263 0 2 1 56 2.850177e+02 Lollipopred.bmp Jollyrancherred.bmp 9 8 1 u 1 0 1090.22 1.99 1.99 
BM2_263 0 2 1 57 2.880079e+02 Hersheymilk_several.bmp CheesyDoritos.bmp 21 39 1 u 3 0 1044.06 1.55 1.04 
BM2_263 0 2 1 58 2.910147e+02 CheesyDoritos.bmp BabyRuth.bmp 39 17 0 i 3 0 869.21 1.04 1.70 
BM2_263 0 2 1 59 2.950072e+02 Dots_one.bmp Milkduds.bmp 48 46 1 i 2 1 1028.78 1.01 1.03 
BM2_263 0 2 1 60 2.980140e+02 Riprolls.bmp ChipsAhoy_small.bmp 38 23 0 i 4 0 1029.92 1.05 1.48 
BM2_263 0 2 1 61 3.010209e+02 ChipsAhoy_small.bmp 100grand_small.bmp 23 42 1 u 4 0 1007.07 1.48 1.03 
BM2_263 0 2 1 62 3.080202e+02 TeddyGrahamschocolate.bmp Milkduds.bmp 47 46 1 i 2 1 1079.78 1.03 1.03 
BM2_263 0 2 1 63 3.130149e+02 Chocolate_mm.bmp Twix.bmp 18 40 1 u 3 0 813.06 1.68 1.04 
BM2_263 0 2 1 64 3.200142e+02 Twix.bmp Hersheymilk_several.bmp 40 21 0 i 3 0 893.78 1.04 1.55 
