subjid runtrial onsettime Name resp_choc RT order
BM2_272 1 3.339175e-02 Ghiradelli_milk.bmp 1 9.585271e-01 2 
BM2_272 2 3.003151e+00 Laffytaffyred_one.bmp 1 1.116766e+00 2 
BM2_272 3 6.011518e+00 Twix.bmp 0 8.683992e-01 2 
BM2_272 4 8.011123e+00 PopTartsStrawberry.bmp 1 8.367934e-01 2 
BM2_272 5 1.201292e+01 ChipsAhoy_small.bmp 1 9.309950e-01 2 
BM2_272 6 1.900372e+01 KitKat_small.bmp 0 6.281976e-01 2 
BM2_272 7 2.201109e+01 Hersheymilk_several.bmp 999 999 2 
BM2_272 8 2.401163e+01 PeanutMMs.bmp 999 999 2 
BM2_272 9 2.601127e+01 MilkyWay.bmp 0 8.526410e-01 2 
BM2_272 10 3.200113e+01 Almondjoy.bmp 0 7.507906e-01 2 
BM2_272 11 3.901148e+01 Snickers.bmp 0 6.204403e-01 2 
BM2_272 12 4.201190e+01 Riprolls.bmp 1 7.960190e-01 2 
BM2_272 13 4.501508e+01 Granolabar.bmp 1 1.216836e+00 2 
BM2_272 14 5.501161e+01 Butterfinger.bmp 1 9.323102e-01 2 
BM2_272 15 6.101566e+01 Reeses.bmp 0 1.144256e+00 2 
BM2_272 16 6.600437e+01 FigNewton_small.bmp 1 9.235239e-01 2 
BM2_272 17 6.901180e+01 Sourpatch.bmp 999 999 2 
BM2_272 18 7.101134e+01 Lollipopred.bmp 1 1.068577e+00 2 
BM2_272 19 7.401306e+01 FamousAmos_small.bmp 0 9.388570e-01 2 
BM2_272 20 7.701623e+01 Keeblerfudgestripes.bmp 1 5.996843e-01 2 
BM2_272 21 8.300608e+01 Twinkie.bmp 1 9.138411e-01 2 
BM2_272 22 8.501144e+01 Nutterbutter.bmp 0 7.324747e-01 2 
BM2_272 23 8.901256e+01 Hersheykisses.bmp 0 8.193597e-01 2 
BM2_272 24 9.201573e+01 TeddyGrahamschocolate.bmp 1 8.241856e-01 2 
BM2_272 25 9.400121e+01 Goldfish.bmp 1 8.867117e-01 2 
BM2_272 26 9.600343e+01 Chocolate_mm.bmp 0 9.884840e-01 2 
BM2_272 27 1.010108e+02 Cheezits.bmp 1 7.011573e-01 2 
BM2_272 28 1.060141e+02 Slimjim.bmp 0 7.057710e-01 2 
BM2_272 29 1.100018e+02 Fritos.bmp 1 6.061323e-01 2 
BM2_272 30 1.140112e+02 3Musketeers.bmp 0 8.607500e-01 2 
BM2_272 31 1.200126e+02 Streusel.bmp 1 6.832968e-01 2 
BM2_272 32 1.220147e+02 CheesyDoritos.bmp 0 1.057192e+00 2 
BM2_272 33 1.320113e+02 Toberlorone.bmp 0 1.060671e+00 2 
BM2_272 34 1.340115e+02 Laysclassic.bmp 1 8.444155e-01 2 
BM2_272 35 1.360131e+02 Skittles.bmp 0 8.427774e-01 2 
BM2_272 36 1.410019e+02 Funyuns_small.bmp 0 7.739924e-01 2 
BM2_272 37 1.460112e+02 BabyRuth.bmp 0 6.046674e-01 2 
BM2_272 38 1.480109e+02 HoHo.bmp 1 7.809972e-01 2 
BM2_272 39 1.540159e+02 FrootLoops.bmp 1 1.120041e+00 2 
BM2_272 40 1.600057e+02 100grand_small.bmp 0 6.662534e-01 2 
BM2_272 41 1.650111e+02 Ghiradelli_milk_Almonds.bmp 0 4.848604e-01 2 
BM2_272 42 1.670132e+02 FlamingCheetos.bmp 999 999 2 
BM2_272 43 1.780117e+02 PringlesRed.bmp 1 6.122280e-01 2 
BM2_272 44 1.810117e+02 SnoBall.bmp 1 7.322213e-01 2 
BM2_272 45 1.880025e+02 Doritosranch.bmp 1 6.854148e-01 2 
BM2_272 46 1.930109e+02 PopTartsCinnamon.bmp 1 7.570195e-01 2 
BM2_272 47 1.970122e+02 Whatchamacallit.bmp 0 8.836677e-01 2 
BM2_272 48 2.030020e+02 Cheetos.bmp 1 6.859147e-01 2 
BM2_272 49 2.050042e+02 AnimalCrackers.bmp 1 7.397624e-01 2 
BM2_272 50 2.070064e+02 Milano.bmp 0 8.015375e-01 2 
BM2_272 51 2.140139e+02 Jollyranchergreen.bmp 1 6.980589e-01 2 
BM2_272 52 2.170004e+02 Dots_one.bmp 0 1.175488e+00 2 
BM2_272 53 2.210047e+02 Milkduds.bmp 1 6.511818e-01 2 
BM2_272 54 2.320166e+02 Jollyrancherred.bmp 1 5.353210e-01 2 
BM2_272 55 2.340021e+02 SourSkittles.bmp 1 6.698478e-01 2 
BM2_272 56 2.360042e+02 Oreos.bmp 0 7.636870e-01 2 
BM2_272 57 2.400117e+02 PayDay.bmp 1 1.036257e+00 2 
BM2_272 58 2.420113e+02 RitzBitz2.bmp 1 7.566379e-01 2 
BM2_272 59 2.460150e+02 Cupcakes.bmp 0 6.729029e-01 2 
BM2_272 60 2.480005e+02 MrGoodbar.bmp 0 7.754314e-01 2 
