subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidLeft bidRight 
BM2_281 0 1 2 1 2.023605e+00 100grand_small.bmp Snickers.bmp 45 16 0 i 3 0 895.63 0.59 1.57 
BM2_281 0 1 2 2 1.102745e+01 PringlesRed.bmp Slimjim.bmp 52 46 0 i 2 0 931.79 0.36 0.54 
BM2_281 0 1 2 3 1.401764e+01 Laysclassic.bmp Chocolate_mm.bmp 23 42 1 u 3 0 781.60 1.21 0.67 
BM2_281 0 1 2 4 1.901236e+01 Lollipopred.bmp Fritos.bmp 51 50 0 i 2 0 594.88 0.36 0.42 
BM2_281 0 1 2 5 2.801622e+01 Slimjim.bmp PayDay.bmp 46 47 1 u 2 0 1247.02 0.54 0.53 
BM2_281 0 1 2 6 3.401324e+01 Cheezits.bmp Twinkie.bmp 8 9 1 i 1 1 938.00 2.00 1.99 
BM2_281 0 1 2 7 3.702010e+01 Hersheykisses.bmp Almondjoy.bmp 22 40 1 u 4 0 859.14 1.25 0.68 
BM2_281 0 1 2 8 5.001640e+01 Streusel.bmp SnoBall.bmp 10 15 0 i 1 0 1166.84 1.99 1.60 
BM2_281 0 1 2 9 6.002255e+01 Cheezits.bmp Doritosranch.bmp 8 14 1 u 1 0 840.69 2.00 1.75 
BM2_281 0 1 2 10 6.501728e+01 Snickers.bmp Chocolate_mm.bmp 16 42 1 u 3 0 765.96 1.57 0.67 
BM2_281 0 1 2 11 6.802413e+01 Lollipopred.bmp Toberlorone.bmp 51 53 0 i 2 0 695.11 0.36 0.26 
BM2_281 0 1 2 12 7.101428e+01 Snickers.bmp MrGoodbar.bmp 16 38 1 u 3 0 856.96 1.57 0.71 
BM2_281 0 1 2 13 7.402114e+01 ChipsAhoy_small.bmp MrGoodbar.bmp 20 38 1 u 3 0 810.10 1.53 0.71 
BM2_281 0 1 2 14 8.402729e+01 Ghiradelli_milk_Almonds.bmp 100grand_small.bmp 19 45 1 i 3 1 939.94 1.54 0.59 
BM2_281 0 1 2 15 8.701745e+01 Cheetos.bmp Dots_one.bmp 17 43 1 u 4 0 1005.79 1.55 0.67 
BM2_281 0 1 2 16 9.702359e+01 Jollyranchergreen.bmp Whatchamacallit.bmp 39 18 0 i 4 0 743.65 0.70 1.55 
BM2_281 0 1 2 17 1.000137e+02 Chocolate_mm.bmp ChipsAhoy_small.bmp 42 20 0 i 3 0 937.49 0.67 1.53 
BM2_281 0 1 2 18 1.030206e+02 SnoBall.bmp RitzBitz2.bmp 15 13 1 u 1 0 882.63 1.60 1.84 
BM2_281 0 1 2 19 1.070130e+02 Fritos.bmp PayDay.bmp 50 47 1 u 2 0 962.20 0.42 0.53 
BM2_281 0 1 2 20 1.110222e+02 Almondjoy.bmp Cheetos.bmp 40 17 0 i 4 0 953.06 0.68 1.55 
BM2_281 0 1 2 21 1.150146e+02 MrGoodbar.bmp Ghiradelli_milk_Almonds.bmp 38 19 0 u 3 1 1096.62 0.71 1.54 
BM2_281 0 1 2 22 1.210283e+02 Slimjim.bmp Jollyrancherred.bmp 46 48 1 u 2 0 1042.90 0.54 0.49 
BM2_281 0 1 2 23 1.250208e+02 Twinkie.bmp Keeblerfudgestripes.bmp 9 11 0 i 1 0 1114.47 1.99 1.98 
BM2_281 0 1 2 24 1.340246e+02 Slimjim.bmp Lollipopred.bmp 46 51 1 u 2 0 910.60 0.54 0.36 
BM2_281 0 1 2 25 1.420262e+02 Fritos.bmp Jollyrancherred.bmp 50 48 1 u 2 0 829.02 0.42 0.49 
BM2_281 0 1 2 26 1.460187e+02 Twinkie.bmp Oreos.bmp 9 12 0 i 1 0 1188.58 1.99 1.95 
BM2_281 0 1 2 27 1.490255e+02 Keeblerfudgestripes.bmp Doritosranch.bmp 11 14 1 u 1 0 821.73 1.98 1.75 
BM2_281 0 1 2 28 1.530180e+02 Keeblerfudgestripes.bmp Streusel.bmp 11 10 1 u 1 0 701.29 1.98 1.99 
BM2_281 0 1 2 29 1.560248e+02 Whatchamacallit.bmp Laffytaffyred_one.bmp 18 44 1 u 4 0 854.44 1.55 0.60 
BM2_281 0 1 2 30 1.600172e+02 Cheezits.bmp RitzBitz2.bmp 8 13 1 u 1 0 805.99 2.00 1.84 
BM2_281 0 1 2 31 1.630241e+02 Twinkie.bmp SnoBall.bmp 9 15 0 i 1 0 1143.14 1.99 1.60 
