subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_290 12 PeanutMMs.bmp 2.082870e+03 11 9.575597e+02 110 7.501365e+02 98 2083.89 7.666667e+02 7.500000e+02 13 42
BM2_290 12 Ghiradelli_milk_Almonds.bmp 2.085857e+03 24 999000 240 999000 999 2086.87 7.666667e+02 7.500000e+02 31 22
BM2_290 12 Cupcakes.bmp 2.087859e+03 24 999000 240 999000 999 2088.88 7.666667e+02 7.500000e+02 55 12
BM2_290 12 MilkyWay.bmp 2.089866e+03 22 9.936734e+02 220 7.501141e+02 98 2090.88 7.666667e+02 7.666667e+02 51 37
BM2_290 12 100grand_small.bmp 2.091866e+03 24 999000 240 999000 999 2092.88 7.666667e+02 7.666667e+02 34 1
BM2_290 12 PopTartsCinnamon.bmp 2.094866e+03 24 999000 240 999000 999 2095.88 7.666667e+02 7.666667e+02 60 43
BM2_290 12 Oreos.bmp 2.096868e+03 24 999000 240 999000 999 2097.89 7.666667e+02 7.666667e+02 36 40
BM2_290 12 Nutterbutter.bmp 2.100856e+03 12 999000 120 999000 999 2101.87 7.666667e+02 7.666667e+02 25 39
BM2_290 12 ChipsAhoy_small.bmp 2.102858e+03 12 999000 120 999000 999 2103.88 7.666667e+02 7.666667e+02 5 10
BM2_290 12 Laysclassic.bmp 2.107865e+03 24 999000 240 999000 999 2108.88 7.666667e+02 7.666667e+02 50 33
BM2_290 12 Toberlorone.bmp 2.109866e+03 11 9.777481e+02 110 7.667629e+02 98 2110.88 7.833333e+02 7.666667e+02 22 57
BM2_290 12 KitKat_small.bmp 2.113870e+03 12 999000 120 999000 999 2114.89 7.833333e+02 7.666667e+02 7 31
BM2_290 12 3Musketeers.bmp 2.115856e+03 24 999000 240 999000 999 2116.87 7.833333e+02 7.666667e+02 45 2
BM2_290 12 FlamingCheetos.bmp 2.118859e+03 11 1.000538e+03 1100 7.834876e+02 98 2119.88 7.333333e+02 7.666667e+02 18 17
BM2_290 12 Twix.bmp 2.123866e+03 12 999000 120 999000 999 2124.88 7.333333e+02 7.666667e+02 27 59
BM2_290 12 Lollipopred.bmp 2.125866e+03 24 999000 240 999000 999 2126.88 7.333333e+02 7.666667e+02 59 34
BM2_290 12 Milano.bmp 2.127868e+03 12 999000 120 999000 999 2128.89 7.333333e+02 7.666667e+02 16 35
BM2_290 12 Butterfinger.bmp 2.131856e+03 12 999000 120 999000 999 2132.87 7.333333e+02 7.666667e+02 29 6
BM2_290 12 Doritosranch.bmp 2.135860e+03 24 999000 240 999000 999 2136.88 7.333333e+02 7.666667e+02 37 13
BM2_290 12 Fritos.bmp 2.139865e+03 24 999000 240 999000 999 2140.88 7.333333e+02 7.666667e+02 46 18
BM2_290 12 Jollyrancherred.bmp 2.141867e+03 12 999000 120 999000 999 2142.88 7.333333e+02 7.666667e+02 8 29
BM2_290 12 HoHo.bmp 2.143869e+03 24 999000 240 999000 999 2144.89 7.333333e+02 7.666667e+02 33 27
BM2_290 12 Milkduds.bmp 2.145871e+03 24 999000 240 999000 999 2146.89 7.333333e+02 7.666667e+02 57 36
BM2_290 12 Almondjoy.bmp 2.147857e+03 24 999000 240 999000 999 2148.87 7.333333e+02 7.666667e+02 56 3
BM2_290 12 Snickers.bmp 2.153866e+03 12 999000 120 999000 999 2154.88 7.333333e+02 7.666667e+02 3 51
BM2_290 12 Twinkie.bmp 2.156866e+03 12 999000 120 999000 999 2157.88 7.333333e+02 7.666667e+02 11 58
BM2_290 12 Hersheymilk_several.bmp 2.158868e+03 12 999000 120 999000 999 2159.89 7.333333e+02 7.666667e+02 6 26
BM2_290 12 CheesyDoritos.bmp 2.160871e+03 24 999000 240 999000 999 2161.89 7.333333e+02 7.666667e+02 49 7
BM2_290 12 Reeses.bmp 2.163857e+03 12 999000 120 999000 999 2164.88 7.333333e+02 7.666667e+02 20 46
BM2_290 12 PopTartsStrawberry.bmp 2.165859e+03 22 9.519361e+02 220 7.667736e+02 98 2166.88 7.333333e+02 7.833333e+02 47 44
BM2_290 12 Laffytaffyred_one.bmp 2.167865e+03 24 999000 240 999000 999 2168.88 7.333333e+02 7.833333e+02 58 32
BM2_290 12 Whatchamacallit.bmp 2.169866e+03 12 999000 120 999000 999 2170.88 7.333333e+02 7.833333e+02 23 60
BM2_290 12 Jollyranchergreen.bmp 2.172867e+03 12 999000 120 999000 999 2173.88 7.333333e+02 7.833333e+02 2 28
BM2_290 12 AnimalCrackers.bmp 2.174869e+03 22 9.583648e+02 220 7.834534e+02 98 2175.89 7.333333e+02 8.000000e+02 48 4
BM2_290 12 FigNewton_small.bmp 2.176871e+03 22 1.132117e+03 2200 8.001235e+02 98 2177.89 7.333333e+02 7.500000e+02 52 16
BM2_290 12 MrGoodbar.bmp 2.178857e+03 12 999000 120 999000 999 2179.87 7.333333e+02 7.500000e+02 12 38
BM2_290 12 Goldfish.bmp 2.180859e+03 24 999000 240 999000 999 2181.88 7.333333e+02 7.500000e+02 32 23
BM2_290 12 BabyRuth.bmp 2.186866e+03 24 999000 240 999000 999 2187.88 7.333333e+02 7.500000e+02 54 5
