subjid runnum itemname onsettime trialtype RT respInTime Ausdiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_294 13 Doritosranch.bmp 2.537319e+03 12 999000 120 999000 999 2538.34 7.500000e+02 7.500000e+02 12 13
BM2_294 13 FlamingCheetos.bmp 2.540322e+03 11 9.378912e+02 110 7.501086e+02 98 2541.34 7.666667e+02 7.500000e+02 10 17
BM2_294 13 Almondjoy.bmp 2.544310e+03 22 5.342250e+02 22 7.501303e+02 98 2545.33 7.666667e+02 7.666667e+02 48 3
BM2_294 13 PayDay.bmp 2.546312e+03 24 999000 240 999000 999 2547.33 7.666667e+02 7.666667e+02 45 41
BM2_294 13 Ghiradelli_milk_Almonds.bmp 2.548318e+03 22 9.821097e+02 220 7.667728e+02 98 2549.33 7.666667e+02 7.833333e+02 52 22
BM2_294 13 Snickers.bmp 2.552319e+03 11 6.696306e+02 11 7.667682e+02 98 2553.34 7.833333e+02 7.833333e+02 13 51
BM2_294 13 PopTartsStrawberry.bmp 2.554321e+03 24 999000 240 999000 999 2555.34 7.833333e+02 7.833333e+02 34 44
BM2_294 13 Cheetos.bmp 2.559310e+03 12 999000 120 999000 999 2560.33 7.833333e+02 7.833333e+02 4 8
BM2_294 13 Reeses.bmp 2.561312e+03 12 999000 120 999000 999 2562.33 7.833333e+02 7.833333e+02 20 46
BM2_294 13 Skittles.bmp 2.564319e+03 12 999000 120 999000 999 2565.33 7.833333e+02 7.833333e+02 16 49
BM2_294 13 Jollyranchergreen.bmp 2.567319e+03 12 999000 120 999000 999 2568.34 7.833333e+02 7.833333e+02 23 28
BM2_294 13 FamousAmos_small.bmp 2.571323e+03 11 7.537724e+02 11 7.834486e+02 98 2572.34 8.000000e+02 7.833333e+02 21 15
BM2_294 13 Cupcakes.bmp 2.574309e+03 22 9.911024e+02 220 7.834338e+02 98 2575.33 8.000000e+02 8.000000e+02 43 12
BM2_294 13 Butterfinger.bmp 2.576311e+03 24 999000 240 999000 999 2577.33 8.000000e+02 8.000000e+02 49 6
BM2_294 13 PeanutMMs.bmp 2.579318e+03 24 999000 240 999000 999 2580.33 8.000000e+02 8.000000e+02 36 42
BM2_294 13 HoHo.bmp 2.583319e+03 22 9.095022e+02 220 8.001132e+02 98 2584.34 8.000000e+02 8.166667e+02 44 27
BM2_294 13 BabyRuth.bmp 2.586322e+03 24 999000 240 999000 999 2587.34 8.000000e+02 8.166667e+02 31 5
BM2_294 13 Lollipopred.bmp 2.588324e+03 24 999000 240 999000 999 2589.34 8.000000e+02 8.166667e+02 53 34
BM2_294 13 100grand_small.bmp 2.590310e+03 24 999000 240 999000 999 2591.33 8.000000e+02 8.166667e+02 57 1
BM2_294 13 Twinkie.bmp 2.595319e+03 12 999000 120 999000 999 2596.33 8.000000e+02 8.166667e+02 19 58
BM2_294 13 Fritos.bmp 2.599319e+03 11 9.809530e+02 110 8.000993e+02 98 2600.34 8.166667e+02 8.166667e+02 17 18
BM2_294 13 Goldfish.bmp 2.603324e+03 11 9.445676e+02 110 8.167998e+02 98 2604.34 8.333333e+02 8.166667e+02 14 23
BM2_294 13 Ghiradelli_milk.bmp 2.609314e+03 12 999000 120 999000 999 2610.33 8.333333e+02 8.166667e+02 6 21
BM2_294 13 Riprolls.bmp 2.611319e+03 24 999000 240 999000 999 2612.33 8.333333e+02 8.166667e+02 32 47
BM2_294 13 PopTartsCinnamon.bmp 2.613319e+03 24 999000 240 999000 999 2614.34 8.333333e+02 8.166667e+02 60 43
BM2_294 13 Hersheymilk_several.bmp 2.615320e+03 12 999000 120 999000 999 2616.34 8.333333e+02 8.166667e+02 15 26
BM2_294 13 SnoBall.bmp 2.617322e+03 24 999000 240 999000 999 2618.34 8.333333e+02 8.166667e+02 55 52
BM2_294 13 ChipsAhoy_small.bmp 2.621310e+03 11 1.070324e+03 1100 8.334496e+02 98 2622.33 7.833333e+02 8.166667e+02 22 10
BM2_294 13 Nutterbutter.bmp 2.623312e+03 24 999000 240 999000 999 2624.33 7.833333e+02 8.166667e+02 59 39
BM2_294 13 Laysclassic.bmp 2.627319e+03 12 999000 120 999000 999 2628.33 7.833333e+02 8.166667e+02 1 33
BM2_294 13 KitKat_small.bmp 2.629319e+03 12 999000 120 999000 999 2630.34 7.833333e+02 8.166667e+02 29 31
BM2_294 13 Keeblerfudgestripes.bmp 2.631321e+03 12 999000 120 999000 999 2632.34 7.833333e+02 8.166667e+02 8 30
BM2_294 13 Milano.bmp 2.633323e+03 12 999000 120 999000 999 2634.34 7.833333e+02 8.166667e+02 7 35
BM2_294 13 AnimalCrackers.bmp 2.638312e+03 12 999000 120 999000 999 2639.33 7.833333e+02 8.166667e+02 11 4
BM2_294 13 FigNewton_small.bmp 2.640318e+03 24 999000 240 999000 999 2641.33 7.833333e+02 8.166667e+02 58 16
BM2_294 13 SourSkittles.bmp 2.642319e+03 24 999000 240 999000 999 2643.33 7.833333e+02 8.166667e+02 42 53
BM2_294 13 Oreos.bmp 2.645319e+03 12 999000 120 999000 999 2646.34 7.833333e+02 8.166667e+02 3 40
BM2_294 13 RitzBitz2.bmp 2.652310e+03 11 1.126123e+03 1100 7.834612e+02 98 2653.33 7.333333e+02 8.166667e+02 18 48
BM2_294 13 Jollyrancherred.bmp 2.656319e+03 12 999000 120 999000 999 2657.33 7.333333e+02 8.166667e+02 25 29
BM2_294 13 Whatchamacallit.bmp 2.663322e+03 24 999000 240 999000 999 2664.34 7.333333e+02 8.166667e+02 33 60
BM2_294 13 Sourpatch.bmp 2.665324e+03 24 999000 240 999000 999 2666.34 7.333333e+02 8.166667e+02 56 54
BM2_294 13 Milkduds.bmp 2.669312e+03 24 999000 240 999000 999 2670.33 7.333333e+02 8.166667e+02 54 36
BM2_294 13 Hersheykisses.bmp 2.673319e+03 11 9.417267e+02 110 7.334641e+02 98 2674.33 7.500000e+02 8.166667e+02 9 25
BM2_294 13 Twix.bmp 2.675319e+03 12 999000 120 999000 999 2676.34 7.500000e+02 8.166667e+02 26 59
BM2_294 13 FrootLoops.bmp 2.679322e+03 12 999000 120 999000 999 2680.34 7.500000e+02 8.166667e+02 30 19
BM2_294 13 3Musketeers.bmp 2.681308e+03 22 1.152226e+03 2200 8.167685e+02 98 2682.33 7.500000e+02 7.666667e+02 47 2
BM2_294 13 MilkyWay.bmp 2.683310e+03 12 999000 120 999000 999 2684.33 7.500000e+02 7.666667e+02 28 37
BM2_294 13 MrGoodbar.bmp 2.689319e+03 24 999000 240 999000 999 2690.33 7.500000e+02 7.666667e+02 35 38
BM2_294 13 Granolabar.bmp 2.691319e+03 22 9.737847e+02 220 7.667928e+02 98 2692.34 7.500000e+02 7.833333e+02 39 24
BM2_294 13 Dots_one.bmp 2.694322e+03 24 999000 240 999000 999 2695.34 7.500000e+02 7.833333e+02 50 14
BM2_294 13 Toberlorone.bmp 2.697309e+03 12 999000 120 999000 999 2698.33 7.500000e+02 7.833333e+02 2 57
BM2_294 13 Streusel.bmp 2.699311e+03 12 999000 120 999000 999 2700.33 7.500000e+02 7.833333e+02 27 55
BM2_294 13 Cheezits.bmp 2.701313e+03 12 999000 120 999000 999 2702.33 7.500000e+02 7.833333e+02 24 9
BM2_294 13 TeddyGrahamschocolate.bmp 2.703319e+03 24 999000 240 999000 999 2704.33 7.500000e+02 7.833333e+02 37 56
BM2_294 13 Slimjim.bmp 2.709321e+03 24 999000 240 999000 999 2710.34 7.500000e+02 7.833333e+02 46 50
BM2_294 13 Funyuns_small.bmp 2.711324e+03 22 1.096768e+03 2200 7.834474e+02 98 2712.34 7.500000e+02 7.333333e+02 51 20
BM2_294 13 PringlesRed.bmp 2.713309e+03 22 6.872113e+02 22 7.334518e+02 98 2714.33 7.500000e+02 7.500000e+02 40 45
BM2_294 13 CheesyDoritos.bmp 2.715311e+03 12 999000 120 999000 999 2716.33 7.500000e+02 7.500000e+02 5 7
BM2_294 13 Laffytaffyred_one.bmp 2.718318e+03 24 999000 240 999000 999 2719.33 7.500000e+02 7.500000e+02 38 32
BM2_294 13 Chocolate_mm.bmp 2.721318e+03 24 999000 240 999000 999 2722.34 7.500000e+02 7.500000e+02 41 11
