subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidLeft bidRight 
BM2_297 0 1 2 1 2.025264e+00 Sourpatch.bmp FrootLoops.bmp 9 11 0 i 1 0 890.10 2.26 2.21 
BM2_297 0 1 2 2 1.101240e+01 Twix.bmp Jollyranchergreen.bmp 51 50 0 u 2 1 982.96 1.07 1.25 
BM2_297 0 1 2 3 1.401929e+01 Slimjim.bmp MilkyWay.bmp 47 46 0 i 2 0 728.07 1.31 1.35 
BM2_297 0 1 2 4 1.901401e+01 FrootLoops.bmp FamousAmos_small.bmp 11 13 1 u 1 0 917.34 2.21 2.05 
BM2_297 0 1 2 5 2.801788e+01 Laysclassic.bmp PeanutMMs.bmp 48 53 0 i 2 0 953.48 1.29 1.04 
BM2_297 0 1 2 6 3.401489e+01 BabyRuth.bmp Oreos.bmp 39 18 0 i 4 0 836.47 1.45 1.99 
BM2_297 0 1 2 7 3.702174e+01 MilkyWay.bmp Twix.bmp 46 51 1 i 2 1 1037.62 1.35 1.07 
BM2_297 0 1 2 8 5.001805e+01 Milkduds.bmp SnoBall.bmp 44 17 0 u 4 1 977.31 1.36 2.01 
BM2_297 0 1 2 9 6.002420e+01 Cheezits.bmp RitzBitz2.bmp 15 10 1 i 1 1 1323.16 2.01 2.22 
BM2_297 0 1 2 10 6.501893e+01 PeanutMMs.bmp Dots_one.bmp 53 52 1 u 2 0 744.44 1.04 1.05 
BM2_297 0 1 2 11 6.802578e+01 RitzBitz2.bmp FrootLoops.bmp 10 11 0 u 1 1 953.58 2.22 2.21 
BM2_297 0 1 2 12 7.101593e+01 SourSkittles.bmp Nutterbutter.bmp 45 23 0 i 3 0 931.43 1.36 1.90 
BM2_297 0 1 2 13 7.402279e+01 Twix.bmp Snickers.bmp 51 49 0 u 2 1 1196.57 1.07 1.27 
BM2_297 0 1 2 14 8.401224e+01 Keeblerfudgestripes.bmp FigNewton_small.bmp 21 40 1 u 4 0 1095.12 1.97 1.44 
BM2_297 0 1 2 15 8.701909e+01 Snickers.bmp Laysclassic.bmp 49 48 1 u 2 0 960.27 1.27 1.29 
BM2_297 0 1 2 16 9.702524e+01 FamousAmos_small.bmp Granolabar.bmp 13 12 0 i 1 0 674.12 2.05 2.18 
BM2_297 0 1 2 17 1.000154e+02 Granolabar.bmp RitzBitz2.bmp 12 10 1 u 1 0 507.96 2.18 2.22 
BM2_297 0 1 2 18 1.030223e+02 TeddyGrahamschocolate.bmp RitzBitz2.bmp 8 10 1 u 1 0 845.10 2.33 2.22 
BM2_297 0 1 2 19 1.070147e+02 BabyRuth.bmp Keeblerfudgestripes.bmp 39 21 0 i 4 0 1084.67 1.45 1.97 
BM2_297 0 1 2 20 1.110238e+02 Cheezits.bmp ChipsAhoy_small.bmp 15 14 1 u 1 0 723.53 2.01 2.03 
BM2_297 0 1 2 21 1.150163e+02 Goldfish.bmp Nutterbutter.bmp 41 23 0 u 3 1 859.09 1.43 1.90 
BM2_297 0 1 2 22 1.210133e+02 Funyuns_small.bmp SourSkittles.bmp 20 45 1 u 3 0 854.08 1.97 1.36 
BM2_297 0 1 2 23 1.250224e+02 PopTartsStrawberry.bmp Chocolate_mm.bmp 22 43 1 i 4 1 780.94 1.97 1.41 
BM2_297 0 1 2 24 1.340263e+02 Oreos.bmp Milkduds.bmp 18 44 1 u 4 0 721.07 1.99 1.36 
BM2_297 0 1 2 25 1.420279e+02 FamousAmos_small.bmp Cheezits.bmp 13 15 0 i 1 0 847.50 2.05 2.01 
BM2_297 0 1 2 26 1.460203e+02 Granolabar.bmp ChipsAhoy_small.bmp 12 14 1 u 1 0 607.06 2.18 2.03 
BM2_297 0 1 2 27 1.490272e+02 Riprolls.bmp Nutterbutter.bmp 42 23 0 i 3 0 1016.20 1.43 1.90 
BM2_297 0 1 2 28 1.530196e+02 FigNewton_small.bmp PopTartsStrawberry.bmp 40 22 0 u 4 1 863.77 1.44 1.97 
BM2_297 0 1 2 29 1.560265e+02 MilkyWay.bmp Dots_one.bmp 46 52 1 u 2 0 664.91 1.35 1.05 
BM2_297 0 1 2 30 1.600189e+02 Jollyranchergreen.bmp Laysclassic.bmp 50 48 1 u 2 0 840.47 1.25 1.29 
BM2_297 0 1 2 31 1.630257e+02 TeddyGrahamschocolate.bmp ChipsAhoy_small.bmp 8 14 1 u 1 0 753.61 2.33 2.03 
BM2_297 0 1 2 32 1.690228e+02 Goldfish.bmp AnimalCrackers.bmp 41 19 0 i 3 0 988.61 1.43 1.97 
BM2_297 0 1 2 33 1.720129e+02 Sourpatch.bmp TeddyGrahamschocolate.bmp 9 8 0 i 1 0 870.46 2.26 2.33 
BM2_297 0 1 2 34 1.760220e+02 Skittles.bmp AnimalCrackers.bmp 38 19 0 i 3 0 749.31 1.45 1.97 
BM2_297 0 1 2 35 1.810168e+02 Jollyrancherred.bmp Skittles.bmp 16 38 1 i 3 1 1074.59 2.01 1.45 
BM2_297 0 1 2 36 1.840236e+02 Nutterbutter.bmp Skittles.bmp 23 38 1 u 3 0 715.73 1.90 1.45 
BM2_297 0 1 2 37 1.870138e+02 SnoBall.bmp Chocolate_mm.bmp 17 43 1 i 4 1 733.58 2.01 1.41 
BM2_297 0 1 2 38 1.900206e+02 Cheezits.bmp Sourpatch.bmp 15 9 1 u 1 0 702.73 2.01 2.26 
BM2_297 0 1 2 39 1.930275e+02 SourSkittles.bmp Jollyrancherred.bmp 45 16 0 u 3 1 1143.87 1.36 2.01 
BM2_297 0 1 2 40 1.970199e+02 SnoBall.bmp BabyRuth.bmp 17 39 1 i 4 1 671.43 2.01 1.45 
BM2_297 0 1 2 41 2.020146e+02 Snickers.bmp Slimjim.bmp 49 47 1 u 2 0 756.71 1.27 1.31 
BM2_297 0 1 2 42 2.060238e+02 PopTartsStrawberry.bmp Milkduds.bmp 22 44 1 i 4 1 1259.57 1.97 1.36 
BM2_297 0 1 2 43 2.100162e+02 FigNewton_small.bmp SnoBall.bmp 40 17 0 u 4 1 699.13 1.44 2.01 
BM2_297 0 1 2 44 2.140254e+02 Goldfish.bmp Jollyrancherred.bmp 41 16 0 u 3 1 737.99 1.43 2.01 
BM2_297 0 1 2 45 2.200224e+02 Snickers.bmp Dots_one.bmp 49 52 1 u 2 0 876.98 1.27 1.05 
BM2_297 0 1 2 46 2.260194e+02 TeddyGrahamschocolate.bmp FamousAmos_small.bmp 8 13 1 u 1 0 767.97 2.33 2.05 
BM2_297 0 1 2 47 2.310141e+02 Riprolls.bmp Jollyrancherred.bmp 42 16 0 i 3 0 973.25 1.43 2.01 
BM2_297 0 1 2 48 2.380134e+02 Chocolate_mm.bmp Keeblerfudgestripes.bmp 43 21 0 u 4 1 1173.96 1.41 1.97 
BM2_297 0 1 2 49 2.420225e+02 PeanutMMs.bmp Twix.bmp 53 51 1 i 2 1 724.82 1.04 1.07 
BM2_297 0 1 2 50 2.520120e+02 AnimalCrackers.bmp Riprolls.bmp 19 42 1 u 3 0 711.37 1.97 1.43 
BM2_297 0 1 2 51 2.620181e+02 Skittles.bmp Funyuns_small.bmp 38 20 0 i 3 0 753.22 1.45 1.97 
BM2_297 0 1 2 52 2.660273e+02 SourSkittles.bmp AnimalCrackers.bmp 45 19 0 i 3 0 696.08 1.36 1.97 
BM2_297 0 1 2 53 2.730266e+02 Funyuns_small.bmp Goldfish.bmp 20 41 1 i 3 1 912.79 1.97 1.43 
BM2_297 0 1 2 54 2.770190e+02 Milkduds.bmp Keeblerfudgestripes.bmp 44 21 0 i 4 0 856.36 1.36 1.97 
BM2_297 0 1 2 55 2.810115e+02 Laysclassic.bmp MilkyWay.bmp 48 46 0 i 2 0 775.90 1.29 1.35 
BM2_297 0 1 2 56 2.850206e+02 BabyRuth.bmp PopTartsStrawberry.bmp 39 22 0 u 4 1 934.78 1.45 1.97 
BM2_297 0 1 2 57 2.880274e+02 Slimjim.bmp PeanutMMs.bmp 47 53 0 i 2 0 815.92 1.31 1.04 
BM2_297 0 1 2 58 2.910176e+02 FigNewton_small.bmp Oreos.bmp 40 18 0 i 4 0 921.77 1.44 1.99 
BM2_297 0 1 2 59 2.950267e+02 Jollyranchergreen.bmp Slimjim.bmp 50 47 1 u 2 0 720.63 1.25 1.31 
BM2_297 0 1 2 60 2.980169e+02 ChipsAhoy_small.bmp FrootLoops.bmp 14 11 0 u 1 1 922.48 2.03 2.21 
BM2_297 0 1 2 61 3.010237e+02 Jollyranchergreen.bmp Dots_one.bmp 50 52 1 u 2 0 659.62 1.25 1.05 
BM2_297 0 1 2 62 3.080230e+02 Oreos.bmp Chocolate_mm.bmp 18 43 1 u 4 0 1180.33 1.99 1.41 
BM2_297 0 1 2 63 3.130178e+02 Funyuns_small.bmp Riprolls.bmp 20 42 1 u 3 0 1289.61 1.97 1.43 
BM2_297 0 1 2 64 3.200170e+02 Sourpatch.bmp Granolabar.bmp 9 12 0 i 1 0 1010.32 2.26 2.18 
