subjid runnum itemname onsettime trialtype RT respInTime Audiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_700 1 Nutterbutter.bmp 1.16 24 999000.00 240.00 999000  2.18 750 750 59 1 
BM2_700 1 FigNewton_small.bmp 3.15 24 999000.00 240.00 999000  4.17 750 750 57 15 
BM2_700 1 PringlesRed.bmp 7.15 12 999000.00 120.00 999000  8.17 750 750 31 49 
BM2_700 1 PopTartsCinnamon.bmp 10.14 24 999000.00 240.00 999000  11.16 750 750 54 10 
BM2_700 1 Laffytaffyred_one.bmp 12.15 12 999000.00 120.00 999000  13.16 750 750 37 48 
BM2_700 1 Dots_one.bmp 15.14 24 999000.00 240.00 999000  16.16 750 750 56 40 
BM2_700 1 Whatchamacallit.bmp 19.15 11 1047.39 1100.00 7.506732e+02 b 20.17 700 750 40 51 
BM2_700 1 MrGoodbar.bmp 23.14 11 956.04 110.00 7.000791e+02 b 24.16 7.166667e+02 750 43 2 
BM2_700 1 PayDay.bmp 25.15 24 999000.00 240.00 999000  26.17 7.166667e+02 750 49 25 
BM2_700 1 CheesyDoritos.bmp 30.15 12 999000.00 120.00 999000  31.17 7.166667e+02 750 34 14 
BM2_700 1 MilkyWay.bmp 32.14 12 999000.00 120.00 999000  33.16 7.166667e+02 750 35 3 
BM2_700 1 Cheezits.bmp 34.14 22 1036.43 2200.00 7.506812e+02 b 35.16 7.166667e+02 700 52 52 
BM2_700 1 Slimjim.bmp 40.15 24 999000.00 240.00 999000  41.17 7.166667e+02 700 58 23 
BM2_700 1 Jollyranchergreen.bmp 42.15 11 941.02 110.00 7.167625e+02 b 43.17 7.333333e+02 700 39 54 
BM2_700 1 Butterfinger.bmp 44.14 12 999000.00 120.00 999000  45.16 7.333333e+02 700 33 16 
BM2_700 1 Lollipopred.bmp 46.15 12 999000.00 120.00 999000  47.17 7.333333e+02 700 42 43 
BM2_700 1 Milkduds.bmp 50.14 24 999000.00 240.00 999000  51.16 7.333333e+02 700 50 27 
BM2_700 1 Toberlorone.bmp 54.14 24 999000.00 240.00 999000  55.16 7.333333e+02 700 60 28 
BM2_700 1 Milano.bmp 57.15 24 999000.00 240.00 999000  58.17 7.333333e+02 700 53 6 
BM2_700 1 RitzBitz2.bmp 61.14 12 999000.00 120.00 999000  62.16 7.333333e+02 700 45 42 
BM2_700 1 Jollyrancherred.bmp 64.15 24 999000.00 240.00 999000  65.17 7.333333e+02 700 46 17 
BM2_700 1 Goldfish.bmp 66.14 24 999000.00 240.00 999000  67.16 7.333333e+02 700 55 13 
BM2_700 1 AnimalCrackers.bmp 70.14 12 999000.00 120.00 999000  71.16 7.333333e+02 700 36 55 
BM2_700 1 BabyRuth.bmp 72.14 22 966.80 220.00 7.000896e+02 b 73.16 7.333333e+02 7.166667e+02 51 26 
BM2_700 1 TeddyGrahamschocolate.bmp 74.15 12 999000.00 120.00 999000  75.17 7.333333e+02 7.166667e+02 38 53 
BM2_700 1 Almondjoy.bmp 78.14 22 1028.51 2200.00 7.167641e+02 b 79.16 7.333333e+02 6.666667e+02 48 33 
BM2_700 1 PeanutMMs.bmp 80.15 12 999000.00 120.00 999000  81.17 7.333333e+02 6.666667e+02 41 18 
BM2_700 1 FrootLoops.bmp 84.14 22 956.24 220.00 6.667598e+02 b 85.16 7.333333e+02 6.833333e+02 47 35 
BM2_700 1 Hersheykisses.bmp 88.14 12 999000.00 120.00 999000  89.16 7.333333e+02 6.833333e+02 32 22 
BM2_700 1 Oreos.bmp 91.15 11 1015.86 1100.00 7.334098e+02 b 92.17 6.833333e+02 6.833333e+02 44 34 
