subjid scanner order block runtrial onsettime ImageLeft ImageRight TypeLeft TypeRight IsLefthigh Response PairType Outcome RT bidValueLeft bidValueRight 
BM2_714 0 2 1 1 0 Almondjoy.bmp 3Musketeers.bmp 38 40 0 i 1 0 881.036860 0.85 0.79 
BM2_714 0 2 1 2 10 Dots_one.bmp Milkduds.bmp 60 34 0 i 3 0 804.387014 0.01 1.00 
BM2_714 0 2 1 3 13 RitzBitz2.bmp 100grand_small.bmp 46 47 0 i 2 0 812.359063 0.74 0.71 
BM2_714 0 2 1 4 16 PopTartsCinnamon.bmp Jollyranchergreen.bmp 50 51 0 u 2 1 1211.736904 0.53 0.51 
BM2_714 0 2 1 5 20 Goldfish.bmp AnimalCrackers.bmp 49 48 0 i 2 0 824.844953 0.53 0.71 
BM2_714 0 2 1 6 24 Riprolls.bmp 3Musketeers.bmp 42 40 0 i 1 0 684.914957 0.77 0.79 
BM2_714 0 2 1 7 28 KitKat_small.bmp Dots_one.bmp 35 60 1 u 3 0 729.636768 0.99 0.01 
BM2_714 0 2 1 8 32 Goldfish.bmp Jollyranchergreen.bmp 49 51 0 u 2 1 1006.383941 0.53 0.51 
BM2_714 0 2 1 9 38 Jollyrancherred.bmp TeddyGrahamschocolate.bmp 58 36 0 i 3 0 852.433959 0.13 0.99 
BM2_714 0 2 1 10 42 Funyuns_small.bmp TeddyGrahamschocolate.bmp 59 36 0 i 3 0 1057.894581 0.01 0.99 
BM2_714 0 2 1 11 45 PopTartsCinnamon.bmp 100grand_small.bmp 50 47 0 i 2 0 800.915926 0.53 0.71 
BM2_714 0 2 1 12 48 Goldfish.bmp 100grand_small.bmp 49 47 0 i 2 0 776.663994 0.53 0.71 
BM2_714 0 2 1 13 52 Skittles.bmp Fritos.bmp 43 41 1 x 1 999 999000.000000 0.77 0.78 
BM2_714 0 2 1 14 61 Dots_one.bmp BabyRuth.bmp 60 37 0 i 3 0 731.212980 0.01 0.90 
BM2_714 0 2 1 15 68 Milkduds.bmp Funyuns_small.bmp 34 59 1 u 3 0 638.992038 1.00 0.01 
BM2_714 0 2 1 16 73 AnimalCrackers.bmp PopTartsCinnamon.bmp 48 50 1 u 2 0 776.747782 0.71 0.53 
BM2_714 0 2 1 17 77 Fritos.bmp Hersheykisses.bmp 41 39 0 i 1 0 684.603515 0.78 0.84 
BM2_714 0 2 1 18 80 RitzBitz2.bmp Jollyranchergreen.bmp 46 51 0 u 2 1 1268.516072 0.74 0.51 
