subjid runnum itemname onsettime trialtype RT respInTime Audiotime response fixationtime ladder1 ladder2 bidindex itemnameIndex
BM2_715 9 CheesyDoritos.bmp 796.67 24 999000.00 240.00 999000  797.68 7.500000e+02 7.500000e+02 57 43 
BM2_715 9 redvines_small.bmp 798.66 22 919.91 220.00 7.501154e+02 b 799.68 7.500000e+02 7.666667e+02 50 58 
BM2_715 9 Hersheymilk_several.bmp 802.67 22 947.88 220.00 7.667470e+02 b 803.69 7.500000e+02 7.833333e+02 46 31 
BM2_715 9 SourSkittles.bmp 805.67 24 999000.00 240.00 999000  806.69 7.500000e+02 7.833333e+02 51 24 
BM2_715 9 FigNewton_small.bmp 807.67 24 999000.00 240.00 999000  808.69 7.500000e+02 7.833333e+02 59 28 
BM2_715 9 Lollipopred.bmp 810.66 24 999000.00 240.00 999000  811.68 7.500000e+02 7.833333e+02 60 48 
BM2_715 9 Fritos.bmp 814.68 22 969.12 220.00 7.834409e+02 b 815.70 7.500000e+02 8.000000e+02 53 18 
BM2_715 9 Granolabar.bmp 818.67 24 999000.00 240.00 999000  819.69 7.500000e+02 8.000000e+02 54 5 
BM2_715 9 3Musketeers.bmp 820.68 12 999000.00 120.00 999000  821.70 7.500000e+02 8.000000e+02 31 3 
BM2_715 9 Keeblerfudgestripes.bmp 825.68 24 999000.00 240.00 999000  826.70 7.500000e+02 8.000000e+02 48 11 
BM2_715 9 Dots_one.bmp 827.67 12 999000.00 120.00 999000  828.69 7.500000e+02 8.000000e+02 32 23 
BM2_715 9 Oreos.bmp 829.67 12 999000.00 120.00 999000  830.69 7.500000e+02 8.000000e+02 39 4 
BM2_715 9 Milkduds.bmp 835.67 12 999000.00 120.00 999000  836.69 7.500000e+02 8.000000e+02 40 49 
BM2_715 9 Slimjim.bmp 837.66 24 999000.00 240.00 999000  838.68 7.500000e+02 8.000000e+02 56 55 
BM2_715 9 Milano.bmp 839.67 24 999000.00 240.00 999000  840.69 7.500000e+02 8.000000e+02 47 2 
BM2_715 9 Doritosranch.bmp 841.67 24 999000.00 240.00 999000  842.69 7.500000e+02 8.000000e+02 52 42 
BM2_715 9 ChipsAhoy_small.bmp 845.67 12 999000.00 120.00 999000  846.69 7.500000e+02 8.000000e+02 36 37 
BM2_715 9 AnimalCrackers.bmp 849.66 11 908.69 110.00 7.501085e+02 b 850.68 7.666667e+02 8.000000e+02 45 30 
BM2_715 9 Jollyranchergreen.bmp 852.67 12 999000.00 120.00 999000  853.69 7.666667e+02 8.000000e+02 37 27 
BM2_715 9 Sourpatch.bmp 856.67 12 999000.00 120.00 999000  857.69 7.666667e+02 8.000000e+02 34 22 
BM2_715 9 Funyuns_small.bmp 859.66 24 999000.00 240.00 999000  860.68 7.666667e+02 8.000000e+02 58 8 
BM2_715 9 Laffytaffyred_one.bmp 861.67 12 999000.00 120.00 999000  862.69 7.666667e+02 8.000000e+02 43 60 
BM2_715 9 Goldfish.bmp 865.66 22 814.66 220.00 8.000943e+02 b 866.68 7.666667e+02 8.166667e+02 49 46 
BM2_715 9 FrootLoops.bmp 867.67 11 992.40 110.00 7.667526e+02 b 868.69 7.833333e+02 8.166667e+02 42 53 
BM2_715 9 Jollyrancherred.bmp 869.67 11 730.63 11.00 7.834094e+02 b 870.69 8.000000e+02 8.166667e+02 41 47 
BM2_715 9 Cheetos.bmp 873.67 24 999000.00 240.00 999000  874.69 8.000000e+02 8.166667e+02 55 51 
BM2_715 9 FamousAmos_small.bmp 875.68 12 999000.00 120.00 999000  876.70 8.000000e+02 8.166667e+02 35 35 
BM2_715 9 TeddyGrahamschocolate.bmp 879.67 12 999000.00 120.00 999000  880.69 8.000000e+02 8.166667e+02 44 29 
BM2_715 9 Riprolls.bmp 883.67 11 690.52 11.00 8.000789e+02 b 884.69 8.166667e+02 8.166667e+02 38 9 
BM2_715 9 PeanutMMs.bmp 886.68 12 999000.00 120.00 999000  887.70 8.166667e+02 8.166667e+02 33 19 
